,G,HR,IP,CG,L,SV,R,SO,ERA,W,H,ShO,TBB,ER,LABEL
0,298.0,35.0,306.1,0.0,17.0,69.0,152.0,305.0,4.23,15.0,271.0,69.0,169.0,144.0,0
0,448.0,89.0,1109.1,22.0,60.0,82.0,503.0,641.0,3.8,66.0,1085.0,82.0,457.0,468.0,0
0,203.0,22.0,185.2,0.0,19.0,0.0,79.0,151.0,3.64,3.0,182.0,0.0,60.0,75.0,0
0,79.0,18.0,568.0,52.0,40.0,1.0,442.0,161.0,4.52,22.0,686.0,1.0,192.0,285.0,0
0,248.0,162.0,1286.0,37.0,83.0,0.0,707.0,484.0,4.39,62.0,1405.0,0.0,352.0,627.0,0
0,263.0,154.0,1674.0,31.0,108.0,0.0,880.0,888.0,4.25,87.0,1779.0,0.0,620.0,791.0,0
0,57.0,26.0,185.1,0.0,17.0,0.0,112.0,124.0,5.2,4.0,207.0,0.0,79.0,107.0,0
0,162.0,101.0,720.2,1.0,37.0,0.0,421.0,496.0,4.92,43.0,682.0,0.0,393.0,394.0,0
0,168.0,29.0,389.1,7.0,25.0,14.0,205.0,169.0,4.19,24.0,398.0,14.0,160.0,181.0,0
0,1.0,1.0,2.0,0.0,0.0,1.0,3.0,0.0,13.5,0.0,4.0,1.0,1.0,3.0,0
0,7.0,0.0,20.1,1.0,3.0,0.0,26.0,13.0,11.19,0.0,31.0,0.0,17.0,25.0,0
0,681.0,70.0,1148.1,7.0,69.0,149.0,513.0,765.0,3.46,63.0,1010.0,149.0,592.0,441.0,0
0,16.0,6.0,42.0,0.0,1.0,1.0,19.0,6.0,3.64,1.0,36.0,1.0,11.0,17.0,0
0,14.0,2.0,71.1,4.0,5.0,0.0,51.0,41.0,4.05,1.0,79.0,0.0,30.0,32.0,0
0,3.0,0.0,4.2,0.0,0.0,0.0,5.0,1.0,10.71,0.0,10.0,0.0,3.0,5.0,0
0,6.0,3.0,24.0,0.0,1.0,0.0,18.0,13.0,6.38,1.0,32.0,0.0,12.0,17.0,0
0,7.0,1.0,6.2,0.0,0.0,0.0,2.0,12.0,2.9,0.0,6.0,0.0,3.0,2.0,0
0,38.0,10.0,44.1,0.0,1.0,0.0,39.0,38.0,7.35,0.0,57.0,0.0,19.0,36.0,0
0,262.0,24.0,284.2,0.0,20.0,38.0,143.0,205.0,4.31,10.0,288.0,38.0,111.0,136.0,0
0,104.0,71.0,368.1,1.0,25.0,1.0,246.0,253.0,5.75,18.0,420.0,1.0,113.0,235.0,0
0,367.0,72.0,570.0,0.0,40.0,53.0,316.0,350.0,4.33,28.0,597.0,53.0,226.0,274.0,0
0,204.0,48.0,380.1,0.0,16.0,29.0,172.0,282.0,3.84,31.0,333.0,29.0,129.0,162.0,0
0,7.0,2.0,11.0,0.0,0.0,0.0,7.0,5.0,3.27,1.0,14.0,0.0,3.0,4.0,0
0,467.0,82.0,904.1,0.0,49.0,30.0,447.0,482.0,3.97,33.0,918.0,30.0,329.0,399.0,0
0,153.0,43.0,380.1,5.0,13.0,8.0,181.0,256.0,4.12,19.0,365.0,8.0,150.0,174.0,0
0,5.0,4.0,19.1,0.0,0.0,0.0,10.0,17.0,4.24,1.0,17.0,0.0,11.0,9.0,0
0,107.0,15.0,186.0,0.0,9.0,27.0,65.0,109.0,2.66,13.0,143.0,27.0,77.0,55.0,0
0,57.0,12.0,137.2,3.0,9.0,1.0,71.0,70.0,4.07,6.0,153.0,1.0,39.0,62.0,0
0,55.0,9.0,213.1,6.0,10.0,4.0,119.0,45.0,4.52,10.0,265.0,4.0,68.0,107.0,0
0,233.0,30.0,248.0,0.0,13.0,9.0,122.0,219.0,3.99,13.0,234.0,9.0,117.0,110.0,0
0,114.0,16.0,127.0,0.0,6.0,2.0,75.0,98.0,5.17,9.0,135.0,2.0,68.0,73.0,0
0,302.0,26.0,552.2,2.0,33.0,49.0,247.0,171.0,3.47,41.0,541.0,49.0,224.0,213.0,0
0,8.0,2.0,11.2,0.0,0.0,0.0,8.0,5.0,6.43,0.0,11.0,0.0,3.0,8.0,0
0,482.0,67.0,2995.1,205.0,140.0,16.0,1133.0,1036.0,2.76,194.0,2841.0,16.0,430.0,917.0,1
0,5.0,0.0,12.0,0.0,1.0,0.0,11.0,5.0,5.25,0.0,21.0,0.0,3.0,7.0,0
0,47.0,5.0,171.0,6.0,11.0,3.0,87.0,54.0,3.74,4.0,182.0,3.0,65.0,71.0,0
0,30.0,6.0,115.0,3.0,9.0,0.0,72.0,62.0,5.01,1.0,119.0,0.0,48.0,64.0,0
0,408.0,33.0,407.1,0.0,20.0,4.0,122.0,409.0,2.41,21.0,316.0,4.0,126.0,109.0,0
0,8.0,1.0,12.0,0.0,1.0,0.0,12.0,8.0,8.25,0.0,18.0,0.0,7.0,11.0,0
0,11.0,1.0,62.2,3.0,5.0,0.0,30.0,25.0,3.62,2.0,63.0,0.0,24.0,25.0,0
0,39.0,6.0,57.1,0.0,3.0,0.0,27.0,39.0,3.94,2.0,48.0,0.0,31.0,25.0,0
0,112.0,38.0,592.0,34.0,45.0,1.0,376.0,231.0,4.93,30.0,657.0,1.0,220.0,324.0,0
0,145.0,87.0,525.1,1.0,29.0,0.0,313.0,360.0,5.23,31.0,574.0,0.0,238.0,305.0,0
0,47.0,5.0,244.1,13.0,18.0,2.0,124.0,76.0,3.61,9.0,263.0,2.0,92.0,98.0,0
0,73.0,12.0,172.2,0.0,6.0,0.0,104.0,77.0,4.44,8.0,190.0,0.0,75.0,85.0,0
0,51.0,41.0,216.0,1.0,13.0,0.0,141.0,97.0,5.46,10.0,261.0,0.0,60.0,131.0,0
0,63.0,38.0,279.1,14.0,10.0,1.0,149.0,104.0,4.45,17.0,306.0,1.0,111.0,138.0,0
0,358.0,33.0,452.2,0.0,24.0,4.0,212.0,317.0,3.82,18.0,461.0,4.0,135.0,192.0,0
0,22.0,2.0,75.1,3.0,3.0,1.0,30.0,27.0,2.52,5.0,83.0,1.0,36.0,21.0,0
0,64.0,9.0,160.1,3.0,6.0,0.0,116.0,61.0,5.57,5.0,200.0,0.0,78.0,99.0,0
0,59.0,35.0,279.2,1.0,18.0,0.0,161.0,184.0,4.84,16.0,294.0,0.0,81.0,150.0,0
0,8.0,3.0,9.1,0.0,0.0,0.0,14.0,14.0,13.85,0.0,22.0,0.0,6.0,14.0,0
0,533.0,71.0,697.0,1.0,57.0,114.0,366.0,505.0,4.25,40.0,652.0,114.0,288.0,329.0,0
0,28.0,4.0,31.2,0.0,0.0,0.0,11.0,28.0,2.88,0.0,26.0,0.0,7.0,10.0,0
0,316.0,47.0,1821.2,133.0,89.0,29.0,769.0,450.0,3.11,127.0,1884.0,29.0,458.0,630.0,1
0,303.0,98.0,1666.1,83.0,96.0,9.0,849.0,431.0,3.96,97.0,1815.0,9.0,608.0,733.0,0
0,574.0,223.0,2529.0,73.0,149.0,20.0,1127.0,1359.0,3.6,146.0,2440.0,20.0,924.0,1013.0,0
0,46.0,13.0,219.0,8.0,11.0,0.0,102.0,69.0,3.37,11.0,210.0,0.0,95.0,82.0,0
0,4.0,0.0,7.0,0.0,0.0,0.0,5.0,3.0,5.14,0.0,9.0,0.0,3.0,4.0,0
0,343.0,89.0,679.2,5.0,44.0,13.0,423.0,351.0,4.96,39.0,758.0,13.0,256.0,374.0,0
0,206.0,20.0,218.0,0.0,12.0,89.0,67.0,227.0,2.64,11.0,161.0,89.0,69.0,64.0,0
0,203.0,20.0,1084.1,70.0,76.0,0.0,593.0,570.0,3.57,38.0,1035.0,0.0,527.0,430.0,0
0,172.0,13.0,207.0,0.0,10.0,1.0,99.0,150.0,3.96,9.0,208.0,1.0,116.0,91.0,0
0,16.0,7.0,106.2,8.0,4.0,0.0,58.0,35.0,4.15,6.0,107.0,0.0,46.0,49.0,0
0,168.0,117.0,1010.0,6.0,51.0,0.0,501.0,832.0,4.19,58.0,999.0,0.0,325.0,470.0,0
0,50.0,15.0,118.2,0.0,9.0,1.0,76.0,41.0,5.25,6.0,120.0,1.0,40.0,69.0,0
0,3.0,1.0,11.2,0.0,1.0,0.0,8.0,7.0,6.43,0.0,17.0,0.0,6.0,8.0,0
0,1.0,0.0,8.0,1.0,0.0,0.0,8.0,0.0,5.63,1.0,13.0,0.0,0.0,5.0,0
0,92.0,43.0,356.0,5.0,19.0,1.0,216.0,162.0,4.9,18.0,392.0,1.0,161.0,194.0,0
0,34.0,6.0,69.2,0.0,6.0,2.0,34.0,47.0,3.9,2.0,66.0,2.0,44.0,30.0,0
0,52.0,4.0,137.1,0.0,7.0,0.0,85.0,35.0,4.6,4.0,171.0,0.0,40.0,70.0,0
0,3.0,1.0,8.0,0.0,0.0,0.0,7.0,1.0,7.88,0.0,10.0,0.0,4.0,7.0,0
0,584.0,86.0,909.1,0.0,43.0,81.0,398.0,689.0,3.63,55.0,839.0,81.0,405.0,367.0,0
0,8.0,1.0,22.1,0.0,4.0,0.0,23.0,10.0,7.33,0.0,25.0,0.0,15.0,18.0,0
0,14.0,5.0,13.2,0.0,2.0,0.0,17.0,11.0,11.59,0.0,23.0,0.0,6.0,17.0,0
0,2.0,1.0,3.0,0.0,0.0,0.0,6.0,0.0,6.0,0.0,9.0,0.0,1.0,2.0,0
0,3.0,2.0,7.2,0.0,0.0,0.0,8.0,2.0,10.0,0.0,13.0,0.0,2.0,8.0,0
0,2.0,0.0,14.0,1.0,2.0,0.0,24.0,1.0,7.71,0.0,29.0,0.0,12.0,12.0,0
0,1.0,1.0,4.0,0.0,0.0,0.0,4.0,1.0,4.5,0.0,7.0,0.0,0.0,2.0,0
0,22.0,3.0,94.0,3.0,7.0,1.0,52.0,51.0,3.93,2.0,101.0,1.0,30.0,41.0,0
0,12.0,0.0,4.2,0.0,0.0,0.0,4.0,8.0,8.57,0.0,7.0,0.0,3.0,4.0,0
0,32.0,1.0,27.2,0.0,1.0,0.0,18.0,31.0,5.29,1.0,23.0,0.0,23.0,16.0,0
0,162.0,92.0,892.1,6.0,65.0,1.0,548.0,674.0,5.1,48.0,884.0,1.0,520.0,506.0,0
0,2.0,3.0,5.2,0.0,2.0,0.0,9.0,5.0,12.12,0.0,9.0,0.0,7.0,7.0,0
0,132.0,32.0,175.1,0.0,7.0,1.0,108.0,193.0,5.24,8.0,171.0,1.0,98.0,102.0,0
0,198.0,42.0,271.0,0.0,17.0,4.0,161.0,192.0,4.95,19.0,291.0,4.0,94.0,149.0,0
0,451.0,58.0,724.1,4.0,32.0,14.0,351.0,539.0,3.99,38.0,716.0,14.0,403.0,321.0,0
0,192.0,44.0,1257.1,83.0,72.0,3.0,525.0,445.0,3.14,68.0,1273.0,3.0,289.0,438.0,0
0,5.0,0.0,43.0,5.0,2.0,0.0,38.0,20.0,3.77,3.0,50.0,0.0,17.0,18.0,0
0,188.0,103.0,1046.2,3.0,71.0,1.0,521.0,721.0,4.11,64.0,1014.0,1.0,415.0,478.0,0
0,140.0,51.0,628.0,27.0,44.0,8.0,338.0,249.0,4.5,37.0,618.0,8.0,316.0,314.0,0
0,68.0,32.0,373.0,8.0,19.0,0.0,190.0,303.0,3.98,23.0,331.0,0.0,225.0,165.0,0
0,281.0,165.0,1811.1,15.0,95.0,0.0,728.0,1506.0,3.39,95.0,1518.0,0.0,611.0,683.0,1
0,178.0,67.0,987.1,58.0,60.0,1.0,611.0,279.0,4.83,53.0,1119.0,1.0,569.0,530.0,0
0,15.0,1.0,9.1,0.0,0.0,0.0,4.0,8.0,3.96,1.0,11.0,0.0,3.0,4.0,0
0,200.0,44.0,587.2,18.0,43.0,25.0,347.0,202.0,4.69,33.0,656.0,25.0,259.0,306.0,0
0,475.0,218.0,2408.2,98.0,130.0,18.0,1182.0,939.0,3.81,137.0,2581.0,18.0,597.0,1020.0,0
0,13.0,2.0,75.0,6.0,5.0,1.0,54.0,59.0,4.2,3.0,84.0,1.0,22.0,35.0,0
0,313.0,24.0,302.2,0.0,12.0,7.0,110.0,324.0,3.25,14.0,236.0,7.0,126.0,109.0,0
0,118.0,8.0,150.2,0.0,7.0,5.0,57.0,104.0,2.52,6.0,120.0,5.0,65.0,42.0,0
0,40.0,6.0,34.1,0.0,1.0,0.0,26.0,27.0,6.6,0.0,45.0,0.0,28.0,25.0,0
0,18.0,4.0,79.2,4.0,5.0,1.0,49.0,27.0,4.55,2.0,90.0,1.0,32.0,40.0,0
0,4.0,0.0,9.1,0.0,2.0,0.0,16.0,2.0,12.86,1.0,18.0,0.0,5.0,13.0,0
0,10.0,1.0,32.1,1.0,2.0,0.0,23.0,11.0,6.45,1.0,37.0,0.0,16.0,23.0,0
0,2.0,2.0,8.1,1.0,2.0,0.0,20.0,2.0,16.67,0.0,18.0,0.0,7.0,15.0,0
0,3.0,1.0,6.1,0.0,0.0,0.0,7.0,4.0,8.85,0.0,12.0,0.0,1.0,6.0,0
0,40.0,17.0,130.2,0.0,11.0,0.0,104.0,86.0,6.29,4.0,166.0,0.0,58.0,91.0,0
0,22.0,5.0,48.1,0.0,1.0,0.0,18.0,26.0,3.18,3.0,37.0,0.0,16.0,17.0,0
0,28.0,6.0,69.1,1.0,8.0,0.0,54.0,19.0,5.73,3.0,86.0,0.0,43.0,44.0,0
0,109.0,22.0,301.2,5.0,22.0,5.0,207.0,102.0,5.32,9.0,345.0,5.0,158.0,178.0,0
0,193.0,16.0,262.2,0.0,20.0,45.0,129.0,159.0,4.22,10.0,268.0,45.0,128.0,123.0,0
0,6.0,2.0,33.1,0.0,2.0,0.0,15.0,14.0,3.53,1.0,37.0,0.0,12.0,13.0,0
0,69.0,1.0,86.1,0.0,0.0,1.0,40.0,70.0,3.03,2.0,80.0,1.0,48.0,29.0,0
0,28.0,4.0,28.1,0.0,2.0,0.0,17.0,31.0,5.12,0.0,23.0,0.0,10.0,16.0,0
0,266.0,52.0,779.2,7.0,51.0,15.0,442.0,600.0,4.56,34.0,708.0,15.0,544.0,395.0,0
0,139.0,120.0,784.0,5.0,52.0,0.0,448.0,498.0,4.61,45.0,832.0,0.0,221.0,402.0,0
0,7.0,2.0,13.2,0.0,1.0,0.0,14.0,9.0,9.55,0.0,19.0,0.0,15.0,14.0,0
0,392.0,140.0,1198.2,5.0,78.0,1.0,651.0,806.0,4.55,68.0,1250.0,1.0,441.0,606.0,0
0,2.0,0.0,11.0,1.0,0.0,0.0,2.0,2.0,0.0,1.0,9.0,0.0,4.0,0.0,0
0,12.0,4.0,50.0,2.0,4.0,0.0,35.0,16.0,5.76,2.0,67.0,0.0,20.0,32.0,0
0,1.0,0.0,2.2,0.0,1.0,0.0,7.0,0.0,20.45,0.0,7.0,0.0,0.0,5.0,0
0,5.0,0.0,2.1,0.0,0.0,0.0,5.0,1.0,21.43,0.0,5.0,0.0,6.0,5.0,0
0,33.0,13.0,71.2,0.0,4.0,0.0,59.0,30.0,7.21,3.0,102.0,0.0,39.0,57.0,0
0,119.0,12.0,185.2,0.0,7.0,22.0,64.0,109.0,2.77,10.0,162.0,22.0,59.0,57.0,0
0,20.0,5.0,51.1,0.0,2.0,0.0,48.0,18.0,7.57,2.0,74.0,0.0,23.0,43.0,0
0,165.0,31.0,1415.0,157.0,87.0,1.0,866.0,846.0,2.92,73.0,1394.0,1.0,369.0,459.0,0
0,316.0,48.0,931.1,15.0,49.0,19.0,442.0,485.0,3.67,51.0,894.0,19.0,391.0,380.0,0
0,4.0,2.0,4.0,0.0,1.0,0.0,9.0,4.0,20.25,0.0,8.0,0.0,6.0,9.0,0
0,90.0,13.0,442.2,23.0,28.0,3.0,229.0,177.0,3.6,21.0,425.0,3.0,207.0,177.0,0
0,248.0,99.0,967.1,36.0,64.0,10.0,502.0,549.0,4.03,60.0,998.0,10.0,351.0,433.0,0
0,112.0,13.0,100.2,0.0,3.0,0.0,53.0,98.0,4.49,2.0,92.0,0.0,36.0,50.0,0
0,4.0,2.0,8.0,0.0,0.0,0.0,3.0,4.0,3.38,0.0,12.0,0.0,2.0,3.0,0
0,3.0,0.0,21.0,3.0,3.0,0.0,19.0,8.0,6.0,0.0,31.0,0.0,8.0,14.0,0
0,60.0,5.0,367.2,26.0,15.0,3.0,227.0,74.0,4.07,24.0,473.0,3.0,115.0,166.0,0
0,3.0,1.0,15.0,0.0,0.0,0.0,8.0,5.0,4.2,0.0,14.0,0.0,6.0,7.0,0
0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0
0,286.0,45.0,1186.0,44.0,66.0,24.0,618.0,484.0,3.89,71.0,1235.0,24.0,455.0,512.0,0
0,1.0,1.0,2.1,0.0,0.0,0.0,2.0,2.0,8.57,0.0,3.0,0.0,0.0,2.0,0
0,230.0,99.0,997.0,26.0,76.0,5.0,553.0,471.0,4.44,45.0,1004.0,5.0,383.0,492.0,0
0,14.0,1.0,82.2,6.0,8.0,0.0,70.0,21.0,4.82,2.0,102.0,0.0,26.0,44.0,0
0,216.0,171.0,1319.2,4.0,87.0,0.0,670.0,970.0,4.3,72.0,1329.0,0.0,429.0,631.0,1
0,4.0,2.0,29.0,2.0,1.0,0.0,32.0,6.0,7.76,1.0,41.0,0.0,18.0,25.0,0
0,44.0,8.0,186.2,1.0,8.0,3.0,88.0,75.0,4.16,14.0,192.0,3.0,89.0,86.0,0
0,309.0,34.0,303.0,0.0,17.0,2.0,176.0,229.0,4.96,8.0,328.0,2.0,126.0,167.0,0
0,382.0,239.0,2360.1,37.0,116.0,0.0,1139.0,1590.0,3.87,136.0,2244.0,0.0,906.0,1016.0,0
0,7.0,2.0,15.2,0.0,0.0,0.0,7.0,5.0,2.96,0.0,16.0,0.0,7.0,5.0,0
0,7.0,5.0,24.0,0.0,2.0,0.0,20.0,22.0,7.13,0.0,31.0,0.0,8.0,19.0,0
0,223.0,35.0,381.1,1.0,20.0,14.0,240.0,310.0,4.49,12.0,400.0,14.0,184.0,190.0,0
0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0
0,91.0,27.0,359.2,15.0,24.0,5.0,183.0,104.0,3.78,18.0,349.0,5.0,143.0,151.0,0
0,319.0,142.0,1915.1,115.0,93.0,12.0,1063.0,1002.0,4.38,127.0,1981.0,12.0,809.0,933.0,1
0,27.0,6.0,38.2,0.0,1.0,2.0,23.0,27.0,5.18,2.0,31.0,2.0,24.0,22.0,0
0,125.0,20.0,951.1,90.0,73.0,1.0,515.0,274.0,3.43,36.0,1027.0,1.0,291.0,362.0,0
0,19.0,5.0,63.1,1.0,6.0,0.0,55.0,27.0,5.42,2.0,85.0,0.0,41.0,38.0,0
0,321.0,48.0,611.1,0.0,33.0,14.0,360.0,350.0,4.62,23.0,663.0,14.0,319.0,314.0,0
0,326.0,38.0,525.1,0.0,27.0,68.0,215.0,295.0,3.31,28.0,519.0,68.0,156.0,193.0,0
0,209.0,167.0,1178.2,3.0,68.0,0.0,688.0,855.0,4.94,71.0,1253.0,0.0,448.0,647.0,0
0,5.0,0.0,10.0,0.0,0.0,0.0,3.0,4.0,2.7,0.0,8.0,0.0,3.0,3.0,0
0,16.0,5.0,55.2,0.0,3.0,0.0,24.0,25.0,3.59,2.0,49.0,0.0,35.0,22.0,0
0,24.0,7.0,106.0,6.0,8.0,0.0,62.0,46.0,4.58,4.0,105.0,0.0,70.0,54.0,0
0,5.0,2.0,8.0,0.0,1.0,1.0,5.0,4.0,5.63,0.0,9.0,1.0,5.0,5.0,0
