PID,NAME,AGE,B,YR,TM,POS,G,PA,AB,R,H,2B,3B,HR,RBI,RP,TBB,IBB,SO,SB,CS,SBP,AVG,OBP,SLG,OPS,SH,SF,HBP,TB,GDP,OPS+,RCbasic,RCsb,RCtech,RAA,WAA,RAR,WAR,waaWL%,162WL%,oWAR,dWAR,oRAR
b0,"Babb, Charlie",23,B,1896,None-min,,29,112,112,31,36,9,1,3,,,,,,12,,,0.321,0.321,0.5,0.821,,,,56,,,,,,,,,,,,,,
b0,"Babb, Charlie",24,B,1897,None-min,,3,11,11,2,3,0,0,0,,,,,,0,,,0.273,0.273,0.273,0.545,,,,3,,,,,,,,,,,,,,
b0,"Babb, Charlie",25,B,1898,FWA-min,,151,571,559,75,177,20,14,2,,,,,,20,,,0.317,0.317,0.413,0.73,12,,,231,,,,,,,,,,,,,,
b0,"Babb, Charlie",26,B,1899,None-min,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b0,"Babb, Charlie",27,B,1900,FWA-min,,136,466,466,88,133,24,2,0,,,,,,20,,,0.285,0.285,0.345,0.631,,,,161,,,,,,,,,,,,,,
b0,"Babb, Charlie",29,B,1902,MEM-min,,66,261,261,,74,14,2,0,,,,,,,,,0.284,0.284,0.352,0.636,,,,92,,,,,,,,,,,,,,
b0,"Babb, Charlie",30,B,1903,NYG,SS,121,502,424,68,105,15,8,0,46,114,45,,64,22,,,0.248,0.35,0.321,0.671,11,,22,136,,88,43.4968017058,,,0,0,16,1.6,0.5,0.5,1.8,0.6,18
b0,"Babb, Charlie",31,B,1904,BRO,SS,151,595,521,49,138,18,3,0,53,102,53,,72,34,,,0.265,0.345,0.311,0.656,10,,11,162,,105,53.9059233449,,,8,1,28,3,0.506,0.506,3.6,0.5,34
b0,"Babb, Charlie",32,B,1905,BRO,SS,75,279,235,27,44,8,2,0,17,44,27,,38,10,,,0.187,0.303,0.238,0.541,5,,12,56,,67,15.1755725191,,,-14,-1.5,-5,-0.6,0.48,0.491,0.3,-0.7,3
b0,"Babb, Charlie",33,B,1906,MEM-min,,142,545,545,,160,,,,,,,,,,,,0.294,0.294,,,,,,,,,,,,,,,,,,,,
b0,"Babb, Charlie",34,B,1907,MEM-min,,130,493,493,,133,,,,,,,,,,,,0.27,0.27,,,,,,,,,,,,,,,,,,,,
b0,"Babb, Charlie",35,B,1908,MEM-min,,136,491,491,,125,,,,,,,,,,,,0.255,0.255,,,,,,,,,,,,,,,,,,,,
b0,"Babb, Charlie",36,B,1909,MEM-min,,124,421,421,,99,,,,,,,,,,,,0.235,0.235,,,,,,,,,,,,,,,,,,,,
