PID,NAME,AGE,B,YR,TM,POS,G,PA,AB,R,H,2B,3B,HR,RBI,RP,TBB,IBB,SO,SB,CS,SBP,AVG,OBP,SLG,OPS,SH,SF,HBP,TB,GDP,OPS+,RCbasic,RCsb,RCtech,RAA,WAA,RAR,WAR,waaWL%,162WL%,oWAR,dWAR,oRAR
c0,"Caballero, Putsy",16,R,1944,PHI,3B,4,4,4,0,0,0,0,0,0,0,0,,1,0,,,0,0,0,0,0,,0,0,0,-100,0,,,-2,-0.2,-2,-0.2,0.446,0.499,-0.1,-0.1,-1
c0,"Caballero, Putsy",17,R,1945,PHI-min,,130,473,473,,132,9,10,0,,,,,,,,,0.279,0.279,0.34,0.619,,,,161,,,,,,,,,,,,,,
c0,"Caballero, Putsy",17,R,1945,PHI,3B,9,1,1,1,0,0,0,0,1,2,0,,0,0,,,0,0,0,0,0,,0,0,0,-100,0,,,-1,-0.1,-1,-0.1,0.486,0.499,0,-0.1,0
c0,"Caballero, Putsy",18,R,1946,PHI-min,,77,292,292,,82,9,4,2,,,,,,,,,0.281,0.281,0.36,0.64,,,,105,,,,,,,,,,,,,,
c0,"Caballero, Putsy",19,R,1947,PHI-min,,115,397,397,,114,13,2,0,,,,,,,,,0.287,0.287,0.33,0.617,,,,131,,,,,,,,,,,,,,
c0,"Caballero, Putsy",19,R,1947,PHI,2B,2,8,7,2,1,0,0,0,0,2,1,,0,0,,,0.143,0.25,0.143,0.393,0,,0,1,0,9,0.25,,,-1,-0.1,0,0,0.463,0.5,0,0,0
c0,"Caballero, Putsy",20,R,1948,PHI,3B,113,382,351,33,86,12,1,0,19,52,24,,18,7,,,0.245,0.293,0.285,0.578,5,,0,100,9,59,29.3333333333,,,-20,-2.2,-6,-0.7,0.481,0.487,-0.4,-0.1,-3
c0,"Caballero, Putsy",21,R,1949,PHI-min,,48,218,195,31,62,7,0,1,16,47,22,,4,10,,,0.318,0.387,0.369,0.756,1,,0,72,,,27.8709677419,,,,,,,,,,,
c0,"Caballero, Putsy",21,R,1949,PHI,2B,29,69,68,8,19,3,0,0,3,11,0,,3,0,,,0.279,0.279,0.324,0.603,1,,0,22,2,63,6.1470588235,,,-4,-0.4,-1,-0.1,0.487,0.498,0,0,0
c0,"Caballero, Putsy",22,R,1950,PHI,2B,46,26,24,12,4,0,0,0,0,12,2,,2,1,,,0.167,0.231,0.167,0.397,0,,0,4,0,7,0.9230769231,,,-4,-0.4,-3,-0.3,0.491,0.498,-0.2,-0.1,-2
c0,"Caballero, Putsy",23,R,1951,PHI,2B,84,173,161,15,30,3,2,1,11,26,12,,7,1,2,0.333,0.186,0.243,0.248,0.491,0,,0,40,6,34,9.710982659,9.3757225434,,-18,-1.9,-11,-1.2,0.478,0.489,-0.8,-0.2,-7
c0,"Caballero, Putsy",24,R,1952,PHI,SS,35,45,42,10,10,3,0,0,6,16,2,,3,1,0,1,0.238,0.273,0.31,0.582,1,,0,13,5,62,3.5454545455,3.6954545455,,-4,-0.4,-2,-0.2,0.488,0.497,0,-0.1,0
c0,"Caballero, Putsy",25,R,1953,PHI-min,,133,529,462,54,124,25,2,5,49,103,60,,36,9,,,0.268,0.354,0.364,0.717,6,,1,168,,,59.2183908046,,,,,,,,,,,
c0,"Caballero, Putsy",26,R,1954,PHI-min,,93,364,302,31,78,12,1,2,41,72,52,,22,4,,,0.258,0.363,0.325,0.688,6,4,0,98,,,35.988700565,,,,,,,,,,,
