PID,NAME,AGE,B,YR,TM,POS,G,PA,AB,R,H,2B,3B,HR,RBI,RP,TBB,IBB,SO,SB,CS,SBP,AVG,OBP,SLG,OPS,SH,SF,HBP,TB,GDP,OPS+,RCbasic,RCsb,RCtech,RAA,WAA,RAR,WAR,waaWL%,162WL%,oWAR,dWAR,oRAR
d3,"D'Antona, Jamie",21,R,2003,ARI-min,,70,312,271,46,75,18,1,15,57,103,35,1,60,0,0,,0.277,0.356,0.517,0.872,0,5,1,140,5,,50.3267973856,50.3267973856,15804.6083333333,,,,,,,,,
d3,"D'Antona, Jamie",22,R,2004,ARI-min,,87,369,344,47,101,21,2,13,64,111,18,1,52,2,3,0.4,0.294,0.328,0.48,0.808,0,5,2,165,8,,54.2403314917,53.2254143646,18693.4098644987,,,,,,,,,
d3,"D'Antona, Jamie",23,R,2005,ARI-min,,125,458,410,58,102,25,2,9,49,107,44,2,67,5,6,0.455,0.249,0.322,0.385,0.708,2,1,1,158,10,,50.8105726872,49.5704845815,22162.5890829694,,,,,,,,,
d3,"D'Antona, Jamie",24,R,2006,ARI-min,,146,604,537,78,160,35,0,19,76,154,57,4,97,2,1,0.667,0.298,0.366,0.469,0.835,0,6,4,252,16,,92.0606060606,92.0363636364,54431.2868874172,,,,,,,,,
d3,"D'Antona, Jamie",25,R,2007,ARI-min,,142,577,524,82,157,44,5,13,89,171,41,3,66,3,2,0.6,0.3,0.352,0.477,0.829,0,7,5,250,24,,87.610619469,87.2980530973,46228.8690121317,,,,,,,,,
d3,"D'Antona, Jamie",26,R,2008,ARI-min,,110,454,419,69,153,35,1,21,79,148,30,3,64,1,0,1,0.365,0.405,0.604,1.009,0,4,1,253,15,,103.1158129176,103.3399777283,43987.3257268722,,,,,,,,,
d3,"D'Antona, Jamie",26,R,2008,ARI,1B,18,19,17,2,3,0,0,0,1,3,2,0,4,0,0,,0.176,0.263,0.176,0.44,0,0,0,3,0,16,0.7894736842,0.7894736842,17.6,-3,-0.3,-3,-0.3,0.481,0.498,-0.1,-0.2,-1
d3,"D'Antona, Jamie",27,R,2009,None-min,,118,428,391,39,108,19,0,21,83,122,30,2,110,0,0,,0.276,0.327,0.486,0.813,0,5,2,190,10,,62.2802850356,62.2802850356,25714.0060747664,,,,,,,,,
d3,"D'Antona, Jamie",28,R,2010,None-min,,98,333,294,33,72,17,0,15,50,83,32,0,99,0,0,,0.245,0.315,0.456,0.771,0,6,1,134,9,,42.7484662577,42.7484662577,13687.6893693694,,,,,,,,,
d4,"D'Arcy, Jerry",25,L,1911,PIT,OF,2,6,6,0,0,0,0,0,0,0,0,,1,0,,,0,0,0,0,0,,0,0,,-100,0,,,-2,-0.2,-1,-0.2,0.413,0.499,-0.2,0,-1
d4,"D'Arcy, Jerry",30,L,1916,DNI-min,,129,503,503,,151,,,,,,,,,,,,0.3,0.3,,,,,,,,,,,,,,,,,,,,
d5,"d'Arnaud, Chase",21,R,2008,PIT-min,,43,183,168,26,48,10,5,1,21,47,11,0,30,14,2,0.875,0.286,0.333,0.423,0.756,0,2,2,71,4,,23.4022346369,25.0608938547,4090.9454644809,,,,,,,,,
d5,"d'Arnaud, Chase",22,R,2009,PIT-min,,136,602,504,89,148,38,8,7,63,152,71,1,91,44,10,0.815,0.294,0.396,0.442,0.838,3,6,18,223,3,,84.9339130435,89.851826087,55077.1657807309,,,,,,,,,
d5,"d'Arnaud, Chase",23,R,2010,PIT-min,,132,607,530,91,131,33,9,6,48,139,56,0,102,33,7,0.825,0.247,0.331,0.377,0.708,5,4,12,200,5,,63.8225255973,67.0085324232,40706.1959802306,,,,,,,,,
d5,"d'Arnaud, Chase",24,R,2011,PIT-min,,81,345,310,46,80,13,6,5,40,86,24,0,56,22,4,0.846,0.258,0.323,0.387,0.71,4,1,6,120,2,,37.3652694611,39.5508982036,13291.2406956522,,,,,,,,,
d5,"d'Arnaud, Chase",24,R,2011,PIT,SS,48,151,143,17,31,6,2,0,6,23,4,0,36,12,2,0.857,0.217,0.242,0.287,0.528,2,1,1,41,3,48,9.7619047619,10.6857142857,1311.3516556291,-8,-0.9,-3,-0.4,0.482,0.495,-0.1,-0.1,0
d5,"d'Arnaud, Chase",25,R,2012,PIT-min,,98,427,381,63,96,24,4,6,38,101,37,0,93,34,5,0.872,0.252,0.325,0.383,0.709,3,1,5,146,3,,46.4545454545,50.4344497608,20399.6462763466,,,,,,,,,
d5,"d'Arnaud, Chase",25,R,2012,PIT,2B,8,6,6,2,0,0,0,0,1,3,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,-100,0,0,0.0866666667,-1,-0.1,-1,-0.1,0.485,0.499,-0.1,0,-1
d5,"d'Arnaud, Chase",26,R,2013,PIT-min,,67,284,260,36,60,8,5,4,21,57,20,1,44,19,6,0.76,0.231,0.287,0.346,0.633,2,1,1,90,2,,25.7142857143,26.5475,6949.6402816901,,,,,,,,,
d5,"d'Arnaud, Chase",27,R,2014,PIT-min,,118,416,376,59,94,16,9,2,23,82,29,1,82,30,13,0.698,0.25,0.313,0.356,0.67,1,3,7,134,2,,40.6962962963,40.8765432099,16456.5425,,,,,,,,,
d5,"d'Arnaud, Chase",27,R,2014,PIT,SS,8,0,0,2,0,0,0,0,0,2,0,0,0,0,2,0,,,,,0,0,0,0,0,,,,,0,0,0,0,0.496,0.5,0,0,0
d5,"d'Arnaud, Chase",28,R,2015,PHI-min,,5,22,21,2,5,1,0,0,1,3,1,0,2,3,0,1,0.238,0.273,0.286,0.558,0,0,0,6,0,,1.6363636364,2.0863636364,37.6309090909,,,,,,,,,
d6,"d'Arnaud, Travis",18,R,2007,PHI-min,,41,151,141,18,34,3,0,4,20,38,4,0,23,4,2,0.667,0.241,0.278,0.348,0.626,0,2,4,49,7,,12.8413793103,12.7117241379,1685.6606622517,,,,,,,,,
d6,"d'Arnaud, Travis",19,R,2008,PHI-min,,64,267,239,33,73,18,1,6,30,63,23,2,39,1,2,0.333,0.305,0.367,0.464,0.831,0,3,2,111,5,,40.6717557252,40.0217557252,10645.1877902622,,,,,,,,,
d6,"d'Arnaud, Travis",20,R,2009,PHI-min,,126,540,482,71,123,38,1,13,71,142,41,1,75,8,4,0.667,0.255,0.319,0.419,0.738,0,9,8,202,10,,63.3422562141,63.1434034417,33887.8563703704,,,,,,,,,
d6,"d'Arnaud, Travis",21,R,2010,TOR-min,,71,292,263,36,68,20,1,6,38,74,20,1,63,3,1,0.75,0.259,0.315,0.411,0.726,0,5,4,108,6,,33.5830388693,33.7086572438,9688.3142465754,,,,,,,,,
d6,"d'Arnaud, Travis",22,R,2011,TOR-min,,114,466,424,72,132,33,1,21,78,150,33,1,100,4,2,0.667,0.311,0.371,0.542,0.914,0,1,8,230,5,,83.0415754923,82.8196936543,39906.4055793991,,,,,,,,,
