PID,NAME,AGE,B,YR,TM,POS,G,PA,AB,R,H,2B,3B,HR,RBI,RP,TBB,IBB,SO,SB,CS,SBP,AVG,OBP,SLG,OPS,SH,SF,HBP,TB,GDP,OPS+,RCbasic,RCsb,RCtech,RAA,WAA,RAR,WAR,waaWL%,162WL%,oWAR,dWAR,oRAR
e0,"Eaddy, Don",21,R,1955,CHC-min,,39,125,125,,36,3,3,0,,,,,,,,,0.288,0.288,0.36,0.648,,,,45,,,,,,,,,,,,,,
e0,"Eaddy, Don",22,R,1956,CHC-min,,11,41,41,,16,1,0,0,,,,,,,,,0.39,0.39,0.415,0.805,,,,17,,,,,,,,,,,,,,
e0,"Eaddy, Don",25,R,1959,CHC-min,,59,245,211,27,52,12,1,2,28,55,24,2,46,0,,,0.246,0.332,0.341,0.673,1,4,5,72,,,23.285106383,,,,,,,,,,,
e0,"Eaddy, Don",25,R,1959,CHC,3B,15,1,1,3,0,0,0,0,0,3,0,0,1,0,0,,0,0,0,0,0,0,0,0,0,-100,0,0,0,-1,-0.2,-1,-0.2,0.49,0.499,-0.1,-0.1,-1
e0,"Eaddy, Don",26,R,1960,CHC-min,,125,551,442,88,130,19,8,9,41,129,99,1,64,12,0,1,0.294,0.428,0.434,0.862,2,2,6,192,,,81.2717190388,84.0654343808,,,,,,,,,,
e0,"Eaddy, Don",27,R,1961,CHC-min,,109,407,363,50,83,12,4,10,32,82,38,,46,8,4,0.667,0.229,0.303,0.366,0.669,4,1,1,133,,,40.1321695761,40.089276808,,,,,,,,,,
e0,"Eaddy, Don",28,R,1962,CHC-min,,111,489,433,66,117,22,3,8,64,130,49,4,62,7,,,0.27,0.345,0.39,0.735,2,3,2,169,,,58.2033195021,,,,,,,,,,,
e0,"Eaddy, Don",29,R,1963,CHC-min,,94,350,315,32,88,14,3,3,42,74,27,,49,2,4,0.333,0.279,0.337,0.371,0.709,3,3,2,117,,,39.3421052632,38.3307017544,,,,,,,,,,
e0,"Eaddy, Don",30,R,1964,CHC-min,,137,476,436,47,118,21,6,10,52,99,35,,79,4,3,0.571,0.271,0.323,0.415,0.738,2,3,0,181,,,58.7961783439,58.3439490446,,,,,,,,,,
e1,"Eagan, Bill",18,U,1887,SCR-min,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e1,"Eagan, Bill",20,U,1889,HRB-min,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e1,"Eagan, Bill",21,U,1890,None-min,,109,452,448,116,140,19,14,4,,,,,,74,,,0.313,0.313,0.444,0.757,4,,,199,,,,,,,,,,,,,,
e1,"Eagan, Bill",22,U,1891,STL,2B,82,344,297,49,65,11,4,4,43,92,44,,53,21,,,0.219,0.326,0.323,0.649,,,3,96,,80,30.6862170088,,,1,0.1,9,0.9,0.501,0.5,0,1,-1
e1,"Eagan, Bill",23,U,1892,ALB-min,,97,409,375,62,98,13,6,2,,,,,,50,,,0.261,0.261,0.344,0.605,34,,,129,,,,,,,,,,,,,,
