PID,NAME,AGE,B,YR,TM,POS,G,PA,AB,R,H,2B,3B,HR,RBI,RP,TBB,IBB,SO,SB,CS,SBP,AVG,OBP,SLG,OPS,SH,SF,HBP,TB,GDP,OPS+,RCbasic,RCsb,RCtech,RAA,WAA,RAR,WAR,waaWL%,162WL%,oWAR,dWAR,oRAR
g3,"Gabler, Gabe",19,L,1950,BRO-min,,130,584,521,97,156,34,7,10,95,192,59,,68,13,,,0.299,0.371,0.449,0.82,4,,0,234,,,86.7413793103,,,,,,,,,,,
g3,"Gabler, Gabe",20,L,1951,BRO-min,,143,581,581,117,177,48,7,23,153,270,,,,11,,,0.305,0.305,0.53,0.835,,,,308,,,,,,,,,,,,,,
g3,"Gabler, Gabe",21,L,1952,BRO-min,,131,481,481,76,136,26,6,14,76,152,,,,6,,,0.283,0.283,0.449,0.732,,,,216,,,,,,,,,,,,,,
g3,"Gabler, Gabe",22,L,1953,BRO-min,,148,526,526,67,127,22,8,22,101,168,,,,11,,,0.241,0.241,0.439,0.681,,,,231,,,,,,,,,,,,,,
g3,"Gabler, Gabe",23,L,1954,BRO-min,,120,443,378,54,71,13,5,13,52,106,51,,105,4,0,1,0.188,0.286,0.352,0.638,6,5,3,133,,,37.8228438228,38.4484848485,,,,,,,,,,
g3,"Gabler, Gabe",24,L,1955,BRO-min,,91,351,351,65,106,22,4,20,74,139,,,,5,,,0.302,0.302,0.558,0.86,,,,196,,,,,,,,,,,,,,
g3,"Gabler, Gabe",25,L,1956,CHC-MLN-PIT-min,,76,278,253,41,60,6,4,11,43,84,20,,29,7,3,0.7,0.237,0.29,0.423,0.713,2,3,0,107,1,,31.3553113553,31.2653846154,,,,,,,,,,
g3,"Gabler, Gabe",26,L,1957,CHC-min,,152,592,512,77,126,23,6,28,98,175,68,,113,4,,,0.246,0.334,0.479,0.813,6,4,2,245,7,,81.9482758621,,,,,,,,,,,
g3,"Gabler, Gabe",27,L,1958,CHC-min,,127,572,503,80,136,18,5,23,94,174,65,,90,0,2,0,0.27,0.354,0.463,0.818,2,1,1,233,,,82.4524647887,81.6320422535,,,,,,,,,,
g3,"Gabler, Gabe",27,L,1958,CHC,,3,3,3,0,0,0,0,0,0,0,0,0,3,0,0,,0,0,0,0,0,0,0,0,0,-100,0,0,0,-1,-0.1,-1,-0.1,0.47,0.499,-0.1,0,-1
