PID,NAME,AGE,B,YR,TM,POS,G,PA,AB,R,H,2B,3B,HR,RBI,RP,TBB,IBB,SO,SB,CS,SBP,AVG,OBP,SLG,OPS,SH,SF,HBP,TB,GDP,OPS+,RCbasic,RCsb,RCtech,RAA,WAA,RAR,WAR,waaWL%,162WL%,oWAR,dWAR,oRAR
i0,"Iannetta, Chris",21,R,2004,COL-min,,36,152,121,23,38,5,1,5,17,40,27,0,29,0,1,0,0.314,0.454,0.496,0.95,0,0,4,60,3,,26.3513513514,25.9459459459,4423.9,,,,,,,,,
i0,"Iannetta, Chris",22,R,2005,COL-min,,108,428,355,63,93,24,4,14,70,133,64,1,87,1,2,0.333,0.262,0.375,0.47,0.845,1,5,3,167,15,,62.5751789976,61.98150358,26334.8885046729,,,,,,,,,
i0,"Iannetta, Chris",23,R,2006,COL-min,,91,365,307,61,103,22,3,14,48,109,48,0,55,1,0,1,0.336,0.433,0.564,0.996,2,2,6,173,12,,73.585915493,73.8198591549,27120.8071232877,,,,,,,,,
i0,"Iannetta, Chris",23,R,2006,COL,C,21,93,77,12,20,4,0,2,10,22,13,2,17,0,1,0,0.26,0.37,0.39,0.759,1,1,1,30,1,89,11,10.6666666667,1059.8511827957,-3,-0.3,0,0,0.487,0.498,0.3,-0.2,3
i0,"Iannetta, Chris",24,R,2007,COL-min,,16,63,54,8,16,3,0,1,7,15,7,0,6,0,0,,0.296,0.397,0.407,0.804,0,0,2,22,4,,8.2950819672,8.2950819672,511.14,,,,,,,,,
i0,"Iannetta, Chris",24,R,2007,COL,C,67,234,197,22,43,8,3,4,27,49,29,3,58,0,0,,0.218,0.33,0.35,0.681,1,2,5,69,3,72,21.982300885,21.982300885,5702.4466666667,-3,-0.3,4,0.3,0.495,0.498,0.3,0.3,4
i0,"Iannetta, Chris",25,R,2008,COL,C,104,407,333,50,88,22,2,18,65,115,56,0,92,0,0,,0.264,0.39,0.505,0.895,2,2,14,168,6,125,62.1902313625,62.1902313625,28302.4051105651,20,1.9,33,3.1,0.52,0.513,3.2,0.6,33
i0,"Iannetta, Chris",26,R,2009,COL-min,,4,17,15,3,5,2,0,1,3,6,2,0,6,0,0,,0.333,0.412,0.667,1.078,0,0,0,10,0,,4.1176470588,4.1176470588,73.64,,,,,,,,,
i0,"Iannetta, Chris",26,R,2009,COL,C,93,350,289,41,66,15,2,16,52,93,43,3,75,0,1,0,0.228,0.344,0.46,0.804,1,6,11,133,4,101,43.6656626506,43.265060241,16819.9104,7,0.7,18,1.8,0.508,0.504,1.4,0.9,15
i0,"Iannetta, Chris",27,R,2010,COL-min,,17,76,63,17,22,7,0,5,21,38,10,0,10,0,0,,0.349,0.447,0.698,1.146,0,1,2,44,3,,19.2876712329,19.2876712329,1460.7268421053,,,,,,,,,
i0,"Iannetta, Chris",27,R,2010,COL,C,61,223,188,20,37,6,1,9,27,47,30,2,48,1,0,1,0.197,0.318,0.383,0.701,0,1,4,72,4,78,22.128440367,22.2974770642,5381.4446636771,-8,-0.9,-1,-0.2,0.486,0.495,0.2,-0.1,3
i0,"Iannetta, Chris",28,R,2011,COL,C,112,426,345,51,82,17,1,14,55,106,70,5,89,6,3,0.667,0.238,0.37,0.414,0.785,2,4,5,143,10,101,52.3759036145,52.5269879518,23212.8146478873,18,1.9,31,3.2,0.517,0.512,2.3,1.6,23
