PID,NAME,AGE,B,YR,TM,POS,G,PA,AB,R,H,2B,3B,HR,RBI,RP,TBB,IBB,SO,SB,CS,SBP,AVG,OBP,SLG,OPS,SH,SF,HBP,TB,GDP,OPS+,RCbasic,RCsb,RCtech,RAA,WAA,RAR,WAR,waaWL%,162WL%,oWAR,dWAR,oRAR
j0,"Jablonski, Ray",20,R,1947,BOS-min,,67,261,261,,85,15,1,10,,,,,,,,,0.326,0.326,0.506,0.831,,,,132,,,,,,,,,,,,,,
j0,"Jablonski, Ray",21,R,1948,BOS-min,,123,486,486,,172,24,2,26,,,,,,,,,0.354,0.354,0.572,0.926,,,,278,,,,,,,,,,,,,,
j0,"Jablonski, Ray",22,R,1949,STL-min,,140,524,524,,144,17,5,7,,,,,,,,,0.275,0.275,0.366,0.641,,,,192,,,,,,,,,,,,,,
j0,"Jablonski, Ray",23,R,1950,STL-min,,150,548,548,,152,39,4,19,,,,,,,,,0.277,0.277,0.467,0.745,,,,256,,,,,,,,,,,,,,
j0,"Jablonski, Ray",24,R,1951,STL-min,,139,551,551,,200,45,3,28,,,,,,,,,0.363,0.363,0.608,0.971,,,,335,,,,,,,,,,,,,,
j0,"Jablonski, Ray",25,R,1952,STL-min,,152,641,592,82,177,27,10,18,103,185,43,,53,0,,,0.299,0.35,0.47,0.819,3,,3,278,,,96.3149606299,,,,,,,,,,,
j0,"Jablonski, Ray",26,R,1953,STL,3B,157,638,604,64,162,23,5,21,112,176,34,,61,2,2,0.5,0.268,0.308,0.427,0.735,1,,1,258,15,89,79.2601880878,78.7858934169,,-21,-2.2,3,0.1,0.487,0.487,1.1,-0.8,10
j0,"Jablonski, Ray",27,R,1954,STL,3B,152,673,611,80,181,33,3,12,104,184,49,,42,9,4,0.692,0.296,0.345,0.419,0.764,1,11,2,256,17,99,89.2121212121,89.3556060606,,-5,-0.6,20,1.8,0.497,0.497,2.8,-0.9,28
j0,"Jablonski, Ray",28,R,1955,SDG-min,,62,247,213,32,60,8,0,13,40,72,30,,41,0,,,0.282,0.369,0.502,0.871,3,1,0,107,6,,39.6296296296,,,,,,,,,,,
j0,"Jablonski, Ray",28,R,1955,CIN,3B,74,239,221,28,53,9,0,9,28,56,13,1,35,0,1,0,0.24,0.289,0.403,0.691,0,2,3,89,4,78,25.1025641026,24.7222222222,5945.6043514644,-14,-1.5,-4,-0.6,0.481,0.491,0,-0.7,0
j0,"Jablonski, Ray",29,R,1956,CIN,3B,130,458,407,42,104,25,1,15,66,108,37,6,57,2,4,0.333,0.256,0.324,0.432,0.756,1,6,7,176,14,97,55.8918918919,54.6457207207,24164.4102183406,-10,-1.4,7,0.4,0.492,0.493,1.4,-0.8,13
j0,"Jablonski, Ray",30,R,1957,NYG,3B,107,343,305,37,88,15,1,9,57,94,31,2,47,0,2,0,0.289,0.346,0.433,0.779,0,8,0,132,8,108,46.75,45.9642857143,15209.8720930233,3,0.2,16,1.5,0.503,0.502,1.6,0,16
j0,"Jablonski, Ray",31,R,1958,SFG,3B,86,251,230,28,53,15,1,12,46,74,17,2,50,2,0,1,0.23,0.287,0.461,0.748,0,2,2,106,11,96,30.04048583,30.3522267206,6735.6282868526,-9,-1,0,-0.1,0.488,0.494,0.6,-0.6,6
j0,"Jablonski, Ray",32,R,1959,KCA,3B,85,164,152,15,39,5,0,5,22,37,11,0,30,1,0,1,0.257,0.305,0.388,0.693,0,1,0,59,3,83,18.0981595092,18.2668711656,2907.4263414634,-4,-0.4,0,-0.1,0.493,0.498,0.3,-0.3,3
j0,"Jablonski, Ray",33,R,1960,KCA-min,,109,438,380,52,112,22,1,16,74,126,51,1,71,9,,,0.295,0.375,0.484,0.859,1,5,1,184,,,69.5870069606,,,,,,,,,,,
j0,"Jablonski, Ray",33,R,1960,KCA,3B,21,37,32,3,7,1,0,0,3,6,4,0,8,0,0,,0.219,0.297,0.25,0.547,0,1,0,8,1,50,2.4444444444,2.4444444444,90.4140540541,-4,-0.4,-2,-0.3,0.482,0.498,-0.1,-0.2,-1
j0,"Jablonski, Ray",34,R,1961,KCA-LAA-min,,121,469,400,57,117,15,0,23,76,133,63,2,76,3,0,1,0.293,0.39,0.503,0.893,0,3,3,201,,,78.1425485961,78.7840172786,,,,,,,,,,
j0,"Jablonski, Ray",35,R,1962,ANA/PHI-min,,137,566,506,79,142,23,2,25,81,160,50,5,75,3,,,0.281,0.344,0.482,0.826,5,4,1,244,,,84.2589928058,,,,,,,,,,,
j0,"Jablonski, Ray",36,R,1963,MIN-min,,139,497,450,55,120,26,1,26,81,136,39,,80,4,2,0.667,0.267,0.328,0.502,0.83,0,4,4,226,,,73.4846625767,73.2666666667,,,,,,,,,,
j0,"Jablonski, Ray",37,R,1964,MIN-min,,87,246,208,19,40,10,0,4,25,44,34,,40,1,1,0.5,0.192,0.305,0.298,0.603,0,3,1,62,,,18.958677686,18.8683884298,,,,,,,,,,
j1,"Jacklitsch, Fred",21,R,1897,PHI-min,,1,1,1,1,1,1,0,0,,,,,,0,,,1,1,2,3,,,,2,,,,,,,,,,,,,,
j1,"Jacklitsch, Fred",22,R,1898,None-min,,66,213,211,29,48,8,4,6,,,,,,11,,,0.227,0.227,0.389,0.616,2,,,82,,,,,,,,,,,,,,
j1,"Jacklitsch, Fred",23,R,1899,MTL-min,,102,341,340,59,99,15,9,5,,,,,,32,,,0.291,0.291,0.432,0.724,1,,,147,,,,,,,,,,,,,,
j1,"Jacklitsch, Fred",24,R,1900,None-min,,32,87,87,21,16,6,1,2,,,,,,2,,,0.184,0.184,0.345,0.529,0,,,30,,,,,,,,,,,,,,
j1,"Jacklitsch, Fred",24,R,1900,PHI,C,5,11,11,0,2,1,0,0,3,3,0,,2,0,,,0.182,0.182,0.273,0.455,0,,0,3,,25,0.5454545455,,,-1,-0.1,-1,-0.1,0.481,0.499,-0.1,0,-1
j1,"Jacklitsch, Fred",25,R,1901,PHI,C,33,134,120,14,30,4,3,0,24,38,12,,22,2,,,0.25,0.328,0.333,0.662,0,,2,40,,90,12.7272727273,,,-1,-0.1,4,0.4,0.498,0.499,0.5,0.1,5
j1,"Jacklitsch, Fred",26,R,1902,PHI,C,38,127,114,8,23,4,0,0,8,16,9,,20,2,,,0.202,0.278,0.237,0.515,1,,3,27,,57,7.0243902439,,,-7,-0.8,-3,-0.3,0.48,0.495,0,-0.2,0
j1,"Jacklitsch, Fred",27,R,1903,BRO,C,60,212,176,31,47,8,3,1,21,52,33,,32,4,,,0.267,0.389,0.364,0.752,1,,2,64,,116,24.4976076555,,,8,0.8,15,1.5,0.513,0.505,1.4,0.4,15
j1,"Jacklitsch, Fred",28,R,1904,BRO,1B,26,88,77,8,18,3,1,0,8,16,7,,16,7,,,0.234,0.322,0.299,0.621,1,,3,23,,94,6.8452380952,,,-3,-0.3,0,0,0.487,0.498,0.3,-0.3,3
j1,"Jacklitsch, Fred",29,R,1905,PRV-min,,62,191,191,,60,8,6,1,,,,,,,,,0.314,0.314,0.435,0.749,,,,83,,,,,,,,,,,,,,
j1,"Jacklitsch, Fred",29,R,1905,NYY,C,1,4,3,1,0,0,0,0,1,2,1,,1,0,,,0,0.25,0,0.25,0,,0,0,,-22,0,,,0,0,0,0,0.462,0.5,0,0,0
j1,"Jacklitsch, Fred",30,R,1906,YOR-min,,74,247,247,,72,11,5,2,,,,,,,,,0.291,0.291,0.401,0.692,,,,99,,,,,,,,,,,,,,
j1,"Jacklitsch, Fred",31,R,1907,PHI,C,73,232,202,19,43,7,0,0,17,36,27,,40,7,,,0.213,0.312,0.248,0.559,1,,2,50,,77,15.2838427948,,,2,0.2,9,1,0.503,0.501,0.7,0.8,6
j1,"Jacklitsch, Fred",32,R,1908,PHI,C,37,105,86,6,19,3,0,0,7,13,14,,20,3,,,0.221,0.337,0.256,0.592,4,,1,22,,87,7.26,,,0,0.1,4,0.4,0.502,0.5,0.4,0.2,4
j1,"Jacklitsch, Fred",33,R,1909,PHI,C,20,42,32,6,10,1,1,0,1,7,10,,5,1,,,0.313,0.476,0.406,0.882,0,,0,13,,174,6.1904761905,,,4,0.4,5,0.6,0.522,0.503,0.6,0.1,5
j1,"Jacklitsch, Fred",34,R,1910,PHI,C,25,57,51,7,10,3,0,0,2,9,5,,9,0,,,0.196,0.268,0.255,0.523,1,,0,13,,51,3.4821428571,,,-2,-0.2,0,-0.1,0.49,0.498,-0.1,0.1,-1
j1,"Jacklitsch, Fred",35,R,1911,ROC-min,,80,226,226,,54,12,5,2,,,,,,,,,0.239,0.239,0.363,0.602,,,,82,,,,,,,,,,,,,,
j1,"Jacklitsch, Fred",36,R,1912,ROC-min,,53,144,144,,41,7,3,0,,,,,,,,,0.285,0.285,0.375,0.66,,,,54,,,,,,,,,,,,,,
j1,"Jacklitsch, Fred",37,R,1913,ROC-min,,84,222,222,,65,17,4,2,,,,,,,,,0.293,0.293,0.432,0.725,,,,96,,,,,,,,,,,,,,
j1,"Jacklitsch, Fred",38,R,1914,BAL,C,122,397,337,40,93,21,4,2,48,88,52,,66,7,,,0.276,0.376,0.38,0.756,5,,2,128,,113,47.7120822622,,,14,1.6,21,2.2,0.513,0.509,1.9,1.1,19
j1,"Jacklitsch, Fred",39,R,1915,BAL,C,49,170,135,20,32,9,0,2,13,33,31,,25,2,,,0.237,0.387,0.348,0.735,2,,2,47,,113,17.8373493976,,,9,1,12,1.3,0.521,0.506,0.9,0.7,9
j1,"Jacklitsch, Fred",41,R,1917,BSN,C,1,0,0,0,0,0,0,0,0,0,0,,0,0,,,,,,,0,,0,0,,,,,,0,0,0,0,0.5,0.5,0,0,0
j3,"Jackson, Austin",18,R,2005,NYY-min,,40,171,148,32,45,11,2,0,14,46,18,0,26,11,2,0.846,0.304,0.374,0.405,0.78,0,4,1,60,4,,22.7710843373,24.2713855422,3766.5656140351,,,,,,,,,
j3,"Jackson, Austin",19,R,2006,NYY-min,,134,611,535,90,139,24,5,4,47,137,61,0,151,37,12,0.755,0.26,0.34,0.346,0.686,5,4,6,185,7,,62.0805369128,64.7748322148,37852.5791489362,,,,,,,,,
j3,"Jackson, Austin",20,R,2007,NYY-min,,167,711,629,113,187,42,12,16,81,194,66,0,147,41,12,0.774,0.297,0.37,0.479,0.848,2,5,9,301,12,,109.5726618705,112.1950359712,76279.0351054852,,,,,,,,,
j3,"Jackson, Austin",21,R,2008,NYY-min,,159,708,634,92,176,39,8,10,87,179,63,3,143,21,6,0.778,0.278,0.344,0.412,0.756,2,5,4,261,12,,89.4964131994,91.1106886657,62469.0205649718,,,,,,,,,
