PID,NAME,AGE,B,YR,TM,POS,G,PA,AB,R,H,2B,3B,HR,RBI,RP,TBB,IBB,SO,SB,CS,SBP,AVG,OBP,SLG,OPS,SH,SF,HBP,TB,GDP,OPS+,RCbasic,RCsb,RCtech,RAA,WAA,RAR,WAR,waaWL%,162WL%,oWAR,dWAR,oRAR
k0,"Ka'aihue, Kila",18,L,2002,KCR-min,,43,168,139,15,36,8,0,3,21,36,26,0,35,0,0,,0.259,0.381,0.381,0.762,0,1,2,53,4,,19.9151515152,19.9151515152,3616.8030952381,,,,,,,,,
k0,"Ka'aihue, Kila",19,L,2003,KCR-min,,114,482,395,53,94,21,1,11,63,116,67,1,87,1,3,0.25,0.238,0.355,0.38,0.735,6,6,8,150,13,,52.2727272727,51.4867965368,25893.7340248963,,,,,,,,,
k0,"Ka'aihue, Kila",20,L,2004,KCR-min,,125,471,390,57,96,23,2,15,62,119,64,4,98,1,0,1,0.246,0.361,0.431,0.792,3,5,9,168,6,,59.2070484581,59.4008810573,30308.2299363057,,,,,,,,,
k0,"Ka'aihue, Kila",21,L,2005,KCR-min,,132,605,493,84,150,31,2,20,90,174,97,2,97,2,1,0.667,0.304,0.428,0.497,0.925,0,3,12,245,12,,102.5677966102,102.6111864407,67113.7242975207,,,,,,,,,
k0,"Ka'aihue, Kila",22,L,2006,KCR-min,,103,395,327,40,65,15,0,6,45,85,49,0,73,0,1,0,0.199,0.303,0.3,0.602,5,10,4,98,5,,29.7127659574,29.4521276596,12519.3797468354,,,,,,,,,
k0,"Ka'aihue, Kila",23,L,2007,KCR-min,,150,629,520,75,126,24,0,24,97,172,93,4,96,1,0,1,0.242,0.358,0.427,0.785,1,9,6,222,9,,79.3115823817,79.5080750408,53287.2090937997,,,,,,,,,
k0,"Ka'aihue, Kila",24,L,2008,KCR-min,,146,610,472,105,143,19,0,40,110,215,126,11,85,7,2,0.778,0.303,0.452,0.597,1.05,0,5,7,282,4,,126.8528428094,127.6286789298,84704.4102295082,,,,,,,,,
k0,"Ka'aihue, Kila",24,L,2008,KCR,DH,12,24,21,4,6,0,0,1,1,5,3,0,2,0,0,,0.286,0.375,0.429,0.804,0,0,0,9,0,115,3.375,3.375,88.02,-1,-0.1,0,0,0.49,0.499,0.1,-0.2,1
k0,"Ka'aihue, Kila",25,L,2009,KCR-min,,131,555,441,83,111,27,1,17,57,140,102,6,85,0,1,0,0.252,0.392,0.433,0.825,1,7,4,191,11,,74.9226519337,74.5709023941,44485.0074954955,,,,,,,,,
k0,"Ka'aihue, Kila",26,L,2010,KCR-min,,94,416,323,67,103,16,1,24,78,145,88,6,69,2,0,1,0.319,0.463,0.598,1.06,1,3,1,193,5,,89.6909975669,90.202189781,40126.4675,,,,,,,,,
k0,"Ka'aihue, Kila",26,L,2010,KCR,1B,52,206,180,22,39,6,1,8,25,47,24,2,39,0,1,0,0.217,0.307,0.394,0.702,1,1,0,71,5,91,21.9264705882,21.5784313725,4373.0450485437,-7,-0.7,1,0.1,0.486,0.496,0.1,-0.3,1
k0,"Ka'aihue, Kila",27,L,2011,KCR-min,,95,388,323,43,88,19,0,11,65,108,57,3,81,1,1,0.5,0.272,0.379,0.433,0.812,0,6,2,140,8,,53.4210526316,53.2610526316,21329.2893814433,,,,,,,,,
k0,"Ka'aihue, Kila",27,L,2011,KCR,1B,23,96,82,6,16,4,0,2,6,12,12,0,26,0,0,,0.195,0.295,0.317,0.612,1,1,0,26,3,69,7.7446808511,7.7446808511,728.0108333333,-5,-0.6,-2,-0.2,0.475,0.496,0,-0.4,0
k0,"Ka'aihue, Kila",28,L,2012,OAK-min,,66,305,254,44,65,16,0,15,52,96,44,2,60,1,1,0.5,0.256,0.367,0.496,0.863,0,4,3,126,6,,46.0872483221,45.8637583893,14458.5085245902,,,,,,,,,
k0,"Ka'aihue, Kila",28,L,2012,OAK,1B,39,139,128,13,30,9,0,4,14,27,10,0,28,1,0,1,0.234,0.295,0.398,0.693,0,0,1,51,6,93,14.7826086957,14.9420289855,1885.1037410072,-6,-0.7,-1,-0.2,0.483,0.496,0.1,-0.5,1
k0,"Ka'aihue, Kila",29,L,2013,None-min,,66,265,224,31,58,7,0,14,45,76,36,0,65,0,0,,0.259,0.362,0.478,0.84,0,3,2,107,2,,38.6846153846,38.6846153846,10986.7258867925,,,,,,,,,
k0,"Ka'aihue, Kila",30,L,2014,None-min,,88,335,288,25,74,13,0,11,40,65,41,0,85,0,0,,0.257,0.355,0.417,0.772,0,2,4,120,4,,41.9452887538,41.9452887538,15145.5031044776,,,,,,,,,
