PID,NAME,AGE,B,YR,TM,POS,G,PA,AB,R,H,2B,3B,HR,RBI,RP,TBB,IBB,SO,SB,CS,SBP,AVG,OBP,SLG,OPS,SH,SF,HBP,TB,GDP,OPS+,RCbasic,RCsb,RCtech,RAA,WAA,RAR,WAR,waaWL%,162WL%,oWAR,dWAR,oRAR
l0,"Russa, Tony",17,R,1962,KCA-min,,76,331,268,40,66,7,0,1,36,76,47,0,56,13,,,0.246,0.365,0.284,0.648,2,7,7,76,,,27.2634920635,,,,,,,,,,,
l0,"Russa, Tony",18,R,1963,KCA,SS,34,53,44,4,11,1,1,0,1,5,7,0,12,0,0,,0.25,0.346,0.318,0.664,1,1,0,14,0,84,4.9411764706,4.9411764706,284.7796226415,-2,-0.3,0,-0.1,0.493,0.499,0.1,-0.1,1
l0,"Russa, Tony",19,R,1964,KCA-min,,135,584,496,69,118,25,1,2,37,106,75,,75,21,9,0.7,0.238,0.339,0.304,0.643,5,5,3,151,,,51.0385288967,52.380385289,,,,,,,,,,
l0,"Russa, Tony",20,R,1965,KCA-min,,75,293,259,24,50,11,2,1,18,42,26,,37,5,0,1,0.193,0.273,0.263,0.536,4,1,3,68,,,18.1333333333,18.8666666667,,,,,,,,,,
l0,"Russa, Tony",21,R,1966,KCA-min,,132,567,486,87,142,29,5,11,80,167,67,,61,22,5,0.815,0.292,0.382,0.44,0.822,1,6,7,214,,,80.8788426763,83.4075949367,,,,,,,,,,
l0,"Russa, Tony",22,R,1967,KCA-min,,41,153,139,12,32,6,1,5,22,34,10,,11,3,0,1,0.23,0.287,0.396,0.682,3,0,1,55,,,15.5033557047,15.9684563758,,,,,,,,,,
l0,"Russa, Tony",23,R,1968,OAK-min,,122,514,455,55,109,16,8,5,29,84,52,,58,4,5,0.444,0.24,0.32,0.343,0.663,2,2,3,156,,,49.5384615385,48.6769230769,,,,,,,,,,
l0,"Russa, Tony",23,R,1968,OAK,,5,3,3,0,1,0,0,0,0,0,0,0,0,0,0,,0.333,0.333,0.333,0.667,0,0,0,1,0,109,0.3333333333,0.3333333333,1,1,0.1,1,0.1,0.516,0.5,0.1,0,1
l0,"Russa, Tony",24,R,1969,OAK-min,,67,283,235,37,72,11,1,4,27,64,42,,30,5,3,0.625,0.306,0.418,0.413,0.831,3,0,3,97,,,39.9205776173,39.9720216606,,,,,,,,,,
l0,"Russa, Tony",24,R,1969,OAK,,8,8,8,0,0,0,0,0,0,0,0,0,1,0,0,,0,0,0,0,0,0,0,0,0,-100,0,0,0,-2,-0.2,-2,-0.2,0.472,0.499,-0.2,0,-2
l0,"Russa, Tony",25,R,1970,OAK-min,,22,99,88,13,22,5,0,2,5,18,9,,14,0,0,,0.25,0.333,0.375,0.708,0,0,2,33,,,10.5463917526,10.5463917526,,,,,,,,,,
l0,"Russa, Tony",25,R,1970,OAK,2B,52,123,106,6,21,4,1,0,6,12,15,1,19,0,0,,0.198,0.301,0.255,0.556,0,1,1,27,0,57,8.0330578512,8.0330578512,1143.3042276423,-5,-0.6,-1,-0.2,0.488,0.496,-0.2,0.1,-2
l0,"Russa, Tony",26,R,1971,OAK-min,,28,119,107,21,31,5,1,2,11,32,10,,11,0,1,0,0.29,0.353,0.411,0.764,0,1,1,44,,,15.4188034188,15.0427350427,,,,,,,,,,
l0,"Russa, Tony",26,R,1971,ATL,2B,32,16,15,4,2,0,0,0,0,4,1,0,5,0,0,,0.133,0.188,0.133,0.321,0,0,0,2,2,-8,0.375,0.375,2.26,-1,-0.2,-1,-0.1,0.491,0.499,-0.1,-0.1,-1
l0,"Russa, Tony",27,R,1972,ATL-min,,122,474,389,68,120,13,2,10,42,110,72,,41,15,4,0.789,0.308,0.43,0.429,0.859,2,0,11,167,,,69.5531453362,71.4685466377,,,,,,,,,,
l0,"Russa, Tony",28,R,1973,CHC-min,,106,467,392,82,123,16,0,5,75,157,60,,46,10,4,0.714,0.314,0.403,0.393,0.796,3,8,4,154,,,62.3495575221,63.1648230088,,,,,,,,,,
