PID,NAME,AGE,B,YR,TM,POS,G,PA,AB,R,H,2B,3B,HR,RBI,RP,TBB,IBB,SO,SB,CS,SBP,AVG,OBP,SLG,OPS,SH,SF,HBP,TB,GDP,OPS+,RCbasic,RCsb,RCtech,RAA,WAA,RAR,WAR,waaWL%,162WL%,oWAR,dWAR,oRAR
m1,"Maas, Kevin",21,L,1986,NYY-min,,28,109,101,14,36,10,0,0,18,32,7,1,9,5,1,0.833,0.356,0.394,0.455,0.85,0,1,0,46,,,18.3148148148,18.9583333333,,,,,,,,,,
m1,"Maas, Kevin",22,L,1987,NYY-min,,116,502,439,77,122,28,4,11,73,150,53,4,108,14,4,0.778,0.278,0.353,0.435,0.788,0,8,2,191,,,67.9369918699,69.0603658537,,,,,,,,,,
m1,"Maas, Kevin",23,L,1988,NYY-min,,138,578,480,90,130,21,3,28,90,180,81,5,131,8,2,0.8,0.271,0.381,0.502,0.883,3,6,8,241,0,,90.6434937611,91.4235294118,57036.2952941176,,,,,,,,,
m1,"Maas, Kevin",24,L,1989,NYY-min,,83,336,291,42,93,23,2,6,45,87,40,0,73,2,3,0.4,0.32,0.399,0.474,0.873,0,4,1,138,,,55.4501510574,54.6314199396,,,,,,,,,,
m1,"Maas, Kevin",25,L,1990,NYY-min,,57,228,194,37,55,15,2,13,38,75,34,1,45,2,2,0.5,0.284,0.39,0.582,0.973,0,0,0,113,,,44.1096491228,43.5381578947,,,,,,,,,,
m1,"Maas, Kevin",25,L,1990,NYY,1B,79,300,254,42,64,9,0,21,41,83,43,10,76,1,2,0.333,0.252,0.367,0.535,0.902,0,0,3,136,2,150,48.9966329966,48.2752525253,15408.1617333333,2,0.2,12,1.2,0.502,0.501,2,-1.3,20
m1,"Maas, Kevin",26,L,1991,NYY,DH,148,592,500,69,110,14,1,23,63,132,83,3,128,5,1,0.833,0.22,0.333,0.39,0.723,0,5,4,195,4,100,64.5540308748,65.1252144082,41633.2887837838,-13,-1.2,8,0.8,0.491,0.492,0.9,-1.4,10
m1,"Maas, Kevin",27,L,1992,NYY,DH,98,315,286,35,71,12,0,11,35,70,25,4,63,3,1,0.75,0.248,0.305,0.406,0.71,0,4,0,116,1,99,35.807073955,35.9381028939,11417.2515555556,-9,-0.9,3,0.2,0.49,0.494,0.1,-0.7,2
m1,"Maas, Kevin",28,L,1993,NYY-min,,28,125,104,14,29,6,0,4,18,32,19,2,22,0,1,0,0.279,0.392,0.452,0.844,0,1,1,47,1,,18.3414634146,17.9593495935,2428.96416,,,,,,,,,
m1,"Maas, Kevin",28,L,1993,NYY,DH,59,177,151,20,31,4,0,9,25,45,24,2,32,1,1,0.5,0.205,0.316,0.411,0.727,0,1,1,62,2,97,19.4857142857,19.3011428571,3602.9458757062,-5,-0.6,1,0.1,0.491,0.497,0,-0.3,0
m1,"Maas, Kevin",29,L,1994,CIN-SDP-min,,111,437,388,74,112,27,4,26,65,139,41,0,74,3,3,0.5,0.289,0.358,0.58,0.938,1,4,3,225,5,,80.2447552448,79.2482517483,34993.1295194508,,,,,,,,,
m1,"Maas, Kevin",30,L,1995,NYY-min,,46,197,170,29,49,7,2,10,36,65,23,0,40,0,0,,0.288,0.376,0.529,0.905,0,2,2,90,1,,33.5751295337,33.5751295337,7044.5052791878,,,,,,,,,
