PID,NAME,AGE,B,YR,TM,POS,G,PA,AB,R,H,2B,3B,HR,RBI,RP,TBB,IBB,SO,SB,CS,SBP,AVG,OBP,SLG,OPS,SH,SF,HBP,TB,GDP,OPS+,RCbasic,RCsb,RCtech,RAA,WAA,RAR,WAR,waaWL%,162WL%,oWAR,dWAR,oRAR
o0,"O'Berry, Mike",21,R,1975,BOS-min,,39,113,96,5,8,2,1,0,5,10,13,0,28,0,0,,0.083,0.193,0.125,0.318,4,0,0,12,1,,2.3119266055,2.3119266055,307.6184070796,,,,,,,,,
o0,"O'Berry, Mike",22,R,1976,BOS-min,,111,396,330,51,66,12,4,4,32,83,58,,85,1,2,0.333,0.2,0.318,0.297,0.615,3,4,1,98,,,31.3195876289,30.987371134,,,,,,,,,,
o0,"O'Berry, Mike",23,R,1977,BOS-min,,125,426,352,46,72,10,2,2,25,71,56,,94,1,0,1,0.205,0.316,0.261,0.578,15,1,2,92,,,28.862745098,29.0352941176,,,,,,,,,,
o0,"O'Berry, Mike",24,R,1978,BOS-min,,114,400,339,41,80,12,1,6,41,82,46,,89,7,4,0.636,0.236,0.332,0.33,0.662,11,1,3,112,,,36.6545454545,36.7109090909,,,,,,,,,,
o0,"O'Berry, Mike",25,R,1979,BOS-min,,34,93,78,6,13,1,0,1,5,11,11,,24,0,0,,0.167,0.267,0.218,0.485,3,1,0,17,,,4.5842696629,4.5842696629,,,,,,,,,,
o0,"O'Berry, Mike",25,R,1979,BOS,C,43,68,59,8,10,1,0,1,4,12,5,0,16,0,0,,0.169,0.242,0.237,0.48,2,1,1,14,3,28,3.28125,3.28125,202.3029411765,-4,-0.4,-2,-0.2,0.49,0.497,-0.2,0.2,-2
o0,"O'Berry, Mike",26,R,1980,CHC-min,,66,242,196,35,48,11,3,1,29,64,39,,46,2,4,0.333,0.245,0.367,0.347,0.714,2,4,1,68,,,25.1744680851,24.4055319149,,,,,,,,,,
o0,"O'Berry, Mike",26,R,1980,CHC,C,19,57,48,7,10,1,0,0,5,12,5,0,13,0,0,,0.208,0.273,0.229,0.502,2,2,0,11,0,38,3.1132075472,3.1132075472,184.5364912281,-2,-0.2,0,0,0.49,0.499,-0.2,0.3,-2
o0,"O'Berry, Mike",27,R,1981,CIN,C,55,128,111,6,20,3,1,1,5,11,14,0,19,0,0,,0.18,0.272,0.252,0.524,3,0,0,28,3,49,7.616,7.616,980.8521875,-1,-0.1,3,0.3,0.498,0.499,-0.1,0.7,0
o0,"O'Berry, Mike",28,R,1982,CIN-min,,45,115,105,11,20,3,1,0,5,16,6,0,15,0,0,,0.19,0.23,0.238,0.468,2,2,0,25,,,5.8558558559,5.8558558559,,,,,,,,,,
o0,"O'Berry, Mike",28,R,1982,CIN,C,21,55,45,5,10,2,0,0,3,8,10,0,13,0,0,,0.222,0.364,0.267,0.63,0,0,0,12,1,78,4.3636363636,4.3636363636,277.4,2,0.2,4,0.4,0.511,0.501,0.2,0.3,2
o0,"O'Berry, Mike",29,R,1983,CAL-min,,57,220,179,43,55,8,1,4,24,67,38,0,31,4,1,0.8,0.307,0.427,0.43,0.857,2,1,0,77,,,33,33.5778801843,,,,,,,,,,
o0,"O'Berry, Mike",29,R,1983,CAL,C,26,65,60,7,10,1,0,1,5,12,3,0,11,0,0,,0.167,0.206,0.233,0.44,2,0,0,14,1,22,2.8888888889,2.8888888889,177.376,-4,-0.4,-2,-0.2,0.484,0.497,-0.3,0.2,-3
