PID,NAME,AGE,B,YR,TM,POS,G,PA,AB,R,H,2B,3B,HR,RBI,RP,TBB,IBB,SO,SB,CS,SBP,AVG,OBP,SLG,OPS,SH,SF,HBP,TB,GDP,OPS+,RCbasic,RCsb,RCtech,RAA,WAA,RAR,WAR,waaWL%,162WL%,oWAR,dWAR,oRAR
q2,"Qualls, Jim",17,B,1964,CHC-min,,37,129,119,28,33,6,3,1,14,42,9,,30,4,0,1,0.277,0.326,0.403,0.729,0,1,0,48,,,15.75,16.471875,,,,,,,,,,
q2,"Qualls, Jim",18,B,1965,CHC-min,,106,473,443,76,118,14,7,3,28,104,24,,75,26,12,0.684,0.266,0.306,0.35,0.656,2,2,2,155,,,47.130620985,47.1284796574,,,,,,,,,,
q2,"Qualls, Jim",19,B,1966,CHC-min,,74,333,304,52,80,11,2,0,19,71,23,,46,12,11,0.522,0.263,0.32,0.313,0.633,2,1,3,95,,,29.9235474006,28.5847094801,,,,,,,,,,
q2,"Qualls, Jim",20,B,1967,CHC-min,,100,393,353,49,95,14,2,3,37,86,33,,39,8,4,0.667,0.269,0.332,0.346,0.677,4,2,1,122,,,40.4559585492,40.6051813472,,,,,,,,,,
q2,"Qualls, Jim",21,B,1968,CHC-min,,113,469,430,55,106,12,4,4,35,90,31,,64,18,5,0.783,0.247,0.302,0.321,0.623,2,2,4,138,,,41.010845987,42.3488069414,,,,,,,,,,
q2,"Qualls, Jim",22,B,1969,CHC-min,,40,183,170,23,54,11,1,2,26,49,12,,14,4,4,0.5,0.318,0.366,0.429,0.796,0,0,1,73,,,26.4725274725,25.6175824176,,,,,,,,,,
q2,"Qualls, Jim",22,B,1969,CHC,CF,43,124,120,12,30,5,3,0,9,21,2,0,14,2,1,0.667,0.25,0.266,0.342,0.608,0,1,1,41,0,61,10.7540983607,10.6975409836,1336.9725806452,-10,-1,-5,-0.6,0.475,0.493,-0.2,-0.5,-1
q2,"Qualls, Jim",23,B,1970,MON-CHC-min,,76,278,261,25,68,9,4,3,23,48,14,,25,10,3,0.769,0.261,0.302,0.36,0.662,0,1,2,94,,,28.0290909091,28.5836363636,,,,,,,,,,
q2,"Qualls, Jim",23,B,1970,MON,2B,9,9,9,1,1,0,0,0,1,2,0,0,0,0,0,,0.111,0.111,0.111,0.222,0,0,0,1,0,-40,0.1111111111,0.1111111111,1,-2,-0.2,-2,-0.2,0.473,0.499,-0.1,-0.1,-1
q2,"Qualls, Jim",24,B,1971,CIN-min,,94,369,340,40,86,15,4,5,33,73,21,,54,4,8,0.333,0.253,0.296,0.365,0.661,4,3,1,124,,,36.7534626039,34.6088642659,,,,,,,,,,
q2,"Qualls, Jim",25,B,1972,None-min,,81,334,318,42,93,11,0,9,48,90,11,1,25,4,6,0.4,0.292,0.315,0.412,0.727,1,3,1,131,5,,41.4103343465,39.6765957447,12582.8524550898,,,,,,,,,
q2,"Qualls, Jim",25,B,1972,CHW,CF,11,11,10,0,0,0,0,0,0,0,0,0,2,0,0,,0,0,0,0,1,0,0,0,0,-100,0,0,0.0472727273,-2,-0.2,-2,-0.2,0.477,0.498,-0.2,0,-2
q2,"Qualls, Jim",26,B,1973,None-min,,81,317,302,32,63,7,0,6,23,55,5,0,30,2,0,1,0.209,0.238,0.291,0.529,2,1,7,88,12,,19.4918566775,19.735504886,5740.5682018928,,,,,,,,,
q6,"Queen, Billy",18,R,1947,MVR-min,,82,311,311,,79,6,2,0,,,,,,,,,0.254,0.254,0.286,0.54,,,,89,,,,,,,,,,,,,,
q6,"Queen, Billy",19,R,1948,BSN-min,,118,439,439,,137,24,3,4,,,,,,,,,0.312,0.312,0.408,0.72,,,,179,,,,,,,,,,,,,,
q6,"Queen, Billy",20,R,1949,BSN-min,,67,221,221,,51,16,3,3,,,,,,,,,0.231,0.231,0.371,0.602,,,,82,,,,,,,,,,,,,,
q6,"Queen, Billy",21,R,1950,BSN-min,,118,447,447,,159,39,5,21,,,,,,,,,0.356,0.356,0.606,0.962,,,,271,,,,,,,,,,,,,,
q6,"Queen, Billy",22,R,1951,BSN-min,,30,101,101,,27,8,0,3,,,,,,,,,0.267,0.267,0.436,0.703,,,,44,,,,,,,,,,,,,,
q6,"Queen, Billy",23,R,1952,BSN-min,,146,579,579,,192,31,5,36,,,,,,,,,0.332,0.332,0.589,0.921,,,,341,,,,,,,,,,,,,,
q6,"Queen, Billy",24,R,1953,MLN-min,,124,486,434,74,122,17,1,18,77,151,49,,84,3,,,0.281,0.355,0.449,0.805,2,,1,195,5,,69.0372670807,,,,,,,,,,,
q6,"Queen, Billy",25,R,1954,MLN-min,,126,499,430,67,96,15,1,19,58,125,63,,89,4,,,0.223,0.322,0.395,0.717,2,3,1,170,7,,54.8275862069,,,,,,,,,,,
q6,"Queen, Billy",25,R,1954,MLN,RF,3,2,2,0,0,0,0,0,0,0,0,,2,0,0,,0,0,0,0,0,0,0,0,0,-100,0,0,,0,0,0,0,0.487,0.5,-0.1,0,-1
q6,"Queen, Billy",26,R,1955,MLN-min,,106,414,353,56,89,14,1,15,56,112,54,,54,2,,,0.252,0.348,0.425,0.773,3,4,0,150,8,,52.7027027027,,,,,,,,,,,
q6,"Queen, Billy",27,R,1956,MLN-min,,123,442,388,50,99,14,2,14,55,105,43,,53,1,,,0.255,0.326,0.41,0.736,3,7,1,159,11,,52.3851508121,,,,,,,,,,,
q6,"Queen, Billy",28,R,1957,MLN-STL-min,,116,416,371,44,88,16,1,10,47,91,40,0,48,4,1,0.8,0.237,0.308,0.367,0.675,1,4,0,136,,,42.3552311436,42.704136253,,,,,,,,,,
q6,"Queen, Billy",29,R,1958,STL-min,,90,241,213,21,41,7,0,4,23,44,22,5,24,3,,,0.192,0.267,0.282,0.548,1,4,1,60,,,16.085106383,,,,,,,,,,,
q6,"Queen, Billy",30,R,1959,MLN-min,,61,132,117,16,34,6,0,1,13,29,12,0,18,0,,,0.291,0.364,0.333,0.697,0,1,2,39,,,13.9069767442,,,,,,,,,,,
q6,"Queen, Billy",31,R,1960,GST-min,,66,255,206,44,61,12,1,5,34,78,45,,20,6,,,0.296,0.42,0.437,0.857,0,3,1,90,,,38.0079681275,,,,,,,,,,,
q9,"Quellich, George",20,R,1923,None-min,,97,358,358,,108,21,2,9,,,,,,,,,0.302,0.302,0.447,0.749,,,,160,,,,,,,,,,,,,,
q9,"Quellich, George",21,R,1924,None-min,,137,454,454,,157,28,12,19,,,,,,,,,0.346,0.346,0.586,0.932,,,,266,,,,,,,,,,,,,,
q9,"Quellich, George",22,R,1925,ROC-min,,126,386,386,,115,20,21,19,,,,,,,,,0.298,0.298,0.606,0.904,,,,234,,,,,,,,,,,,,,
q9,"Quellich, George",23,R,1926,None-min,,113,372,372,,110,16,3,17,,,,,,,,,0.296,0.296,0.492,0.788,,,,183,,,,,,,,,,,,,,
q9,"Quellich, George",24,R,1927,CHC-min,,116,385,385,,121,36,4,18,,,,,,,,,0.314,0.314,0.569,0.883,,,,219,,,,,,,,,,,,,,
q9,"Quellich, George",25,R,1928,CHC-min,,140,477,477,,153,33,7,19,,,,,,,,,0.321,0.321,0.539,0.86,,,,257,,,,,,,,,,,,,,
q9,"Quellich, George",26,R,1929,CHC-min,,162,577,577,,200,36,1,31,,,,,,,,,0.347,0.347,0.574,0.92,,,,331,,,,,,,,,,,,,,
q9,"Quellich, George",27,R,1930,CHC-min,,97,377,377,,122,26,6,9,,,,,,,,,0.324,0.324,0.496,0.82,,,,187,,,,,,,,,,,,,,
q9,"Quellich, George",28,R,1931,None-min,,140,532,532,,178,40,8,20,,,,,,,,,0.335,0.335,0.553,0.887,,,,294,,,,,,,,,,,,,,
q9,"Quellich, George",28,R,1931,DET,OF,13,57,54,6,12,5,0,1,11,17,3,,4,1,0,1,0.222,0.263,0.37,0.634,0,,0,20,,63,5.2631578947,5.4078947368,,-4,-0.3,-1,-0.1,0.474,0.498,-0.1,-0.1,-1
q9,"Quellich, George",29,R,1932,None-min,,152,530,530,,158,36,6,14,,,,,,,,,0.298,0.298,0.468,0.766,,,,248,,,,,,,,,,,,,,
q9,"Quellich, George",30,R,1933,None-min,,103,387,387,,122,29,3,15,,,,,,,,,0.315,0.315,0.522,0.837,,,,202,,,,,,,,,,,,,,
q9,"Quellich, George",31,R,1934,OLD-min,,2,4,4,,1,0,0,0,,,,,,,,,0.25,0.25,0.25,0.5,,,,1,,,,,,,,,,,,,,
q10,"Quentin, Carlos",21,R,2004,ARI-min,,125,543,452,103,150,33,1,21,89,192,43,2,56,5,7,0.417,0.332,0.435,0.549,0.983,0,5,43,248,16,,96.6949494949,94.2212121212,57475.9295764273,,,,,,,,,
q10,"Quentin, Carlos",22,R,2005,ARI-min,,136,561,452,98,136,28,4,21,89,187,72,0,71,9,1,0.9,0.301,0.422,0.52,0.942,0,8,29,235,14,,93.2824427481,94.7894083969,57999.7357575758,,,,,,,,,
q10,"Quentin, Carlos",23,R,2006,ARI-min,,85,396,318,66,92,30,3,9,52,118,45,1,46,5,0,1,0.289,0.424,0.487,0.912,0,2,31,155,13,,58.4986225895,59.5365013774,27047.5091919192,,,,,,,,,
q10,"Quentin, Carlos",23,R,2006,ARI,RF,57,191,166,23,42,13,3,9,32,55,15,2,34,1,0,1,0.253,0.342,0.53,0.872,1,1,8,88,6,115,27.7127071823,27.8859116022,5514.1481675393,1,0.1,7,0.6,0.502,0.501,0.6,-0.2,7
q10,"Quentin, Carlos",24,R,2007,ARI-min,,33,135,115,30,40,12,1,4,27,57,9,1,14,0,1,0,0.348,0.43,0.574,1.004,0,2,9,66,2,,26.0806451613,25.5483870968,3873.1077037037,,,,,,,,,
q10,"Quentin, Carlos",24,R,2007,ARI,RF,81,263,229,29,49,16,0,5,31,60,18,1,54,2,2,0.5,0.214,0.298,0.349,0.647,1,4,11,80,5,63,21.7004048583,21.3421052632,6196.8938403042,-15,-1.5,-7,-0.8,0.481,0.491,-1,-0.1,-9
q10,"Quentin, Carlos",25,R,2008,CHW,LF,130,569,480,96,138,26,1,36,100,196,66,0,80,7,3,0.7,0.288,0.394,0.571,0.965,0,3,20,274,16,149,102.3736263736,102.2854395604,60753.8091388401,32,3.3,52,5.3,0.524,0.519,5.3,-0.6,53
q10,"Quentin, Carlos",26,R,2009,CHW-min,,14,50,40,10,15,4,0,1,10,20,7,0,2,0,0,,0.375,0.48,0.55,1.03,0,1,2,22,1,,10.2978723404,10.2978723404,559.8304,,,,,,,,,
q10,"Quentin, Carlos",26,R,2009,CHW,LF,99,399,351,47,83,14,0,21,56,103,31,2,52,3,0,1,0.236,0.323,0.456,0.779,0,2,15,160,11,98,47.7486910995,48.2410994764,20229.9265162907,-21,-2,-6,-0.6,0.479,0.487,0.6,-1.6,6
q10,"Quentin, Carlos",27,R,2010,CHW,RF,131,527,453,73,110,25,2,26,87,160,50,3,83,2,2,0.5,0.243,0.342,0.479,0.821,0,4,20,217,16,119,69.0258449304,68.5085487078,37976.0459203036,-16,-1.5,4,0.4,0.488,0.49,2.9,-3.1,28
q10,"Quentin, Carlos",28,R,2011,CHW,RF,118,483,421,53,107,31,0,24,77,130,34,0,84,1,1,0.5,0.254,0.34,0.499,0.838,0,5,23,210,7,122,65.0769230769,64.7846153846,35071.9264596273,6,0.7,25,2.5,0.506,0.504,2.5,-0.6,25
q10,"Quentin, Carlos",29,R,2012,SDP-min,,9,32,28,8,10,1,0,2,9,17,2,0,5,0,0,,0.357,0.438,0.607,1.045,0,0,2,17,0,,6.8,6.8,252.56,,,,,,,,,
q10,"Quentin, Carlos",29,R,2012,SDP,LF,86,340,284,44,74,21,0,16,46,90,36,2,41,0,1,0,0.261,0.374,0.504,0.877,0,3,17,143,6,146,49.15625,48.709375,18751.2045882353,5,0.6,16,1.6,0.507,0.504,2.6,-1.4,26
q10,"Quentin, Carlos",30,R,2013,SDP,LF,82,320,276,42,76,21,0,13,44,86,31,0,55,0,0,,0.275,0.363,0.493,0.855,0,4,9,136,7,145,47.4006514658,47.4006514658,15957.6065,11,1.1,21,2.1,0.515,0.507,2.7,-1,26
q10,"Quentin, Carlos",31,R,2014,SDP-min,,7,21,18,2,3,0,0,1,1,3,3,0,2,0,0,,0.167,0.286,0.333,0.619,0,0,0,6,1,,1.7142857143,1.7142857143,33.9,,,,,,,,,
q10,"Quentin, Carlos",31,R,2014,SDP,LF,50,155,130,9,23,6,0,4,18,27,17,0,33,0,0,,0.177,0.284,0.315,0.599,0,4,4,41,5,76,11.156462585,11.156462585,1811.9534193548,-10,-1.1,-4,-0.6,0.478,0.493,-0.3,-0.6,-1
q10,"Quentin, Carlos",32,R,2015,SEA-min,,2,7,7,1,1,1,0,0,0,1,0,0,1,0,0,,0.143,0.143,0.286,0.429,0,0,0,2,0,,0.2857142857,0.2857142857,2,,,,,,,,,
q11,"Quest, Joe",18,R,1871,CLE,2B,3,14,13,1,3,1,0,0,2,3,1,,0,0,0,,0.231,0.286,0.308,0.593,,,,4,0,72,1.1428571429,1.1428571429,,0,0,0,0,0.494,0.5,0,0,0
q11,"Quest, Joe",24,R,1877,INA-min,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
q11,"Quest, Joe",25,R,1878,IND,2B,62,290,278,45,57,3,2,0,13,58,12,,24,,,,0.205,0.238,0.23,0.468,,,,64,,63,15.2275862069,,,-12,-1.2,-2,-0.2,0.481,0.493,0.3,-0.4,3
q11,"Quest, Joe",26,R,1879,CHC,2B,83,343,334,38,69,16,1,0,22,60,9,,33,,,,0.207,0.227,0.26,0.488,,,,87,,55,19.7842565598,,,-4,-0.4,8,0.8,0.496,0.498,-0.4,1.4,-5
q11,"Quest, Joe",27,R,1880,CHC,2B,82,308,300,37,71,12,1,0,27,64,8,,16,,,,0.237,0.256,0.283,0.54,,,,85,,79,21.8019480519,,,4,0.3,14,1.5,0.505,0.502,0.7,1,6
q11,"Quest, Joe",28,R,1881,CHC,2B,78,295,293,35,72,6,0,1,26,61,2,,29,,,,0.246,0.251,0.276,0.527,,,,81,,62,20.3186440678,,,-4,-0.5,6,0.6,0.495,0.497,-0.1,0.9,-2
q11,"Quest, Joe",29,R,1882,CHC,2B,42,167,159,24,32,5,2,0,15,39,8,,16,,,,0.201,0.24,0.258,0.497,,,,41,,56,9.8203592814,,,-5,-0.5,0,0.1,0.488,0.497,-0.1,0.2,-2
