PID,NAME,AGE,B,YR,TM,POS,G,PA,AB,R,H,2B,3B,HR,RBI,RP,TBB,IBB,SO,SB,CS,SBP,AVG,OBP,SLG,OPS,SH,SF,HBP,TB,GDP,OPS+,RCbasic,RCsb,RCtech,RAA,WAA,RAR,WAR,waaWL%,162WL%,oWAR,dWAR,oRAR
r0,"Raabe, Brian",22,R,1990,MIN-min,,42,150,138,11,34,3,2,0,17,28,10,0,9,5,1,0.833,0.246,0.302,0.297,0.599,1,0,1,41,,,12.1891891892,12.7111486486,,,,,,,,,,
r0,"Raabe, Brian",23,R,1991,MIN-min,,85,360,311,36,80,3,1,1,22,58,40,0,14,15,5,0.75,0.257,0.347,0.283,0.63,3,2,4,88,8,,30.0854700855,31.5349002849,11037.8688888889,,,,,,,,,
r0,"Raabe, Brian",24,R,1992,MIN-min,,134,534,469,64,134,22,2,4,38,102,50,1,19,7,10,0.412,0.286,0.362,0.367,0.729,4,3,8,172,5,,60.978805395,58.9554913295,33067.1536329588,,,,,,,,,
r0,"Raabe, Brian",25,R,1993,MIN-min,,134,604,524,80,150,23,2,6,52,132,56,1,28,18,8,0.692,0.286,0.364,0.372,0.736,10,4,10,195,9,,69.2586206897,69.9486206897,42168.1275496689,,,,,,,,,
r0,"Raabe, Brian",26,R,1994,MIN-min,,123,533,474,78,152,26,3,3,49,127,50,1,11,9,8,0.529,0.321,0.381,0.407,0.788,0,8,1,193,19,,74.4007633588,73.2868320611,36256.0165853659,,,,,,,,,
r0,"Raabe, Brian",27,R,1995,MIN-min,,112,497,440,88,134,32,6,3,60,148,45,2,14,15,0,1,0.305,0.368,0.425,0.793,2,7,3,187,12,,69.0164948454,72.0613402062,33823.225110664,,,,,,,,,
r0,"Raabe, Brian",27,R,1995,MIN,2B,6,15,14,4,3,0,0,0,1,5,1,0,0,0,0,,0.214,0.267,0.214,0.481,0,0,0,3,0,27,0.8,0.8,13.04,-1,-0.1,-1,-0.1,0.478,0.499,0,0,0
r0,"Raabe, Brian",28,R,1996,MIN-min,,116,539,482,103,169,39,4,18,69,172,47,2,19,8,8,0.5,0.351,0.41,0.56,0.97,2,4,4,270,12,,110.2457466919,107.8926275992,56548.0135064935,,,,,,,,,
r0,"Raabe, Brian",28,R,1996,MIN,3B,7,10,9,0,2,0,0,0,1,1,0,0,1,0,0,,0.222,0.2,0.222,0.422,0,1,0,2,0,7,0.4444444444,0.4444444444,4.052,-2,-0.2,-2,-0.2,0.473,0.499,-0.1,0,-1
r0,"Raabe, Brian",29,R,1997,SEA-min,,135,607,543,101,191,35,4,14,80,181,38,5,20,1,6,0.143,0.352,0.404,0.508,0.913,1,9,16,276,12,,108.7848537005,106.145697074,65543.9894233937,,,,,,,,,
