PID,NAME,AGE,B,YR,TM,POS,G,PA,AB,R,H,2B,3B,HR,RBI,RP,TBB,IBB,SO,SB,CS,SBP,AVG,OBP,SLG,OPS,SH,SF,HBP,TB,GDP,OPS+,RCbasic,RCsb,RCtech,RAA,WAA,RAR,WAR,waaWL%,162WL%,oWAR,dWAR,oRAR
t1,"Tabata, José",16,R,2005,NYY-min,,44,173,156,30,49,5,1,3,25,55,15,1,14,22,6,0.786,0.314,0.382,0.417,0.798,0,0,2,65,3,,24.3274853801,26.150877193,3942.1861271676,,,,,,,,,
t1,"Tabata, José",17,R,2006,NYY-min,,104,428,371,59,110,23,2,6,56,115,41,2,77,16,8,0.667,0.296,0.386,0.418,0.803,0,2,14,155,11,,56.8082524272,56.8529126214,24641.9018691589,,,,,,,,,
t1,"Tabata, José",18,R,2007,NYY-min,,103,456,411,56,126,16,2,5,54,110,33,4,70,15,7,0.682,0.307,0.371,0.392,0.763,1,1,10,161,15,,57.6554054054,57.9414414414,25157.5993859649,,,,,,,,,
t1,"Tabata, José",19,R,2008,NYY-PIT-min,,148,581,520,75,145,21,3,9,70,145,46,0,84,27,4,0.871,0.279,0.344,0.383,0.726,2,5,8,199,21,,67.1537102473,70.6536219081,37068.9904302926,,,,,,,,,
t1,"Tabata, José",20,R,2009,PIT-min,,121,536,482,73,153,28,5,6,56,129,40,3,56,15,10,0.6,0.317,0.379,0.434,0.813,1,3,10,209,13,,77.2739463602,76.1623563218,39819.6184328358,,,,,,,,,
t1,"Tabata, José",21,R,2010,PIT-min,,67,307,265,54,82,15,2,4,22,76,36,2,39,28,6,0.824,0.309,0.394,0.426,0.821,0,3,3,113,7,,44.2990033223,47.776744186,13243.0125081433,,,,,,,,,
t1,"Tabata, José",21,R,2010,PIT,LF,102,441,405,61,121,21,4,4,35,96,28,0,57,19,7,0.731,0.299,0.346,0.4,0.746,5,1,2,162,7,103,55.7459584296,56.5540415704,23262.6294784581,-4,-0.5,10,0.8,0.496,0.497,1.2,-0.9,14
t1,"Tabata, José",22,R,2011,PIT-min,,13,49,41,7,12,7,0,0,3,10,8,0,7,0,2,0,0.293,0.408,0.463,0.872,0,0,0,19,1,,7.7551020408,6.9795918367,358.36,,,,,,,,,
t1,"Tabata, José",22,R,2011,PIT,LF,91,382,334,53,89,18,1,4,21,74,40,1,61,16,7,0.696,0.266,0.349,0.362,0.711,1,3,4,121,8,101,41.7352941176,42.3411764706,15597.2672251309,-7,-0.7,5,0.4,0.492,0.496,0.5,-0.5,6
t1,"Tabata, José",23,R,2012,PIT-min,,41,173,158,21,47,9,0,0,15,36,10,0,20,5,2,0.714,0.297,0.353,0.354,0.707,0,1,4,56,4,,19,19.2336309524,3280.2180346821,,,,,,,,,
t1,"Tabata, José",23,R,2012,PIT,RF,103,374,333,43,81,20,3,3,16,59,29,0,58,8,12,0.4,0.243,0.315,0.348,0.664,6,0,6,116,7,85,35.2486187845,32.5944751381,12134.7194652406,-11,-1.2,0,-0.1,0.488,0.492,-0.6,0,-4
t1,"Tabata, José",24,R,2013,PIT-min,,9,32,28,1,5,1,0,0,0,1,3,0,7,1,0,1,0.179,0.281,0.214,0.496,0,0,1,6,2,,1.5483870968,1.6903225806,49.29625,,,,,,,,,
t1,"Tabata, José",24,R,2013,PIT,RF,106,341,308,35,87,17,5,6,33,68,23,0,45,3,1,0.75,0.282,0.342,0.429,0.771,5,0,5,132,6,118,43.8670694864,44.0116314199,15042.2521994135,3,0.2,14,1.3,0.503,0.502,1.5,-0.6,15
t1,"Tabata, José",25,R,2014,PIT-min,,39,163,146,18,41,10,0,0,12,30,10,0,14,1,2,0.333,0.281,0.337,0.349,0.687,0,3,4,51,5,,16.6730769231,16.1919871795,2622.7327607362,,,,,,,,,
t1,"Tabata, José",25,R,2014,PIT,RF,80,186,174,14,49,5,2,0,17,31,7,0,26,1,2,0.333,0.282,0.314,0.333,0.647,1,2,2,58,12,83,17.9447513812,17.4679558011,2654.9711827957,-6,-0.7,0,-0.1,0.492,0.496,-0.3,-0.1,-2
t1,"Tabata, José",26,R,2015,PIT-min,,10,34,32,4,8,0,1,0,0,4,2,0,5,1,0,1,0.25,0.294,0.313,0.607,0,0,0,10,3,,2.9411764706,3.1029411765,73.6552941176,,,,,,,,,
t2,"Tabb, Jerry",21,L,1973,CHC-min,,76,310,260,56,71,14,2,12,44,100,43,,42,3,2,0.6,0.273,0.378,0.481,0.859,3,2,2,125,,,47.0297029703,46.8145214521,,,,,,,,,,
t2,"Tabb, Jerry",22,L,1974,CHC-min,,134,566,507,82,142,19,6,31,112,194,48,,96,1,2,0.333,0.28,0.342,0.525,0.867,2,6,3,266,,,91.0630630631,90.2908108108,,,,,,,,,,
t2,"Tabb, Jerry",23,L,1975,CHC-min,,97,412,355,57,86,18,1,7,48,105,50,,48,2,2,0.5,0.242,0.339,0.358,0.697,2,2,3,127,,,42.6469135802,42.3837037037,,,,,,,,,,
t2,"Tabb, Jerry",24,L,1976,CHC-min,,124,453,395,60,114,21,1,19,67,127,50,,52,3,1,0.75,0.289,0.368,0.491,0.859,2,4,2,194,,,71.4966292135,71.6650561798,,,,,,,,,,
