PID,NAME,AGE,B,YR,TM,POS,G,PA,AB,R,H,2B,3B,HR,RBI,RP,TBB,IBB,SO,SB,CS,SBP,AVG,OBP,SLG,OPS,SH,SF,HBP,TB,GDP,OPS+,RCbasic,RCsb,RCtech,RAA,WAA,RAR,WAR,waaWL%,162WL%,oWAR,dWAR,oRAR
u1,"Uecker, Bob",21,R,1956,MLN-min,,98,302,302,,76,13,4,19,,,,,,,,,0.252,0.252,0.51,0.762,,,,154,,,,,,,,,,,,,,
u1,"Uecker, Bob",22,R,1957,MLN-min,,102,406,345,47,95,14,2,15,64,111,57,,109,0,,,0.275,0.382,0.452,0.834,0,1,3,156,,,58.9850746269,,,,,,,,,,,
u1,"Uecker, Bob",23,R,1958,MLN-min,,107,454,377,86,117,20,5,22,81,167,69,1,80,2,,,0.31,0.416,0.565,0.981,4,3,1,213,,,88.8295964126,,,,,,,,,,,
u1,"Uecker, Bob",24,R,1959,MLN-min,,104,349,309,26,81,13,4,6,44,70,38,6,57,1,,,0.262,0.341,0.388,0.729,0,2,0,120,,,41.1527377522,,,,,,,,,,,
u1,"Uecker, Bob",25,R,1960,MLN-PHI-min,,51,137,116,8,17,3,1,2,8,16,20,1,28,0,,,0.147,0.272,0.241,0.513,1,0,0,28,,,7.6176470588,,,,,,,,,,,
u1,"Uecker, Bob",26,R,1961,MLN-min,,105,381,314,53,97,17,2,14,57,110,59,2,45,0,,,0.309,0.422,0.51,0.932,2,2,4,160,,,66.9168900804,,,,,,,,,,,
u1,"Uecker, Bob",27,R,1962,MLN,C,33,71,64,5,16,2,0,1,8,13,7,0,15,0,0,,0.25,0.324,0.328,0.652,0,0,0,21,3,78,6.8028169014,6.8028169014,456.4,-1,-0.1,2,0.2,0.497,0.499,0.1,0.2,1
u1,"Uecker, Bob",28,R,1963,MLN-min,,52,190,159,28,45,9,1,8,33,61,28,,28,0,0,,0.283,0.389,0.503,0.893,0,2,1,80,,,31.2299465241,31.2299465241,,,,,,,,,,
u1,"Uecker, Bob",28,R,1963,MLN,C,13,18,16,3,4,2,0,0,0,3,2,0,5,0,0,,0.25,0.333,0.375,0.708,0,0,0,6,1,105,2,2,32.6,0,-0.1,0,0,0.495,0.5,0.1,-0.1,1
u1,"Uecker, Bob",29,R,1964,STL,C,40,124,106,8,21,1,0,1,6,14,17,0,24,0,1,0,0.198,0.315,0.236,0.55,0,0,1,25,1,53,7.7235772358,7.5203252033,1098.16,-4,-0.4,1,0.1,0.489,0.497,-0.1,0.4,0
u1,"Uecker, Bob",30,R,1965,STL,C,53,172,145,17,33,7,0,2,10,27,24,1,27,0,1,0,0.228,0.345,0.317,0.662,1,0,2,46,1,82,15.5147928994,15.2426035503,2992.5030232558,-2,-0.2,5,0.4,0.496,0.499,0.7,0.1,7
u1,"Uecker, Bob",31,R,1966,PHI,C,78,237,207,15,43,6,0,7,30,45,22,6,36,0,0,,0.208,0.279,0.338,0.617,4,4,0,70,8,71,19.8689956332,19.8689956332,4227.1375527426,-2,-0.1,7,0.8,0.498,0.499,0.5,0.7,5
u1,"Uecker, Bob",32,R,1967,ATL,C,80,221,193,17,29,4,0,3,20,37,24,5,60,0,1,0,0.15,0.243,0.218,0.461,3,1,0,42,4,34,10.2580645161,10.064516129,2253.1294117647,-20,-2.3,-15,-1.7,0.457,0.486,-0.5,-1,-4
u3,"Uggla, Dan",21,R,2001,ARI-min,,72,312,278,39,77,21,0,5,40,79,20,0,52,8,4,0.667,0.277,0.341,0.406,0.747,1,4,9,113,9,,36.7818791946,36.6382550336,11210.2416666667,,,,,,,,,
u3,"Uggla, Dan",22,R,2002,ARI-min,,107,410,355,37,76,12,3,5,26,63,44,0,85,3,4,0.429,0.214,0.301,0.307,0.608,5,4,2,109,5,,32.7819548872,32.1689223058,13668.4952195122,,,,,,,,,
