PID,NAME,AGE,B,YR,TM,POS,G,PA,AB,R,H,2B,3B,HR,RBI,RP,TBB,IBB,SO,SB,CS,SBP,AVG,OBP,SLG,OPS,SH,SF,HBP,TB,GDP,OPS+,RCbasic,RCsb,RCtech,RAA,WAA,RAR,WAR,waaWL%,162WL%,oWAR,dWAR,oRAR
v0,"Vache, Tex",30,R,1920,REG-min,,94,346,346,,116,,,,,,,,,,,,0.335,0.335,,,,,,,,,,,,,,,,,,,,
v0,"Vache, Tex",32,R,1922,None-min,,125,469,469,,154,27,11,13,,,,,,,,,0.328,0.328,0.516,0.844,,,,242,,,,,,,,,,,,,,
v0,"Vache, Tex",33,R,1923,DAL-min,,145,544,544,,189,47,7,14,,,,,,,,,0.347,0.347,0.537,0.884,,,,292,,,,,,,,,,,,,,
v0,"Vache, Tex",34,R,1924,DAL-min,,144,536,536,,190,47,12,22,,,,,,,,,0.354,0.354,0.61,0.965,,,,327,,,,,,,,,,,,,,
v0,"Vache, Tex",35,R,1925,BOS,OF,110,283,252,41,79,15,7,3,48,89,21,,33,2,2,0.5,0.313,0.382,0.464,0.846,3,,7,117,,115,42.8571428571,42.3948717949,,-3,-0.3,7,0.7,0.497,0.498,1.3,-0.8,13
v0,"Vache, Tex",39,R,1929,None-min,,111,336,327,10,94,23,7,4,7,17,8,,8,1,,,0.287,0.304,0.437,0.742,1,,,143,,,43.5402985075,,,,,,,,,,,
v1,"Vadeboncoeur, Gene",23,U,1883,PEO-min,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v1,"Vadeboncoeur, Gene",24,U,1884,YOR-min,,15,64,64,13,17,2,1,0,,,,,,,,,0.266,0.266,0.328,0.594,,,,21,,,,,,,,,,,,,,
v1,"Vadeboncoeur, Gene",24,U,1884,PHI,C,4,15,14,1,3,0,0,0,3,4,1,,2,,,,0.214,0.267,0.214,0.481,,,,3,,58,0.8,,,-2,-0.2,-2,-0.2,0.448,0.499,0,-0.2,0
v1,"Vadeboncoeur, Gene",25,U,1885,LAW-min,,42,167,167,23,43,,,,,,,,,,,,0.257,0.257,,,,,,,,,,,,,,,,,,,,
v1,"Vadeboncoeur, Gene",26,U,1886,None-min,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v1,"Vadeboncoeur, Gene",28,U,1888,ETN-min,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v3,"Vail, Mike",19,R,1971,STL-min,,35,102,95,6,24,4,1,0,17,23,6,,16,0,1,0,0.253,0.304,0.316,0.62,0,0,1,30,,,8.9108910891,8.6138613861,,,,,,,,,,
v3,"Vail, Mike",20,R,1972,STL-min,,122,449,403,38,93,18,1,12,61,99,36,,94,11,4,0.733,0.231,0.294,0.37,0.663,3,5,2,149,,,43.7835990888,44.1486332574,,,,,,,,,,
v3,"Vail, Mike",21,R,1973,STL-min,,134,536,479,81,133,31,9,15,80,161,53,,105,9,3,0.75,0.278,0.347,0.474,0.821,0,4,0,227,,,79.3646616541,79.7873120301,,,,,,,,,,
v3,"Vail, Mike",22,R,1974,STL-min,,135,535,482,68,161,22,7,15,76,144,50,2,95,5,2,0.714,0.334,0.396,0.502,0.898,0,2,1,242,5,,95.9812030075,96.1517857143,52221.7068037383,,,,,,,,,
v3,"Vail, Mike",23,R,1975,NYM-min,,115,450,409,53,140,23,9,7,79,132,34,,74,3,5,0.375,0.342,0.394,0.494,0.888,1,3,3,202,,,79.3408577878,77.6904063205,,,,,,,,,,
v3,"Vail, Mike",23,R,1975,NYM,LF,38,171,162,17,49,8,1,3,17,34,9,1,37,0,0,,0.302,0.339,0.42,0.759,0,0,0,68,3,115,23.0643274854,23.0643274854,3854.4,7,0.8,12,1.3,0.521,0.505,0.5,0.6,6
v3,"Vail, Mike",24,R,1976,NYM,RF,53,152,143,8,31,5,1,0,9,17,6,0,19,0,1,0,0.217,0.243,0.266,0.509,0,3,0,38,4,49,9.4362416107,9.1812080537,1265.9302631579,-14,-1.6,-9,-1.1,0.47,0.49,-0.9,-0.4,-6
v3,"Vail, Mike",25,R,1977,NYM,RF,108,303,279,29,73,12,1,8,35,64,19,0,58,0,7,0,0.262,0.31,0.398,0.708,0,3,2,111,9,94,34.2684563758,31.6610738255,9083.8851485149,-7,-0.8,3,0.2,0.493,0.496,-0.1,0,0
v3,"Vail, Mike",26,R,1978,CLE-min,,14,61,56,10,22,2,0,4,19,29,2,,10,0,1,0,0.393,0.443,0.643,1.085,0,0,3,36,,,14.8965517241,14.275862069,,,,,,,,,,
v3,"Vail, Mike",26,R,1978,CHC,RF,88,222,214,17,68,8,3,4,35,52,4,1,33,1,2,0.333,0.318,0.326,0.439,0.765,1,3,0,94,6,105,31.0458715596,30.3600917431,6065.9317117117,-4,-0.5,1,0,0.491,0.497,0.4,-0.6,5
v3,"Vail, Mike",27,R,1979,CHC,RF,87,195,179,28,60,8,2,7,35,63,14,1,27,0,2,0,0.335,0.379,0.52,0.899,0,2,0,93,4,134,35.6580310881,34.6943005181,6553.8453333333,4,0.4,10,1.1,0.505,0.503,1.3,-0.4,13
v3,"Vail, Mike",28,R,1980,CHC,RF,114,328,312,30,93,17,2,6,47,77,14,1,77,2,5,0.286,0.298,0.33,0.423,0.753,1,0,1,132,8,104,43.3251533742,41.6447852761,12885.8047560976,-1,-0.2,10,0.9,0.499,0.499,0.8,-0.3,9
v3,"Vail, Mike",29,R,1981,CIN,RF,31,31,31,1,5,0,0,0,3,4,0,0,9,0,0,,0.161,0.161,0.161,0.323,0,0,0,5,1,-9,0.8064516129,0.8064516129,20,-4,-0.4,-3,-0.3,0.486,0.497,-0.4,0.1,-3
v3,"Vail, Mike",30,R,1982,CIN,LF,78,197,189,9,48,10,1,4,29,38,6,1,33,0,0,,0.254,0.274,0.381,0.655,0,2,0,72,7,81,19.9384615385,19.9384615385,3445.1052791878,-6,-0.7,0,0,0.491,0.496,-0.1,-0.1,0
v3,"Vail, Mike",31,R,1983,MON,RF,52,89,79,6,19,3,0,2,7,13,8,0,17,0,0,,0.241,0.326,0.354,0.68,0,0,2,28,1,90,8.6896551724,8.6896551724,856.8,1,0.2,3,0.3,0.502,0.5,0.1,0.1,2
v3,"Vail, Mike",32,R,1984,LAD-min,,25,101,91,12,24,6,0,3,10,22,8,0,17,1,0,1,0.264,0.33,0.429,0.759,1,0,1,39,,,12.6060606061,12.7838383838,,,,,,,,,,
v3,"Vail, Mike",32,R,1984,LAD,LF,16,17,16,1,1,0,0,0,2,3,1,0,7,0,0,,0.063,0.118,0.063,0.18,0,0,0,1,0,-47,0.1176470588,0.1176470588,2.52,-3,-0.3,-2,-0.2,0.481,0.498,-0.2,0,-2
v4,"Valaika, Chris",20,R,2006,CIN-min,,70,315,275,58,89,22,4,8,60,118,24,0,61,2,2,0.5,0.324,0.387,0.52,0.907,2,6,8,143,8,,54.0434782609,53.4953177258,16796.5365079365,,,,,,,,,
v4,"Valaika, Chris",21,R,2007,CIN-min,,165,689,625,78,176,34,4,15,96,174,37,0,145,3,8,0.273,0.282,0.332,0.421,0.753,3,9,15,263,18,,84.6208459215,81.9535498489,55857.0513207547,,,,,,,,,
v4,"Valaika, Chris",22,R,2008,CIN-min,,161,692,633,96,200,35,2,20,97,193,43,0,128,9,4,0.692,0.316,0.36,0.472,0.832,5,7,4,299,13,,107.4807692308,107.461612426,71580.6157803468,,,,,,,,,
v4,"Valaika, Chris",23,R,2009,CIN-min,,95,392,366,32,86,20,1,6,36,68,16,1,76,1,0,1,0.235,0.271,0.344,0.615,1,5,4,126,7,,33.6439790576,33.7908376963,12963.0692857143,,,,,,,,,
v4,"Valaika, Chris",24,R,2010,CIN-min,,118,459,424,49,129,28,2,4,53,102,19,0,72,3,3,0.5,0.304,0.33,0.408,0.738,4,10,2,173,13,,57.7968397291,57.1653498871,23913.6592592593,,,,,,,,,
v4,"Valaika, Chris",24,R,2010,CIN,2B,19,40,38,3,10,1,0,1,2,5,1,0,9,0,0,,0.263,0.282,0.368,0.65,1,0,0,14,2,73,3.9487179487,3.9487179487,128.353,-1,-0.1,0,0,0.495,0.499,-0.1,0.1,-1
v4,"Valaika, Chris",25,R,2011,CIN-min,,109,453,417,39,109,18,0,7,37,76,21,1,65,1,0,1,0.261,0.302,0.355,0.657,3,6,6,148,10,,43.9269406393,44.0901826484,19499.7714790287,,,,,,,,,
v4,"Valaika, Chris",25,R,2011,CIN,3B,14,27,25,3,7,1,1,0,0,3,2,0,3,0,0,,0.28,0.333,0.4,0.733,0,0,0,10,0,98,3.3333333333,3.3333333333,94.68,2,0.2,3,0.3,0.514,0.501,0.1,0.2,1
v4,"Valaika, Chris",26,R,2012,CIN-min,,88,327,301,31,66,14,2,7,30,61,16,0,63,2,3,0.4,0.219,0.265,0.349,0.613,2,4,4,105,10,,27.1608832808,26.4413249211,8044.6127217125,,,,,,,,,
v4,"Valaika, Chris",27,R,2013,MIA-min,,48,186,170,20,40,7,0,4,15,35,12,0,31,1,2,0.333,0.235,0.296,0.347,0.643,0,1,3,59,4,,16.8571428571,16.3598901099,3082.1055913979,,,,,,,,,
v4,"Valaika, Chris",27,R,2013,MIA,2B,22,70,64,4,14,5,0,1,9,13,3,0,16,0,0,,0.219,0.261,0.344,0.605,1,1,1,22,2,65,5.5820895522,5.5820895522,368.6548571429,-8,-0.9,-6,-0.7,0.46,0.495,-0.1,-0.5,-1
v4,"Valaika, Chris",28,R,2014,CHC-min,,102,397,352,43,98,21,0,10,50,93,31,2,76,2,1,0.667,0.278,0.344,0.423,0.768,2,5,7,149,8,,50.1853785901,50.1639686684,20111.7317884131,,,,,,,,,
v4,"Valaika, Chris",28,R,2014,CHC,1B,44,131,121,10,28,4,0,3,13,23,7,1,35,1,0,1,0.231,0.282,0.339,0.621,0,1,2,41,5,72,11.2109375,11.361328125,1378.5679389313,-2,-0.3,2,0.1,0.493,0.498,-0.2,0.3,-1
v4,"Valaika, Chris",29,R,2015,CHC-min,,15,60,54,4,12,2,0,2,7,11,5,0,13,0,0,,0.222,0.283,0.37,0.654,0,1,0,20,1,,5.7627118644,5.7627118644,340.8086666667,,,,,,,,,
v5,"Valbuena, Luis",18,L,2004,SEA-min,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v5,"Valbuena, Luis",19,L,2005,SEA-min,,77,330,291,47,75,10,3,12,51,98,32,0,39,14,6,0.7,0.258,0.331,0.436,0.768,1,4,2,127,3,,42.0712074303,42.1198142415,13584.0299393939,,,,,,,,,
v5,"Valbuena, Luis",20,L,2006,SEA-min,,133,554,488,64,134,26,7,5,48,112,58,2,70,22,10,0.688,0.275,0.353,0.387,0.74,4,2,2,189,13,,66.4615384615,67.0333333333,34897.7062815884,,,,,,,,,
v5,"Valbuena, Luis",21,L,2007,SEA-min,,125,509,448,55,106,23,3,11,44,99,48,2,84,10,6,0.625,0.237,0.308,0.375,0.683,6,6,1,168,9,,52.1612903226,51.7701612903,25230.822475442,,,,,,,,,
