PID,NAME,AGE,B,YR,TM,POS,G,PA,AB,R,H,2B,3B,HR,RBI,RP,TBB,IBB,SO,SB,CS,SBP,AVG,OBP,SLG,OPS,SH,SF,HBP,TB,GDP,OPS+,RCbasic,RCsb,RCtech,RAA,WAA,RAR,WAR,waaWL%,162WL%,oWAR,dWAR,oRAR
y2,"Yaik, Henry",23,L,1887,MFL-min,,75,308,308,52,78,7,1,0,,,,,,3,,,0.253,0.253,0.282,0.536,,,,87,,,,,,,,,,,,,,
y2,"Yaik, Henry",24,L,1888,WHE-min,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
y2,"Yaik, Henry",24,L,1888,PIT,C,2,7,6,0,2,0,0,0,1,1,1,,0,0,,,0.333,0.429,0.333,0.762,,,0,2,,154,0.8571428571,,,0,0.1,1,0.1,0.524,0.5,0.1,0,1
y2,"Yaik, Henry",25,L,1889,None-min,,7,18,18,0,2,0,0,0,,,,,,2,,,0.111,0.111,0.111,0.222,0,,,2,,,,,,,,,,,,,,
y2,"Yaik, Henry",26,L,1890,CAN-min,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
y2,"Yaik, Henry",31,L,1895,None-min,,16,55,55,12,16,5,1,0,,,,,,0,,,0.291,0.291,0.418,0.709,,,,23,,,,,,,,,,,,,,
y3,"Yale, Ad",27,R,1897,BRI-min,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
y3,"Yale, Ad",28,R,1898,BPT-min,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
y3,"Yale, Ad",29,R,1899,BPT-min,,101,393,393,51,107,14,7,1,,,,,,25,,,0.272,0.272,0.351,0.623,,,,138,,,,,,,,,,,,,,
y3,"Yale, Ad",30,R,1900,BPT-min,,100,415,407,68,115,21,6,2,,,,,,50,,,0.283,0.283,0.378,0.661,8,,,154,,,,,,,,,,,,,,
y3,"Yale, Ad",33,R,1903,BPT-min,,106,419,419,,119,28,7,0,,,,,,,,,0.284,0.284,0.384,0.668,,,,161,,,,,,,,,,,,,,
y3,"Yale, Ad",34,R,1904,BPT-min,,116,463,463,,128,,,,,,,,,,,,0.276,0.276,,,,,,,,,,,,,,,,,,,,
y3,"Yale, Ad",35,R,1905,BPT-min,,111,443,443,,136,,,,,,,,,,,,0.307,0.307,,,,,,,,,,,,,,,,,,,,
y3,"Yale, Ad",35,R,1905,BRO,1B,4,14,13,1,1,0,0,0,1,2,1,,2,0,,,0.077,0.143,0.077,0.22,0,,0,1,,-32,0.1428571429,,,-2,-0.2,-2,-0.2,0.444,0.499,-0.2,0,-1
y3,"Yale, Ad",36,R,1906,None-min,,115,454,454,,132,25,5,0,,,,,,,,,0.291,0.291,0.368,0.659,,,,167,,,,,,,,,,,,,,
y3,"Yale, Ad",37,R,1907,SPF-min,,91,379,379,,112,,,,,,,,,,,,0.296,0.296,,,,,,,,,,,,,,,,,,,,
y3,"Yale, Ad",38,R,1908,SPF-min,,127,476,476,,105,16,7,3,,,,,,,,,0.221,0.221,0.303,0.523,,,,144,,,,,,,,,,,,,,
y3,"Yale, Ad",39,R,1909,NRH-min,,125,490,490,,147,18,18,3,,,,,,,,,0.3,0.3,0.429,0.729,,,,210,,,,,,,,,,,,,,
y3,"Yale, Ad",40,R,1910,NRH-min,,125,466,466,,138,18,6,2,,,,,,,,,0.296,0.296,0.373,0.67,,,,174,,,,,,,,,,,,,,
y3,"Yale, Ad",41,R,1911,None-min,,118,431,431,,104,16,4,1,,,,,,,,,0.241,0.241,0.304,0.545,,,,131,,,,,,,,,,,,,,
y3,"Yale, Ad",42,R,1912,ALB-min,,132,480,480,,135,,,,,,,,,,,,0.281,0.281,,,,,,,,,,,,,,,,,,,,
y3,"Yale, Ad",44,R,1914,YOR-min,,55,197,197,,44,,,,,,,,,,,,0.223,0.223,,,,,,,,,,,,,,,,,,,,
y5,"Yancy, Hugh",17,R,1968,CHW-min,,55,206,182,30,50,5,4,0,19,49,21,,31,9,2,0.818,0.275,0.346,0.346,0.692,1,2,0,63,,,22.0344827586,23.0963054187,,,,,,,,,,
y5,"Yancy, Hugh",18,R,1969,CHW-min,,86,272,243,23,56,7,2,1,26,49,23,,30,2,3,0.4,0.23,0.3,0.288,0.588,2,2,2,70,,,20.7894736842,20.3142857143,,,,,,,,,,
y5,"Yancy, Hugh",19,R,1970,CHW-min,,94,379,317,68,102,12,6,3,50,118,55,,31,26,7,0.788,0.322,0.421,0.426,0.847,4,2,1,135,,,56.9758064516,60.2016129032,,,,,,,,,,
y5,"Yancy, Hugh",20,R,1971,CHW-min,,133,543,467,71,129,20,2,5,37,108,68,,43,19,8,0.704,0.276,0.372,0.36,0.731,2,2,4,168,,,61.861682243,63.0412149533,,,,,,,,,,
y5,"Yancy, Hugh",21,R,1972,CHW-min,,134,577,500,82,147,16,5,6,60,142,65,,39,41,13,0.759,0.294,0.376,0.382,0.758,10,1,1,191,,,71.6672566372,75.2149557522,,,,,,,,,,
y5,"Yancy, Hugh",21,R,1972,CHW,3B,3,9,9,0,1,0,0,0,0,0,0,0,0,0,1,0,0.111,0.111,0.111,0.222,0,0,0,1,1,-34,0.1111111111,0,-1,-1,-0.2,-1,-0.1,0.449,0.499,-0.2,0.1,-2
y5,"Yancy, Hugh",22,R,1973,CHW-min,,134,606,535,92,156,29,1,9,57,149,55,,47,12,8,0.6,0.292,0.353,0.4,0.753,9,7,0,214,,,76.5322033898,75.9013559322,,,,,,,,,,
y5,"Yancy, Hugh",23,R,1974,CHW-min,,122,521,450,75,129,25,1,6,40,115,54,,43,10,10,0.5,0.287,0.361,0.387,0.747,8,7,2,174,,,63.1785714286,61.6140873016,,,,,,,,,,
y5,"Yancy, Hugh",23,R,1974,CHW,DH,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,1,0,0,0,0,,,,0.52,0,0,0,0,0.49,0.5,0,0,0
y5,"Yancy, Hugh",24,R,1975,CHW-NYY-min,,116,466,406,69,114,25,3,9,52,121,54,,50,5,3,0.625,0.281,0.365,0.424,0.789,3,2,1,172,,,62.8173913043,62.6820652174,,,,,,,,,,
y5,"Yancy, Hugh",25,R,1976,CHW-CLE-min,,107,455,394,53,113,23,2,6,65,118,52,,42,4,3,0.571,0.287,0.369,0.401,0.77,5,3,1,158,,,58.4529147982,58.1892376682,,,,,,,,,,
