PID,NAME,AGE,B,YR,TM,POS,G,PA,AB,R,H,2B,3B,HR,RBI,RP,TBB,IBB,SO,SB,CS,SBP,AVG,OBP,SLG,OPS,SH,SF,HBP,TB,GDP,OPS+,RCbasic,RCsb,RCtech,RAA,WAA,RAR,WAR,waaWL%,162WL%,oWAR,dWAR,oRAR
z5,"Zacher, Elmer",23,R,1904,PTN-min,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
z5,"Zacher, Elmer",24,R,1905,None-min,,75,265,265,,77,,,,,,,,,,,,0.291,0.291,,,,,,,,,,,,,,,,,,,,
z5,"Zacher, Elmer",25,R,1906,WCS-min,,119,478,478,,143,,,,,,,,,,,,0.299,0.299,,,,,,,,,,,,,,,,,,,,
z5,"Zacher, Elmer",26,R,1907,NWK-min,,128,445,445,,106,19,3,0,,,,,,,,,0.238,0.238,0.294,0.533,,,,131,,,,,,,,,,,,,,
z5,"Zacher, Elmer",27,R,1908,NHV-min,,126,475,475,,129,16,2,7,,,,,,,,,0.272,0.272,0.358,0.629,,,,170,,,,,,,,,,,,,,
z5,"Zacher, Elmer",28,R,1909,NHV-min,,124,476,476,,151,35,8,8,,,,,,,,,0.317,0.317,0.475,0.792,,,,226,,,,,,,,,,,,,,
z5,"Zacher, Elmer",29,R,1910,STL,OF,48,151,132,7,28,5,1,0,10,17,10,,19,3,,,0.212,0.278,0.265,0.543,7,,2,35,,61,9.3661971831,,,-8,-0.9,-4,-0.4,0.48,0.494,-0.5,-0.2,-3
z5,"Zacher, Elmer",30,R,1911,None-min,,179,675,675,,196,41,3,8,,,,,,,,,0.29,0.29,0.396,0.686,,,,267,,,,,,,,,,,,,,
z5,"Zacher, Elmer",31,R,1912,OLD-min,,161,642,642,,178,35,1,11,,,,,,,,,0.277,0.277,0.386,0.664,,,,248,,,,,,,,,,,,,,
z5,"Zacher, Elmer",32,R,1913,OLD-min,,178,665,665,,189,30,8,8,,,,,,,,,0.284,0.284,0.389,0.674,,,,259,,,,,,,,,,,,,,
z5,"Zacher, Elmer",33,R,1914,OLD-min,,185,695,695,,192,14,6,3,,,,,,,,,0.276,0.276,0.327,0.603,,,,227,,,,,,,,,,,,,,
z5,"Zacher, Elmer",34,R,1915,SLC-min,,148,526,526,,149,35,3,6,,,,,,,,,0.283,0.283,0.395,0.679,,,,208,,,,,,,,,,,,,,
z5,"Zacher, Elmer",35,R,1916,None-min,,55,186,186,,48,7,0,2,,,,,,,,,0.258,0.258,0.253,0.511,,,,47,,,,,,,,,,,,,,
z10,"Zahner, Fred",24,U,1894,None-min,,40,146,146,24,32,8,0,0,,,,,,5,,,0.219,0.219,0.274,0.493,,,,40,,,,,,,,,,,,,,
z10,"Zahner, Fred",24,U,1894,LOU,C,14,52,49,7,10,0,1,0,4,11,3,,6,2,,,0.204,0.25,0.245,0.495,0,,0,12,,24,3,,,-8,-0.6,-7,-0.4,0.456,0.496,-0.3,-0.1,-5
