PID,NAME,AGE,T,YR,TM,G,GS,W,L,WLP,CG,ShO,IP,H,R,ER,TBB,IBB,SO,ERA,GF,SV,HR,HB,BK,WP,SO/BB,H/9,SO/9,BB/9,HR/9,BR/9,RAA,WAA,WAAadj,WAR,RAR,waaWL%,162WL%
a0,"Aardsma, David",21,R,2003,SFG-min,18,0,1,1,0.5,0,8,18.1,14,4,4,7,0,28,1.96,12,8,2,0,0,0,4,6.9,13.7,3.4,1,10.44,,,,,,,
a0,"Aardsma, David",22,R,2004,SFG-min,44,0,6,4,0.6,0,11,55.1,46,21,19,30,3,53,3.09,29,11,2,4,0,1,1.77,7.5,8.6,4.9,0.3,13.07,,,,,,,
a0,"Aardsma, David",22,R,2004,SFG,11,0,1,0,1,0,0,10.2,20,8,8,10,0,5,6.75,5,0,1,2,0,0,0.5,16.9,4.2,8.4,0.8,28.24,-2,-0.2,0,-0.2,-1,0.48,0.499
a0,"Aardsma, David",23,R,2005,CHC-SFG-min,54,11,10,3,0.769,0,2,115.1,124,62,57,55,3,91,4.45,10,2,7,4,0,6,1.65,9.7,7.1,4.3,0.5,14.31,,,,,,,
a0,"Aardsma, David",24,R,2006,CHC-min,29,0,2,3,0.4,0,8,36.1,31,15,13,15,2,36,3.22,20,8,1,0,0,3,2.4,7.7,8.9,3.7,0.2,11.47,,,,,,,
a0,"Aardsma, David",24,R,2006,CHC,45,0,3,0,1,0,0,53,41,25,24,28,0,49,4.08,9,0,9,1,0,1,1.75,7,8.3,4.8,1.5,11.89,3,0.3,-0.1,0.6,7,0.506,0.502
a0,"Aardsma, David",25,R,2007,CHW-min,28,0,3,2,0.6,0,15,35.1,26,18,17,11,1,45,4.33,24,15,7,0,0,1,4.09,6.6,11.5,2.8,1.8,9.49,,,,,,,
a0,"Aardsma, David",25,R,2007,CHW,25,0,2,1,0.667,0,0,32.1,39,24,23,17,3,36,6.4,7,0,4,1,0,2,2.12,10.9,10,4.7,1.1,15.98,-6,-0.5,-0.2,-0.4,-2,0.478,0.497
a0,"Aardsma, David",26,R,2008,BOS-min,2,0,0,0,,0,0,2,0,0,0,2,0,2,0,0,0,0,0,0,0,1,0,9,9,0,9,,,,,,,
a0,"Aardsma, David",26,R,2008,BOS,47,0,4,2,0.667,0,0,48.2,49,32,30,35,2,49,5.55,7,0,4,5,0,3,1.4,9.1,9.1,6.5,0.7,16.62,-8,-0.8,-0.1,-0.3,-2,0.483,0.495
a0,"Aardsma, David",27,R,2009,SEA,73,0,3,6,0.333,0,38,71.1,49,23,20,34,3,80,2.52,53,38,4,0,0,2,2.35,6.2,10.1,4.3,0.5,10.51,8,0.8,0.2,1.7,16,0.511,0.505
a0,"Aardsma, David",28,R,2010,SEA,53,0,0,6,0,0,31,49.2,33,19,19,25,5,49,3.44,43,31,5,2,0,2,1.96,6,8.9,4.5,0.9,10.98,2,0.2,0,0.7,7,0.503,0.501
a0,"Aardsma, David",29,R,2011,SEA-min,5,0,0,1,0,0,0,4,8,7,7,4,0,5,15.75,0,0,1,1,0,2,1.25,18,11.2,9,2.2,29.25,,,,,,,
a0,"Aardsma, David",30,R,2012,NYY-min,5,5,0,1,0,0,0,6.2,7,5,2,3,0,8,2.7,0,0,1,0,0,2,2.67,9.4,10.8,4,1.4,14.52,,,,,,,
a0,"Aardsma, David",30,R,2012,NYY,1,0,0,0,,0,0,1,1,1,1,1,0,1,9,1,0,1,0,0,0,1,9,9,9,9,18,-1,-0.1,0,0,0,0.447,0.5
a0,"Aardsma, David",31,R,2013,NYM-MIA-min,18,0,1,0,1,0,3,22,14,6,5,15,3,23,2.05,10,3,3,0,1,0,1.53,5.7,9.4,6.1,1.2,11.86,,,,,,,
a0,"Aardsma, David",31,R,2013,NYM,43,0,2,2,0.5,0,0,39.2,39,20,19,19,6,36,4.31,7,0,7,4,1,1,1.89,8.8,8.2,4.3,1.6,14.23,-4,-0.4,-0.1,-0.2,-1,0.49,0.497
a0,"Aardsma, David",32,R,2014,STL-min,35,0,4,1,0.8,0,11,37,23,6,6,18,1,38,1.46,22,11,1,3,1,1,2.11,5.6,9.2,4.4,0.2,10.7,,,,,,,
a0,"Aardsma, David",33,R,2015,LAD-min,6,0,0,0,,0,4,5,4,1,1,0,0,3,1.8,5,4,0,0,0,1,,7.2,5.4,0,0,7.2,,,,,,,
a3,"Aase, Don",17,R,1972,BOS-min,12,12,0,10,0,1,0,62,60,48,40,34,2,40,5.81,,0,5,1,0,9,1.18,8.7,5.8,4.9,0.7,13.79,,,,,,,
a3,"Aase, Don",18,R,1973,BOS-min,29,29,12,15,0.444,9,0,170,153,82,68,73,1,127,3.6,,0,7,2,0,9,1.74,8.1,6.7,3.9,0.4,12.07,,,,,,,
a3,"Aase, Don",19,R,1974,BOS-min,32,30,17,8,0.68,18,2,230,185,72,62,84,8,176,2.43,,2,9,2,2,2,2.1,7.2,6.9,3.3,0.4,10.6,,,,,,,
a3,"Aase, Don",20,R,1975,BOS-min,29,29,8,13,0.381,7,0,186,173,85,75,88,6,125,3.63,,0,9,3,1,5,1.42,8.4,6,4.3,0.4,12.77,,,,,,,
a3,"Aase, Don",21,R,1976,BOS-min,10,9,5,2,0.714,2,0,54,42,23,20,34,2,40,3.33,,0,3,0,0,1,1.18,7,6.7,5.7,0.5,12.67,,,,,,,
a3,"Aase, Don",22,R,1977,BOS-min,18,18,6,6,0.5,5,0,109,118,67,61,60,3,64,5.04,,0,9,0,1,3,1.07,9.7,5.3,5,0.7,14.7,,,,,,,
a3,"Aase, Don",22,R,1977,BOS,13,13,6,2,0.75,4,0,92.1,85,36,32,19,1,49,3.12,0,0,6,1,0,0,2.58,8.3,4.8,1.9,0.6,10.26,14,1.6,0,2.4,24,0.622,0.51
a3,"Aase, Don",23,R,1978,CAL,29,29,11,8,0.579,6,0,178.2,185,88,80,80,4,93,4.03,0,0,14,2,0,3,1.16,9.3,4.7,4,0.7,13.48,-2,-0.2,-0.1,1.5,15,0.494,0.499
a3,"Aase, Don",24,R,1979,CAL,37,28,9,10,0.474,7,2,185.1,200,104,99,77,7,96,4.81,4,2,19,1,0,5,1.25,9.7,4.7,3.7,0.9,13.52,-3,-0.3,-0.1,1.4,16,0.492,0.498
a3,"Aase, Don",25,R,1980,CAL,40,21,8,13,0.381,5,2,175,193,83,79,66,3,74,4.06,6,2,13,1,1,2,1.12,9.9,3.8,3.4,0.7,13.37,8,0.9,-0.1,2.5,26,0.522,0.505
a3,"Aase, Don",26,R,1981,CAL,39,0,4,4,0.5,0,11,65.1,56,17,17,24,2,38,2.34,32,11,4,0,0,2,1.58,7.7,5.2,3.3,0.6,11.06,11,1.2,0.4,2.2,16,0.532,0.508
a3,"Aase, Don",27,R,1982,CAL,24,0,3,3,0.5,0,4,52,45,20,20,23,2,40,3.46,18,4,5,0,0,2,1.74,7.8,6.9,4,0.9,11.77,2,0.2,0,0.7,7,0.509,0.501
a3,"Aase, Don",29,R,1984,CAL-min,4,3,0,1,0,0,0,12.1,9,9,7,7,0,10,5.11,0,0,2,0,0,0,1.43,6.6,7.3,5.1,1.5,11.9,,,,,,,
a3,"Aase, Don",29,R,1984,CAL,23,0,4,1,0.8,0,8,39,30,7,7,19,5,28,1.62,17,8,1,0,0,0,1.47,6.9,6.5,4.4,0.2,11.31,11,1.2,0.5,2.1,15,0.553,0.508
a3,"Aase, Don",30,R,1985,BAL,54,0,10,6,0.625,0,14,88,83,44,37,35,7,67,3.78,43,14,6,1,1,0,1.91,8.5,6.9,3.6,0.6,12.17,-3,-0.3,-0.3,0.2,5,0.494,0.498
a3,"Aase, Don",31,R,1986,BAL,66,0,6,7,0.462,0,34,81.2,71,29,27,28,2,67,2.98,58,34,6,0,0,4,2.39,7.8,7.4,3.1,0.7,10.97,10,1,0.4,2.3,18,0.516,0.506
a3,"Aase, Don",32,R,1987,BAL,7,0,1,0,1,0,2,8,8,2,2,4,0,3,2.25,6,2,1,0,0,0,0.75,9,3.4,4.5,1.1,13.5,2,0.2,0.1,0.4,3,0.528,0.501
a3,"Aase, Don",33,R,1988,BAL-min,7,0,0,0,,0,3,7.1,5,1,1,3,0,6,1.23,7,3,0,0,0,0,2,6.1,7.4,3.7,0,10.14,,,,,,,
a3,"Aase, Don",33,R,1988,BAL,35,0,0,0,,0,0,46.2,40,22,21,37,5,28,4.05,16,0,4,0,0,1,0.76,7.7,5.4,7.1,0.8,15,0,0,-0.1,0.4,5,0.501,0.5
a3,"Aase, Don",34,R,1989,NYM,49,0,1,5,0.167,0,2,59.1,56,27,26,26,3,34,3.94,22,2,5,1,1,0,1.31,8.5,5.2,3.9,0.8,12.64,-6,-0.6,-0.2,-0.3,-1,0.487,0.496
a3,"Aase, Don",35,R,1990,LAD-min,6,6,0,0,,0,0,9,6,1,1,2,0,4,1,0,0,0,0,0,0,2,6,4,2,0,8,,,,,,,
a3,"Aase, Don",35,R,1990,LAD,32,0,3,1,0.75,0,3,38,33,24,21,19,4,24,4.97,13,3,5,0,0,3,1.26,7.8,5.7,4.5,1.2,12.32,-8,-0.9,-0.2,-0.7,-4,0.472,0.495
a5,"Abad, Fernando",20,L,2006,HOU-min,15,11,5,2,0.714,0,1,61.1,50,18,9,7,0,64,1.32,1,1,1,6,1,0,9.14,7.3,9.4,1,0.1,9.28,,,,,,,
a5,"Abad, Fernando",21,L,2007,HOU-min,19,4,6,4,0.6,0,1,53,49,31,25,14,0,59,4.25,7,1,6,2,3,2,4.21,8.3,10,2.4,1,11.04,,,,,,,
a5,"Abad, Fernando",22,L,2008,HOU-min,48,0,2,7,0.222,0,3,78.2,80,31,28,13,3,96,3.2,27,3,9,4,2,1,7.38,9.2,11,1.5,1,11.16,,,,,,,
a5,"Abad, Fernando",23,L,2009,HOU-min,54,13,7,8,0.467,0,6,144,132,67,61,26,0,124,3.81,23,6,12,8,0,4,4.77,8.2,7.8,1.6,0.8,10.38,,,,,,,
a5,"Abad, Fernando",24,L,2010,HOU-min,29,10,7,3,0.7,0,0,80,88,28,21,19,1,79,2.36,1,0,5,0,2,2,4.16,9.9,8.9,2.1,0.6,12.04,,,,,,,
a5,"Abad, Fernando",24,L,2010,HOU,22,0,0,1,0,0,0,19,14,6,6,5,0,12,2.84,6,0,3,0,0,0,2.4,6.6,5.7,2.4,1.4,9,3,0.3,0,0.4,5,0.514,0.502
a5,"Abad, Fernando",25,L,2011,HOU-min,35,4,3,4,0.429,0,0,48,45,21,20,7,2,49,3.75,11,0,4,0,2,1,7,8.4,9.2,1.3,0.8,9.75,,,,,,,
a5,"Abad, Fernando",25,L,2011,HOU,29,0,1,4,0.2,0,0,19.2,28,18,16,9,0,15,7.32,1,0,5,1,0,0,1.67,12.8,6.9,4.1,2.3,17.81,-10,-1,-0.1,-1,-8,0.465,0.494
a5,"Abad, Fernando",26,L,2012,HOU-min,18,5,2,2,0.5,0,2,36,50,23,20,10,1,36,5,3,2,4,1,2,2,3.6,12.5,9,2.5,1,15.25,,,,,,,
a5,"Abad, Fernando",26,L,2012,HOU,37,6,0,6,0,0,0,46,57,27,26,19,1,38,5.09,8,0,6,3,0,4,2,11.2,7.4,3.7,1.2,15.46,-4,-0.5,0,-0.1,0,0.488,0.497
a5,"Abad, Fernando",27,L,2013,WSN-min,25,0,1,1,0.5,0,0,24.2,30,6,6,2,0,16,2.19,4,0,0,0,0,0,8,10.9,5.8,0.7,0,11.9,,,,,,,
a5,"Abad, Fernando",27,L,2013,WSN,39,0,0,3,0,0,0,37.2,42,14,14,10,0,32,3.35,17,0,3,1,0,0,3.2,10,7.6,2.4,0.7,12.82,2,0.2,-0.1,0.4,5,0.506,0.501
a5,"Abad, Fernando",28,L,2014,OAK,69,0,2,4,0.333,0,0,57.1,34,11,10,15,3,51,1.57,17,0,4,4,0,0,3.4,5.3,8,2.4,0.6,8.35,11,1.2,-0.1,1.7,17,0.518,0.507
a5,"Abad, Fernando",29,L,2015,OAK,7,0,0,1,0,0,0,6,7,3,3,2,0,3,4.5,2,0,1,0,0,0,1.5,10.5,4.5,3,1.5,13.5,0,0,0,0,0,0.5,0.5
a8,"Abbey, Bert",22,R,1892,WHS,27,22,5,18,0.217,19,1,195.2,207,139,75,76,,77,3.45,5,1,7,6,0,11,1.01,9.5,3.5,3.5,0.3,13.32,-22,-2,-0.1,-0.2,-5,0.427,0.488
a8,"Abbey, Bert",23,R,1893,MAC-min,36,36,19,17,0.528,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a8,"Abbey, Bert",23,R,1893,CHC,7,7,2,4,0.333,5,0,56,74,52,34,20,,6,5.46,0,0,1,4,0,2,0.3,11.9,1,3.2,0.2,15.75,-8,-0.6,-0.1,-0.1,0,0.42,0.497
a8,"Abbey, Bert",24,R,1894,CHC,11,11,2,7,0.222,10,0,92,119,74,53,37,,24,5.18,0,0,3,3,0,0,0.65,11.6,2.3,3.6,0.3,15.55,11,0.8,-0.1,1.6,23,0.575,0.505
a8,"Abbey, Bert",25,R,1895,QUI-min,7,7,3,3,0.5,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a8,"Abbey, Bert",25,R,1895,BRO,9,7,5,3,0.625,6,0,60,76,42,29,11,,17,4.35,2,0,0,4,0,2,1.55,11.4,2.6,1.7,0,13.65,1,0.1,0,0.4,6,0.496,0.499
a8,"Abbey, Bert",26,R,1896,BRO,25,18,8,8,0.5,12,0,164.1,210,135,94,48,,37,5.15,7,0,7,9,0,3,0.77,11.5,2,2.6,0.4,14.64,-27,-2.1,-0.2,-0.6,-10,0.417,0.487
a8,"Abbey, Bert",27,R,1897,KCY-min,42,39,15,26,0.366,37,,332.2,443,332,137,113,,89,3.71,,,,16,,6,0.79,12,2.4,3.1,,15.5,,,,,,,
a8,"Abbey, Bert",28,R,1898,MTL-min,25,23,15,9,0.625,23,,210,195,84,,37,,64,,,,,15,,6,1.73,8.4,2.7,1.6,,10.59,,,,,,,
a8,"Abbey, Bert",29,R,1899,MTL-min,8,8,4,2,0.667,6,,66,78,42,,15,,9,,,,,5,,1,0.6,10.6,1.2,2,,13.36,,,,,,,
a10,"Abbott, Dan",28,R,1890,TOL,3,1,0,2,0,1,1,13,19,14,9,8,,1,6.23,2,1,0,1,0,3,0.13,13.2,0.7,5.5,0,19.38,-5,-0.4,0,-0.3,-5,0.361,0.497
a12,"Abbott, Glenn",19,R,1970,OAK-min,14,14,8,3,0.727,7,0,101,106,55,43,40,0,92,3.83,,0,11,3,0,5,2.3,9.4,8.2,3.6,1,13.28,,,,,,,
a12,"Abbott, Glenn",20,R,1971,OAK-min,24,24,11,10,0.524,12,0,179,166,67,54,52,2,195,2.72,,0,16,10,0,4,3.75,8.3,9.8,2.6,0.8,11.46,,,,,,,
a12,"Abbott, Glenn",21,R,1972,OAK-min,28,27,9,16,0.36,13,0,204,174,80,67,66,5,140,2.96,,0,16,8,2,7,2.12,7.7,6.2,2.9,0.7,10.94,,,,,,,
a12,"Abbott, Glenn",22,R,1973,OAK-min,29,28,18,8,0.692,11,1,206,219,97,80,67,4,120,3.5,,1,9,3,2,12,1.79,9.6,5.2,2.9,0.4,12.63,,,,,,,
a12,"Abbott, Glenn",22,R,1973,OAK,5,3,1,0,1,1,0,18.2,16,8,8,7,0,6,3.86,1,0,3,0,1,0,0.86,7.7,2.9,3.4,1.4,11.37,-1,-0.1,0,0.1,1,0.474,0.499
a12,"Abbott, Glenn",23,R,1974,OAK-min,11,11,6,2,0.75,6,0,85,109,44,39,25,1,39,4.13,,0,2,2,0,4,1.56,11.5,4.1,2.6,0.2,14.4,,,,,,,
a12,"Abbott, Glenn",23,R,1974,OAK,19,17,5,7,0.417,3,0,96,89,38,32,34,3,38,3,0,0,4,3,0,3,1.12,8.3,3.6,3.2,0.4,11.81,1,0.1,-0.1,1,9,0.504,0.501
a12,"Abbott, Glenn",24,R,1975,OAK-min,4,4,2,2,0.5,3,0,30,30,14,12,11,1,18,3.6,,0,3,2,0,4,1.64,9,5.4,3.3,0.9,12.9,,,,,,,
a12,"Abbott, Glenn",24,R,1975,OAK,30,15,5,5,0.5,3,0,114.1,109,61,54,50,7,51,4.25,4,0,12,2,1,2,1.02,8.6,4,3.9,0.9,12.7,-11,-1.2,0,-0.1,-1,0.46,0.493
a12,"Abbott, Glenn",25,R,1976,OAK,19,10,2,4,0.333,0,0,62.1,87,41,38,16,0,27,5.49,4,0,6,1,0,3,1.69,12.6,3.9,2.3,0.9,15.07,-15,-1.6,0.1,-0.8,-10,0.417,0.49
a12,"Abbott, Glenn",26,R,1977,SEA,36,34,12,13,0.48,7,0,204.1,212,111,101,56,2,100,4.45,0,0,32,12,0,3,1.79,9.3,4.4,2.5,1.4,12.35,-8,-0.8,-0.1,1.1,14,0.479,0.495
a12,"Abbott, Glenn",27,R,1978,SEA,29,28,7,15,0.318,8,0,155.1,191,99,91,44,5,67,5.27,0,0,22,2,0,1,1.52,11.1,3.9,2.5,1.3,13.75,-17,-1.8,-0.1,-0.3,-3,0.438,0.489
a12,"Abbott, Glenn",28,R,1979,SEA,23,19,4,10,0.286,3,0,116.2,138,78,67,38,2,25,5.17,1,0,19,3,0,1,0.66,10.6,1.9,2.9,1.5,13.86,-13,-1.2,0,-0.1,0,0.447,0.493
a12,"Abbott, Glenn",29,R,1980,SEA,31,31,12,12,0.5,7,0,215,228,110,98,49,4,78,4.1,0,0,27,3,1,1,1.59,9.5,3.3,2.1,1.1,11.72,5,0.5,-0.1,2.4,26,0.517,0.503
a12,"Abbott, Glenn",30,R,1981,SEA,22,20,4,9,0.308,1,0,130.1,127,64,57,28,1,35,3.94,1,0,14,0,0,1,1.25,8.8,2.4,1.9,1,10.72,2,0.2,-0.1,1.4,13,0.511,0.501
a12,"Abbott, Glenn",31,R,1982,SEA-min,2,2,1,1,0.5,0,0,10,15,10,9,3,0,3,8.1,0,0,2,0,0,0,1,13.5,2.7,2.7,1.8,16.2,,,,,,,
a12,"Abbott, Glenn",32,R,1983,SEA-min,4,4,0,2,0,0,0,23.2,33,21,16,6,0,12,6.08,0,0,3,2,0,1,2,12.5,4.6,2.3,1.1,15.91,,,,,,,
a12,"Abbott, Glenn",32,R,1983,DET,21,21,7,4,0.636,3,0,129,146,58,52,22,3,49,3.63,0,0,14,4,2,2,2.23,10.2,3.4,1.5,1,12,4,0.4,0,1.2,11,0.556,0.504
a12,"Abbott, Glenn",33,R,1984,DET-min,5,5,0,4,0,0,0,29.2,30,14,13,8,0,8,3.94,0,0,2,0,2,0,1,9.1,2.4,2.4,0.6,11.71,,,,,,,
