PID,NAME,AGE,T,YR,TM,G,GS,W,L,WLP,CG,ShO,IP,H,R,ER,TBB,IBB,SO,ERA,GF,SV,HR,HB,BK,WP,SO/BB,H/9,SO/9,BB/9,HR/9,BR/9,RAA,WAA,WAAadj,WAR,RAR,waaWL%,162WL%
c2,"Cabral, César",17,L,2006,BOS-min,11,10,1,4,0.2,0,0,37.2,37,28,19,12,0,27,4.54,0,0,1,2,0,5,2.25,8.8,6.5,2.9,0.2,12.34,,,,,,,
c2,"Cabral, César",18,L,2007,BOS-min,14,14,5,4,0.556,0,0,66.1,55,22,13,21,0,58,1.76,0,0,0,2,1,4,2.76,7.5,7.9,2.8,0,10.62,,,,,,,
c2,"Cabral, César",19,L,2008,BOS-min,11,9,2,5,0.286,0,0,48.1,55,37,30,15,0,51,5.59,0,0,3,6,1,2,3.4,10.2,9.5,2.8,0.6,14.22,,,,,,,
c2,"Cabral, César",20,L,2009,BOS-min,15,9,1,6,0.143,0,4,60.1,66,35,27,17,0,47,4.03,5,4,2,3,0,5,2.76,9.8,7,2.5,0.3,12.88,,,,,,,
c2,"Cabral, César",21,L,2010,BOS-min,47,0,4,0,1,0,9,80.2,77,33,33,21,0,81,3.68,25,9,1,5,1,6,3.86,8.6,9,2.3,0.1,11.56,,,,,,,
c2,"Cabral, César",22,L,2011,BOS-min,56,0,4,4,0.5,0,11,67.2,63,23,19,24,0,83,2.53,25,11,3,1,2,5,3.46,8.4,11,3.2,0.4,11.79,,,,,,,
c2,"Cabral, César",24,L,2013,NYY-min,30,0,1,1,0.5,0,0,36.2,40,22,22,22,1,43,5.4,8,0,2,4,1,7,1.95,9.8,10.6,5.4,0.5,16.41,,,,,,,
c2,"Cabral, César",24,L,2013,NYY,8,0,0,0,,0,0,3.2,3,1,1,1,0,6,2.45,0,0,0,1,0,2,6,7.4,14.7,2.5,0,14.06,1,0.1,0,0.1,1,0.512,0.501
c2,"Cabral, César",25,L,2014,NYY-min,45,0,1,4,0.2,0,0,44.1,41,35,30,40,1,49,6.09,5,0,3,3,0,11,1.23,8.3,9.9,8.1,0.6,17.14,,,,,,,
c2,"Cabral, César",25,L,2014,NYY,4,0,0,0,,0,0,1,4,3,3,2,0,2,27,0,0,0,3,1,1,1,36,18,18,0,81,-2,-0.2,0,-0.2,-2,0.439,0.498
c2,"Cabral, César",26,L,2015,BAL-min,6,0,1,0,1,0,1,9.1,2,0,0,2,0,11,0,1,1,0,1,0,0,5.5,1.9,10.6,1.9,0,4.95,,,,,,,
c4,"Cabrera, Alberto",17,R,2006,CHC-min,15,14,5,6,0.455,0,0,71.1,69,34,18,18,0,55,2.27,0,0,4,6,1,6,3.06,8.7,6.9,2.3,0.5,11.77,,,,,,,
c4,"Cabrera, Alberto",18,R,2007,CHC-min,9,9,3,3,0.5,0,0,38.1,41,24,23,18,0,33,5.4,0,0,4,0,0,3,1.83,9.6,7.7,4.2,0.9,13.94,,,,,,,
c4,"Cabrera, Alberto",19,R,2008,CHC-min,12,11,4,6,0.4,0,0,52,55,39,33,30,0,37,5.71,0,0,7,1,0,2,1.23,9.5,6.4,5.2,1.2,14.88,,,,,,,
c4,"Cabrera, Alberto",20,R,2009,CHC-min,27,8,8,2,0.8,0,1,96.1,94,53,48,54,2,73,4.48,2,1,6,6,3,15,1.35,8.8,6.8,5,0.6,14.42,,,,,,,
c4,"Cabrera, Alberto",21,R,2010,CHC-min,28,26,7,9,0.438,1,0,136,149,83,64,50,1,125,4.24,0,0,7,4,2,20,2.5,9.9,8.3,3.3,0.5,13.43,,,,,,,
c4,"Cabrera, Alberto",22,R,2011,CHC-min,37,29,9,9,0.5,0,0,158.2,201,114,104,82,0,115,5.9,1,0,16,5,0,18,1.4,11.4,6.5,4.7,0.9,16.38,,,,,,,
c4,"Cabrera, Alberto",23,R,2012,CHC-min,42,1,4,1,0.8,0,5,69.1,70,35,24,27,0,94,3.12,20,5,8,2,0,5,3.48,9.1,12.2,3.5,1,12.89,,,,,,,
c4,"Cabrera, Alberto",23,R,2012,CHC,25,0,1,1,0.5,0,0,21.2,16,15,13,18,1,27,5.4,6,0,1,1,0,5,1.5,6.6,11.2,7.5,0.4,14.86,-6,-0.6,0.1,-0.3,-4,0.476,0.496
c4,"Cabrera, Alberto",24,R,2013,CHC-min,40,18,10,6,0.625,1,0,139,137,63,62,53,3,130,4.01,3,0,15,7,3,14,2.45,8.9,8.4,3.4,1,12.76,,,,,,,
c4,"Cabrera, Alberto",24,R,2013,CHC,7,0,0,0,,0,0,6,7,3,3,5,0,4,4.5,0,0,0,1,0,0,0.8,10.5,6,7.5,0,19.5,0,0,0,0,0,0.493,0.5
c4,"Cabrera, Alberto",25,R,2014,CHC-min,61,0,7,2,0.778,0,2,89.1,55,32,28,37,6,84,2.82,14,2,9,4,0,7,2.27,5.5,8.5,3.7,0.9,9.7,,,,,,,
c4,"Cabrera, Alberto",26,R,2015,DET-min,4,0,1,0,1,0,0,5,2,1,1,3,0,6,1.8,1,0,0,0,0,0,2,3.6,10.8,5.4,0,9,,,,,,,
