PID,NAME,AGE,T,YR,TM,G,GS,W,L,WLP,CG,ShO,IP,H,R,ER,TBB,IBB,SO,ERA,GF,SV,HR,HB,BK,WP,SO/BB,H/9,SO/9,BB/9,HR/9,BR/9,RAA,WAA,WAAadj,WAR,RAR,waaWL%,162WL%
d0,"D'Acquisto, John",18,R,1970,SFG-min,12,11,2,5,0.286,0,0,55,33,46,32,74,0,84,5.24,,0,3,5,1,13,1.14,5.4,13.7,12.1,0.5,18.33,,,,,,,
d0,"D'Acquisto, John",19,R,1971,SFG-min,31,29,10,13,0.435,14,1,233,178,98,81,124,2,244,3.13,,1,19,8,2,17,1.97,6.9,9.4,4.8,0.7,11.97,,,,,,,
d0,"D'Acquisto, John",20,R,1972,SFG-min,27,26,17,6,0.739,17,0,209,184,94,77,102,1,245,3.32,,0,8,15,0,18,2.4,7.9,10.6,4.4,0.3,12.96,,,,,,,
d0,"D'Acquisto, John",21,R,1973,SFG-min,31,31,16,12,0.571,14,0,212,186,97,84,113,0,185,3.57,,0,13,11,0,12,1.64,7.9,7.9,4.8,0.6,13.16,,,,,,,
d0,"D'Acquisto, John",21,R,1973,SFG,7,3,1,1,0.5,1,0,27.2,23,14,11,19,0,29,3.58,1,0,4,0,0,3,1.53,7.5,9.4,6.2,1.3,13.9,0,0,0,0.2,2,0.494,0.5
d0,"D'Acquisto, John",22,R,1974,SFG,38,36,12,14,0.462,5,0,215,182,101,90,124,7,167,3.77,1,0,13,6,2,9,1.35,7.6,7,5.2,0.5,13.06,4,0.4,-0.1,2.2,23,0.511,0.503
d0,"D'Acquisto, John",23,R,1975,SFG,10,6,2,4,0.333,0,0,28,29,35,32,34,0,22,10.29,3,0,5,2,0,5,0.65,9.3,7.1,10.9,1.6,20.89,-21,-1.9,0,-1.6,-18,0.311,0.488
d0,"D'Acquisto, John",24,R,1976,SFG,28,19,3,8,0.273,0,0,106,93,69,63,102,1,53,5.35,5,0,5,3,1,10,0.52,7.9,4.5,8.7,0.4,16.81,-16,-1.7,0.1,-0.7,-7,0.438,0.489
d0,"D'Acquisto, John",25,R,1977,SDP-min,8,8,4,3,0.571,4,0,60,44,27,25,40,0,47,3.75,,0,8,1,0,3,1.18,6.6,7,6,1.2,12.75,,,,,,,
d0,"D'Acquisto, John",25,R,1977,SDP,20,14,1,2,0.333,0,0,52.1,54,45,38,57,0,54,6.54,2,0,3,2,1,7,0.95,9.3,9.3,9.8,0.5,19.52,-17,-1.6,0.1,-1.3,-14,0.405,0.49
d0,"D'Acquisto, John",26,R,1978,SDP,45,3,4,3,0.571,0,10,93,60,24,22,56,2,104,2.13,24,10,2,1,1,5,1.86,5.8,10.1,5.4,0.2,11.32,14,1.6,0.1,2.5,22,0.536,0.51
d0,"D'Acquisto, John",27,R,1979,SDP,51,11,9,13,0.409,1,2,133.2,140,83,73,86,6,97,4.92,19,2,15,3,0,5,1.13,9.4,6.5,5.8,1,15.47,-27,-2.8,-0.3,-1.9,-14,0.446,0.483
d0,"D'Acquisto, John",28,R,1980,MON,50,0,2,5,0.286,0,3,87.2,81,36,33,45,9,59,3.39,14,3,2,1,0,9,1.31,8.3,6.1,4.6,0.2,13.11,-2,-0.2,-0.1,0.3,4,0.499,0.499
d0,"D'Acquisto, John",29,R,1981,CAL-min,18,18,5,10,0.333,2,0,92,119,97,85,88,0,66,8.32,0,0,1,5,3,8,0.75,11.6,6.5,8.6,0.1,20.74,,,,,,,
d0,"D'Acquisto, John",29,R,1981,CAL,6,0,0,0,,0,0,19.1,26,24,23,12,0,8,10.71,1,0,2,1,0,1,0.67,12.1,3.7,5.6,0.9,18.38,-15,-1.3,0.1,-1,-14,0.277,0.492
d0,"D'Acquisto, John",30,R,1982,ATL-OAK-min,21,8,3,6,0.333,1,0,67,85,67,62,69,0,38,8.33,5,0,5,5,1,9,0.55,11.4,5.1,9.3,0.7,21.36,,,,,,,
d0,"D'Acquisto, John",30,R,1982,OAK,11,0,0,1,0,0,0,17,20,11,10,9,0,7,5.29,6,0,1,0,0,2,0.78,10.6,3.7,4.8,0.5,15.35,-4,-0.4,0.1,-0.1,-2,0.466,0.498
