PID,NAME,AGE,T,YR,TM,G,GS,W,L,WLP,CG,ShO,IP,H,R,ER,TBB,IBB,SO,ERA,GF,SV,HR,HB,BK,WP,SO/BB,H/9,SO/9,BB/9,HR/9,BR/9,RAA,WAA,WAAadj,WAR,RAR,waaWL%,162WL%
e8,"Earley, Arnold",20,L,1953,BOS-min,9,,1,2,0.333,,,25,12,24,21,32,,,7.56,,,,,,,,4.3,,11.5,,,,,,,,,
e8,"Earley, Arnold",23,L,1956,BOS-min,26,21,8,10,0.444,,,154,118,70,53,88,,,3.1,,,8,,,,,6.9,,5.1,0.5,,,,,,,,
e8,"Earley, Arnold",24,L,1957,BOS-min,40,22,6,13,0.316,5,,151,120,63,55,110,2,103,3.28,,,10,3,1,9,0.94,7.2,6.1,6.6,0.6,13.89,,,,,,,
e8,"Earley, Arnold",25,L,1958,BOS-min,39,17,7,13,0.35,5,,137,141,75,61,93,6,90,4.01,,,11,1,0,4,0.97,9.3,5.9,6.1,0.7,15.44,,,,,,,
e8,"Earley, Arnold",26,L,1959,BOS-min,16,8,2,5,0.286,1,,56,63,35,30,27,0,66,4.82,,,4,1,0,6,2.44,10.1,10.6,4.3,0.6,14.63,,,,,,,
e8,"Earley, Arnold",27,L,1960,PHI-min,38,16,6,10,0.375,1,,141,146,73,62,42,1,89,3.96,,,8,4,1,5,2.12,9.3,5.7,2.7,0.5,12.26,,,,,,,
e8,"Earley, Arnold",27,L,1960,BOS,2,0,0,1,0,0,0,4,9,8,7,4,0,5,15.75,1,0,1,0,0,2,1.25,20.3,11.3,9,2.3,29.25,-6,-0.5,0,-0.4,-6,0.265,0.497
e8,"Earley, Arnold",28,L,1961,BOS-min,28,0,4,1,0.8,0,,37,25,6,5,17,1,35,1.22,,,1,0,0,0,2.06,6.1,8.5,4.1,0.2,10.22,,,,,,,
e8,"Earley, Arnold",28,L,1961,BOS,33,0,2,4,0.333,0,7,49.2,42,31,22,34,3,44,3.99,22,7,3,0,0,2,1.29,7.6,8,6.2,0.5,13.9,-6,-0.6,-0.3,-0.4,-2,0.483,0.497
e8,"Earley, Arnold",29,L,1962,BOS,38,3,4,5,0.444,0,5,68.1,76,53,44,46,1,59,5.8,17,5,8,1,2,3,1.28,10,7.8,6.1,1.1,16.26,-19,-1.9,-0.2,-1.5,-15,0.449,0.488
e8,"Earley, Arnold",30,L,1963,BOS,53,4,3,7,0.3,0,1,115.2,124,73,61,43,8,97,4.75,18,1,13,8,0,2,2.26,9.6,7.5,3.3,1,13.67,-20,-2.2,-0.2,-1.3,-13,0.459,0.487
e8,"Earley, Arnold",31,L,1964,BOS,25,3,1,1,0.5,1,1,50.1,51,17,15,18,0,45,2.68,7,1,3,1,0,1,2.5,9.1,8,3.2,0.5,12.57,9,1.1,-0.2,1.3,12,0.543,0.507
e8,"Earley, Arnold",32,L,1965,BOS,57,0,0,1,0,0,0,74.1,79,42,30,29,8,47,3.63,11,0,5,3,1,2,1.62,9.6,5.7,3.5,0.6,13.48,-5,-0.6,-0.2,-0.2,0,0.489,0.496
e8,"Earley, Arnold",33,L,1966,CHC-ATL-min,38,2,5,7,0.417,0,,61,53,28,21,30,7,57,3.1,,,1,0,0,2,1.9,7.8,8.4,4.4,0.1,12.25,,,,,,,
e8,"Earley, Arnold",33,L,1966,CHC,13,0,2,1,0.667,0,0,17.2,14,11,7,9,0,12,3.57,8,0,1,0,0,1,1.33,7.1,6.1,4.6,0.5,12.03,-3,-0.3,0,-0.1,-1,0.474,0.498
e8,"Earley, Arnold",34,L,1967,HOU-CHC-min,39,0,2,1,0.667,0,,59,60,27,19,31,0,62,2.9,,,2,0,1,4,2,9.2,9.5,4.7,0.3,13.88,,,,,,,
e8,"Earley, Arnold",34,L,1967,HOU,2,0,0,0,,0,0,1.1,5,5,4,1,0,1,27,1,0,1,0,0,0,1,33.8,6.8,6.8,6.8,49.09,-4,-0.4,0.1,-0.3,-4,0.296,0.497
e9,"Earley, Bill",22,L,1978,CHC-min,13,12,10,3,0.769,6,0,95,88,36,23,35,4,,2.18,,0,4,3,2,5,,8.3,,3.3,0.4,11.94,,,,,,,
e9,"Earley, Bill",23,L,1979,CHC-min,30,21,13,6,0.684,10,0,164,180,87,74,62,2,94,4.06,,0,19,4,0,9,1.52,9.9,5.2,3.4,1,13.5,,,,,,,
e9,"Earley, Bill",24,L,1980,CHC-min,29,11,7,6,0.538,1,1,119,130,62,53,47,2,71,4.01,,1,9,4,3,6,1.51,9.8,5.4,3.6,0.7,13.69,,,,,,,
e9,"Earley, Bill",25,L,1981,CHC-min,29,26,4,16,0.2,5,0,154,164,94,83,90,5,75,4.85,0,0,19,5,0,5,0.83,9.6,4.4,5.3,1.1,15.14,,,,,,,
e9,"Earley, Bill",26,L,1982,CHC-min,28,3,4,2,0.667,1,4,66,61,28,25,27,6,33,3.41,10,4,4,3,2,1,1.22,8.3,4.5,3.7,0.5,12.41,,,,,,,
e9,"Earley, Bill",27,L,1983,CHC-min,46,0,5,6,0.455,0,2,80,87,39,35,34,7,56,3.94,17,2,3,3,2,5,1.65,9.8,6.3,3.8,0.3,13.95,,,,,,,
e9,"Earley, Bill",28,L,1984,CHC-min,54,3,6,6,0.5,1,6,86,93,44,36,34,4,61,3.77,30,6,9,2,1,2,1.79,9.7,6.4,3.6,0.9,13.5,,,,,,,
e9,"Earley, Bill",29,L,1985,TEX-min,41,0,7,5,0.583,0,12,77,68,29,28,18,1,43,3.27,31,12,6,2,0,0,2.39,7.9,5,2.1,0.7,10.29,,,,,,,
e9,"Earley, Bill",30,L,1986,STL-min,52,0,4,6,0.4,0,15,70.1,60,29,25,32,3,43,3.2,42,15,4,3,0,4,1.34,7.7,5.5,4.1,0.5,12.2,,,,,,,
e9,"Earley, Bill",30,L,1986,STL,3,0,0,0,,0,0,3,0,0,0,2,0,2,0,2,0,0,0,0,0,1,0,6,6,0,6,1,0.2,0,0.2,2,0.553,0.501
e9,"Earley, Bill",31,L,1987,STL-min,52,0,2,3,0.4,0,5,54.1,56,27,24,24,5,30,3.98,26,5,3,0,3,6,1.25,9.3,5,4,0.5,13.31,,,,,,,
e10,"Earley, Tom",19,R,1936,PIT-min,12,,2,3,0.4,,,63,78,64,56,25,,,8,,,,,,,,11.1,,3.6,,,,,,,,,
e10,"Earley, Tom",20,R,1937,BSN-min,17,,2,4,0.333,,,71,72,38,29,21,,,3.68,,,,,,,,9.1,,2.7,,,,,,,,,
e10,"Earley, Tom",21,R,1938,BSN-min,35,,12,9,0.571,,,191,197,94,82,66,,,3.86,,,,,,,,9.3,,3.1,,,,,,,,,
e10,"Earley, Tom",21,R,1938,BSN,2,1,1,0,1,1,0,11,8,9,4,1,,4,3.27,1,0,2,1,0,0,4,6.5,3.3,0.8,1.6,8.18,-5,-0.4,0,-0.3,-4,0.286,0.497
e10,"Earley, Tom",22,R,1939,BSN-min,15,12,6,4,0.6,,,91,108,45,34,24,,,3.36,,,,,,,,10.7,,2.4,,,,,,,,,
e10,"Earley, Tom",22,R,1939,BSN,14,2,1,4,0.2,0,1,40,49,28,21,19,,9,4.73,5,1,1,2,1,1,0.47,11,2,4.3,0.2,15.75,-10,-1,0,-0.6,-7,0.429,0.494
e10,"Earley, Tom",23,R,1940,STP-min,32,17,12,12,0.5,,,139,166,84,69,51,,,4.47,,,,,,,,10.7,,3.3,,,,,,,,,
e10,"Earley, Tom",23,R,1940,BSN,4,1,2,0,1,1,0,16.1,16,7,7,3,,5,3.86,1,0,1,2,0,0,1.67,8.8,2.8,1.7,0.6,11.74,0,0,0,0.1,1,0.498,0.5
e10,"Earley, Tom",24,R,1941,BSN,33,13,6,8,0.429,6,3,138.2,120,52,39,46,,54,2.53,12,3,9,3,0,1,1.17,7.8,3.5,3,0.6,11.01,14,1.6,-0.1,2.8,26,0.548,0.51
e10,"Earley, Tom",25,R,1942,BSN,27,18,6,11,0.353,6,1,112.2,120,65,59,55,,28,4.71,4,1,10,1,0,5,0.51,9.6,2.2,4.4,0.8,14.12,-20,-2.1,-0.1,-1.2,-12,0.421,0.487
e10,"Earley, Tom",28,R,1945,BSN-min,10,,2,2,0.5,0,,35,51,32,27,11,,10,6.94,,,,0,0,1,0.91,13.1,2.6,2.8,,15.94,,,,,,,
e10,"Earley, Tom",28,R,1945,BSN,11,2,2,1,0.667,1,0,41,36,22,21,19,,4,4.61,3,0,4,0,0,1,0.21,7.9,0.9,4.2,0.9,12.07,-4,-0.4,0,0,0,0.465,0.498
e10,"Earley, Tom",29,R,1946,CHC-min,2,0,0,0,,,,6,8,4,5,1,,,7.5,,,,,,,,12,,1.5,,,,,,,,,
e12,"Earnshaw, George",24,R,1924,BLT-min,13,7,7,0,1,,,64,56,28,24,33,,,3.38,,,,,,,,7.9,,4.6,,,,,,,,,
e12,"Earnshaw, George",25,R,1925,BLT-min,53,41,29,11,0.725,,,332,352,155,130,113,,,3.52,,,,,,,,9.5,,3.1,,,,,,,,,
e12,"Earnshaw, George",27,R,1927,BLT-min,46,34,17,18,0.486,,,279,283,150,117,108,,,3.77,,,,,,,,9.1,,3.5,,,,,,,,,
