PID,NAME,AGE,T,YR,TM,G,GS,W,L,WLP,CG,ShO,IP,H,R,ER,TBB,IBB,SO,ERA,GF,SV,HR,HB,BK,WP,SO/BB,H/9,SO/9,BB/9,HR/9,BR/9,RAA,WAA,WAAadj,WAR,RAR,waaWL%,162WL%
h3,"Haas, Dave",22,R,1988,DET-min,11,11,4,3,0.571,0,0,54.2,59,20,11,19,1,46,1.81,0,0,0,6,4,2,2.42,9.7,7.6,3.1,0,13.95,,,,,,,
h3,"Haas, Dave",23,R,1989,DET-min,28,28,7,12,0.368,3,0,165.2,157,85,79,67,1,121,4.29,0,0,14,17,2,6,1.81,8.5,6.6,3.6,0.8,13.13,,,,,,,
h3,"Haas, Dave",24,R,1990,DET-min,27,27,13,8,0.619,3,0,177.2,151,64,59,74,1,116,2.99,0,0,10,10,1,14,1.57,7.6,5.9,3.7,0.5,11.94,,,,,,,
h3,"Haas, Dave",25,R,1991,DET-min,28,28,8,10,0.444,1,0,157.1,187,103,92,77,3,133,5.26,0,0,11,8,1,8,1.73,10.7,7.6,4.4,0.6,15.58,,,,,,,
h3,"Haas, Dave",25,R,1991,DET,11,0,1,0,1,0,0,10.2,8,8,8,12,3,6,6.75,0,0,1,1,0,1,0.5,6.8,5.1,10.1,0.8,18.53,-3,-0.3,0,-0.2,-2,0.474,0.498
h3,"Haas, Dave",26,R,1992,DET-min,22,22,9,8,0.529,2,0,148.2,149,72,69,53,1,112,4.18,0,0,11,9,0,5,2.11,9,6.8,3.2,0.7,12.81,,,,,,,
h3,"Haas, Dave",26,R,1992,DET,12,11,5,3,0.625,1,0,61.2,68,30,27,16,1,29,3.94,1,0,8,1,0,2,1.81,9.9,4.2,2.3,1.2,12.5,0,0,0,0.6,6,0.496,0.5
h3,"Haas, Dave",27,R,1993,DET-min,2,2,0,0,,0,0,4.1,8,9,9,6,0,2,18.69,0,0,0,1,0,1,0.33,16.6,4.2,12.5,0,32.93,,,,,,,
h3,"Haas, Dave",27,R,1993,DET,20,0,1,2,0.333,0,0,28,45,20,19,8,5,17,6.11,5,0,9,0,0,0,2.13,14.5,5.5,2.6,2.9,17.04,-6,-0.6,-0.1,-0.3,-3,0.472,0.497
h3,"Haas, Dave",28,R,1994,DET-min,5,3,1,0,1,0,0,20,23,9,8,8,0,4,3.6,0,0,0,3,0,0,0.5,10.4,1.8,3.6,0,15.3,,,,,,,
h3,"Haas, Dave",29,R,1995,CHC-min,21,19,7,8,0.467,0,0,112.1,121,73,58,34,1,67,4.65,0,0,13,12,0,4,1.97,9.7,5.4,2.7,1,13.41,,,,,,,
h3,"Haas, Dave",30,R,1996,ABL-min,21,20,13,4,0.765,5,0,148,139,52,40,36,1,102,2.43,0,0,6,13,0,2,2.83,8.5,6.2,2.2,0.4,11.43,,,,,,,
h3,"Haas, Dave",31,R,1997,HOU-min,13,0,1,1,0.5,0,0,19.2,23,14,11,4,2,5,5.03,4,0,0,1,0,0,1.25,10.5,2.3,1.8,0,13.13,,,,,,,
h5,"Haas, Moose",18,R,1974,MIL-min,13,13,5,5,0.5,6,0,96,91,43,34,41,4,89,3.19,,0,2,1,0,1,2.17,8.5,8.3,3.8,0.2,12.47,,,,,,,
h5,"Haas, Moose",19,R,1975,MIL-min,25,24,11,8,0.579,12,0,171,149,66,39,49,3,146,2.05,,0,6,0,0,8,2.98,7.8,7.7,2.6,0.3,10.42,,,,,,,
h5,"Haas, Moose",20,R,1976,MIL-min,30,28,13,9,0.591,9,0,172,208,116,106,86,0,130,5.55,,0,22,1,2,3,1.51,10.9,6.8,4.5,1.2,15.44,,,,,,,
h5,"Haas, Moose",20,R,1976,MIL,5,2,0,1,0,0,0,16,12,8,7,12,0,9,3.94,2,0,0,0,0,2,0.75,6.8,5.1,6.8,0,13.5,0,-0.1,0,0.1,1,0.489,0.5
h5,"Haas, Moose",21,R,1977,MIL,32,32,10,12,0.455,6,0,197.2,195,104,95,84,8,113,4.33,0,0,21,2,0,7,1.35,8.9,5.1,3.8,1,12.82,0,0,-0.1,1.9,21,0.501,0.5
h5,"Haas, Moose",22,R,1978,MIL,7,6,2,3,0.4,2,1,30.2,33,22,21,8,0,32,6.16,1,1,6,0,1,1,4,9.7,9.4,2.3,1.8,12.22,-7,-0.7,0,-0.4,-5,0.395,0.495
h5,"Haas, Moose",23,R,1979,MIL,29,28,11,11,0.5,8,0,184.2,198,112,98,59,2,95,4.78,0,0,26,0,0,9,1.61,9.6,4.6,2.9,1.3,12.56,-12,-1.2,-0.1,0.6,7,0.459,0.493
h5,"Haas, Moose",24,R,1980,MIL,33,33,16,15,0.516,14,0,252.1,246,96,87,56,6,146,3.1,0,0,25,1,1,5,2.61,8.8,5.2,2,0.9,10.82,21,2.3,-0.1,4.5,46,0.569,0.514
h5,"Haas, Moose",25,R,1981,MIL,24,22,11,7,0.611,5,0,137.1,146,69,68,40,4,64,4.46,1,0,10,1,1,3,1.6,9.6,4.2,2.6,0.7,12.28,-8,-0.9,-0.1,0.3,3,0.464,0.495
