PID,NAME,AGE,T,YR,TM,G,GS,W,L,WLP,CG,ShO,IP,H,R,ER,TBB,IBB,SO,ERA,GF,SV,HR,HB,BK,WP,SO/BB,H/9,SO/9,BB/9,HR/9,BR/9,RAA,WAA,WAAadj,WAR,RAR,waaWL%,162WL%
i2,"Iburg, Ham",27,R,1901,SFR-min,67,,37,27,0.578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
i2,"Iburg, Ham",28,R,1902,PHI,30,29,11,18,0.379,20,0,236,286,141,102,62,,106,3.89,1,0,1,11,0,4,1.71,10.9,4,2.4,0,13.69,-18,-1.9,-0.3,-0.1,0,0.437,0.488
i2,"Iburg, Ham",29,R,1903,SFC-min,52,47,26,22,0.542,,,437.1,406,179,122,101,,,2.51,,,,,,,,8.4,,2.1,,,,,,,,,
i2,"Iburg, Ham",30,R,1904,POR-min,58,53,23,30,0.434,,,461.1,457,219,140,74,,,2.73,,,,,,,,8.9,,1.4,,,,,,,,,
i2,"Iburg, Ham",31,R,1905,OLD-min,50,49,22,26,0.458,,,428.1,359,136,97,86,,,2.04,,,,,,,,7.5,,1.8,,,,,,,,,
i3,"Igarashi, Ryota",20,R,1999,None-min,36,0,6,4,0.6,0,1,47.2,34,27,26,29,0,59,4.91,14,1,4,1,1,3,2.03,6.4,11.1,5.5,0.8,12.2,,,,,,,
i3,"Igarashi, Ryota",21,R,2000,None-min,56,0,11,4,0.733,0,1,75.1,42,28,26,33,3,90,3.11,19,1,11,1,0,6,2.73,5,10.8,3.9,1.3,9.11,,,,,,,
i3,"Igarashi, Ryota",22,R,2001,None-min,41,0,2,3,0.4,0,0,41.2,25,13,12,28,2,51,2.59,13,0,2,2,0,1,1.82,5.4,11,6,0.4,12.01,,,,,,,
i3,"Igarashi, Ryota",23,R,2002,None-min,64,0,8,2,0.8,0,4,78,49,19,18,18,2,97,2.08,21,4,8,3,0,8,5.39,5.7,11.2,2.1,0.9,8.08,,,,,,,
i3,"Igarashi, Ryota",24,R,2003,None-min,66,0,5,5,0.5,0,0,74,60,33,32,33,2,83,3.89,21,0,9,1,1,7,2.52,7.3,10.1,4,1.1,11.43,,,,,,,
i3,"Igarashi, Ryota",25,R,2004,None-min,66,0,5,3,0.625,0,37,74.1,57,24,22,36,5,86,2.66,56,37,9,1,0,4,2.39,6.9,10.4,4.4,1.1,11.42,,,,,,,
i3,"Igarashi, Ryota",26,R,2005,None-min,49,0,3,2,0.6,0,4,56.2,52,24,22,27,2,60,3.49,18,4,6,1,0,6,2.22,8.3,9.5,4.3,1,12.81,,,,,,,
i3,"Igarashi, Ryota",27,R,2006,None-min,29,0,1,2,0.333,0,1,25,33,20,17,11,1,18,6.12,16,1,3,2,0,4,1.64,11.9,6.5,4,1.1,16.56,,,,,,,
i3,"Igarashi, Ryota",29,R,2008,None-min,44,0,3,2,0.6,0,3,43.2,35,13,12,6,0,42,2.47,,3,3,2,0,3,7,7.2,8.7,1.2,0.6,8.96,,,,,,,
i3,"Igarashi, Ryota",30,R,2009,None-min,56,0,3,2,0.6,0,3,53.2,42,19,19,20,1,44,3.19,,3,3,3,0,1,2.2,7,7.4,3.4,0.5,11,,,,,,,
i3,"Igarashi, Ryota",31,R,2010,NYM-min,20,2,3,1,0.75,0,2,24,28,10,8,7,0,27,3,10,2,2,0,0,4,3.86,10.5,10.1,2.6,0.8,13.13,,,,,,,
i3,"Igarashi, Ryota",31,R,2010,NYM,34,0,1,1,0.5,0,0,30.1,29,24,24,18,1,25,7.12,11,0,4,0,0,3,1.39,8.6,7.4,5.3,1.2,14.05,-11,-1.1,-0.1,-0.9,-9,0.466,0.493
i3,"Igarashi, Ryota",32,R,2011,NYM-min,32,0,0,1,0,0,8,41.2,26,12,7,13,0,48,1.51,20,8,2,1,2,2,3.69,5.6,10.4,2.8,0.4,8.74,,,,,,,
i3,"Igarashi, Ryota",32,R,2011,NYM,45,0,4,1,0.8,0,0,38.2,43,20,20,28,2,42,4.66,9,0,2,4,0,3,1.5,10,9.8,6.5,0.5,17.67,-3,-0.3,-0.1,-0.1,0,0.493,0.498
i3,"Igarashi, Ryota",33,R,2012,NYY-TOR-min,49,0,5,4,0.556,0,14,57.2,40,14,13,21,1,83,2.03,30,14,1,1,0,10,3.95,6.2,13,3.3,0.2,9.76,,,,,,,
i3,"Igarashi, Ryota",33,R,2012,NYY,4,0,0,0,,0,0,4,9,8,8,5,0,5,18,1,0,0,0,0,0,1,20.3,11.3,11.3,0,31.5,-4,-0.3,0.1,-0.3,-3,0.363,0.498
i3,"Igarashi, Ryota",34,R,2013,None-min,51,0,3,3,0.5,0,12,53.1,38,17,15,18,0,58,2.53,27,12,1,1,1,1,3.22,6.4,9.8,3,0.2,9.66,,,,,,,
i3,"Igarashi, Ryota",35,R,2014,None-min,63,0,1,3,0.25,0,2,59.1,33,11,10,18,0,71,1.52,10,2,0,1,1,4,3.94,5,10.8,2.7,0,7.92,,,,,,,
i3,"Igarashi, Ryota",36,R,2015,None-min,2,0,0,0,,0,0,2,2,0,0,1,0,3,0,0,0,0,0,0,0,3,9,13.5,4.5,0,13.5,,,,,,,
i4,"Igawa, Kei",19,L,1999,None-min,7,3,1,1,0.5,0,0,15.1,23,11,11,13,0,14,6.46,1,0,1,1,0,0,1.08,13.5,8.2,7.6,0.6,22.05,,,,,,,
i4,"Igawa, Kei",20,L,2000,None-min,9,5,1,3,0.25,0,0,39.1,36,19,19,19,1,37,4.35,1,0,5,0,0,7,1.95,8.2,8.5,4.3,1.1,12.66,,,,,,,
i4,"Igawa, Kei",21,L,2001,None-min,29,28,9,13,0.409,3,0,192,174,76,57,89,6,171,2.67,0,0,11,3,0,6,1.92,8.2,8,4.2,0.5,12.47,,,,,,,
i4,"Igawa, Kei",22,L,2002,None-min,31,29,14,9,0.609,8,1,209.2,163,63,58,53,1,206,2.49,2,1,15,7,0,8,3.89,7,8.8,2.3,0.6,9.59,,,,,,,
i4,"Igawa, Kei",23,L,2003,None-min,29,29,20,5,0.8,8,0,206,184,72,64,58,3,179,2.8,0,0,15,3,0,5,3.09,8,7.8,2.5,0.7,10.7,,,,,,,
i4,"Igawa, Kei",24,L,2004,None-min,29,29,14,11,0.56,6,0,200.1,190,95,83,54,0,228,3.73,0,0,29,6,0,5,4.22,8.5,10.2,2.4,1.3,11.24,,,,,,,
i4,"Igawa, Kei",25,L,2005,None-min,27,27,13,9,0.591,2,0,172.1,199,91,74,60,0,145,3.86,0,0,23,1,0,4,2.42,10.4,7.6,3.1,1.2,13.6,,,,,,,
i4,"Igawa, Kei",26,L,2006,None-min,29,29,14,9,0.609,8,0,209,180,77,69,49,3,194,2.97,0,0,17,6,0,4,3.96,7.8,8.4,2.1,0.7,10.12,,,,,,,
i4,"Igawa, Kei",27,L,2007,NYY-min,13,13,6,5,0.545,0,0,77.1,75,34,30,18,0,77,3.49,0,0,10,2,1,0,4.28,8.7,9,2.1,1.2,11.09,,,,,,,
i4,"Igawa, Kei",27,L,2007,NYY,14,12,2,3,0.4,0,0,67.2,76,48,47,37,1,53,6.25,0,0,15,4,1,5,1.43,10.1,7,4.9,2,15.67,-11,-1,-0.1,-0.4,-3,0.429,0.494
i4,"Igawa, Kei",28,L,2008,NYY-min,26,24,14,6,0.7,2,0,156.1,141,65,60,45,0,117,3.45,1,0,15,4,0,5,2.6,8.1,6.7,2.6,0.9,10.95,,,,,,,
i4,"Igawa, Kei",28,L,2008,NYY,2,1,0,1,0,0,0,4,13,6,6,0,0,0,13.5,1,0,0,0,0,0,,29.3,0,0,0,29.25,-4,-0.3,0,-0.2,-3,0.347,0.498
i4,"Igawa, Kei",29,L,2009,NYY-min,26,26,10,8,0.556,1,0,145.1,165,75,67,40,2,105,4.15,0,0,21,5,0,2,2.63,10.2,6.5,2.5,1.3,13.03,,,,,,,
i4,"Igawa, Kei",30,L,2010,NYY-min,22,10,3,4,0.429,0,0,77,81,37,37,23,1,68,4.32,2,0,9,0,0,2,2.96,9.5,7.9,2.7,1.1,12.16,,,,,,,
i4,"Igawa, Kei",31,L,2011,NYY-min,20,10,3,2,0.6,0,1,77,70,34,33,37,1,52,3.86,3,1,10,4,0,3,1.41,8.2,6.1,4.3,1.2,12.97,,,,,,,
i4,"Igawa, Kei",32,L,2012,None-min,12,12,2,7,0.222,0,0,62,64,35,32,31,0,36,4.65,0,0,5,2,1,3,1.16,9.3,5.2,4.5,0.7,14.08,,,,,,,
