PID,NAME,AGE,T,YR,TM,G,GS,W,L,WLP,CG,ShO,IP,H,R,ER,TBB,IBB,SO,ERA,GF,SV,HR,HB,BK,WP,SO/BB,H/9,SO/9,BB/9,HR/9,BR/9,RAA,WAA,WAAadj,WAR,RAR,waaWL%,162WL%
j2,"Jackson, Al",19,L,1955,PIT-min,15,15,8,5,0.615,,,116,102,42,36,65,,,2.79,,,4,,,,,7.9,,5,0.3,,,,,,,,
j2,"Jackson, Al",20,L,1956,MCT-min,37,27,14,10,0.583,,,207,176,,,95,,,,,,,,,,,7.7,,4.1,,,,,,,,,
j2,"Jackson, Al",21,L,1957,PIT-min,8,3,0,3,0,,,11,14,9,8,14,,,6.55,,,,,,,,11.5,,11.5,,,,,,,,,
j2,"Jackson, Al",22,L,1958,PIT-min,31,29,18,9,0.667,16,,230,189,99,53,101,,162,2.07,,,14,4,1,4,1.6,7.4,6.3,4,0.5,11.5,,,,,,,
j2,"Jackson, Al",23,L,1959,PIT-min,26,19,15,4,0.789,12,,162,130,47,42,51,5,111,2.33,,,11,1,0,3,2.18,7.2,6.2,2.8,0.6,10.11,,,,,,,
j2,"Jackson, Al",23,L,1959,PIT,8,3,0,0,,0,0,18,30,14,13,8,3,13,6.5,1,0,1,0,0,2,1.63,15,6.5,4,0.5,19,-5,-0.5,-0.1,-0.4,-3,0.438,0.497
j2,"Jackson, Al",24,L,1960,PIT-min,35,29,10,14,0.417,8,,197,159,81,67,58,4,122,3.06,,,8,5,1,6,2.1,7.3,5.6,2.6,0.4,10.14,,,,,,,
j2,"Jackson, Al",25,L,1961,PIT-min,31,26,12,7,0.632,12,,196,187,80,63,44,0,166,2.89,,,15,3,0,7,3.77,8.6,7.6,2,0.7,10.74,,,,,,,
j2,"Jackson, Al",25,L,1961,PIT,3,2,1,0,1,1,0,23.2,20,10,9,4,1,15,3.42,0,0,2,0,0,0,3.75,7.6,5.7,1.5,0.8,9.31,1,0.1,0,0.3,4,0.543,0.501
j2,"Jackson, Al",26,L,1962,NYM,36,33,8,20,0.286,12,0,231.1,244,132,113,78,5,118,4.4,2,0,16,5,0,9,1.51,9.5,4.6,3,0.6,12.73,7,0.7,-0.1,3,32,0.52,0.504
j2,"Jackson, Al",27,L,1963,NYM,37,34,13,17,0.433,11,1,227,237,128,100,84,2,142,3.96,1,1,25,12,2,9,1.69,9.4,5.6,3.3,1,13.2,-15,-1.7,-0.1,0.5,7,0.455,0.49
j2,"Jackson, Al",28,L,1964,NYM,40,31,11,16,0.407,11,1,213.1,229,115,101,60,3,112,4.26,2,1,18,4,0,4,1.87,9.7,4.7,2.5,0.8,12.37,-14,-1.5,-0.2,0.5,8,0.463,0.491
j2,"Jackson, Al",29,L,1965,NYM,37,31,8,20,0.286,7,1,205.1,217,111,99,61,4,120,4.34,2,1,17,8,2,6,1.97,9.5,5.3,2.7,0.7,12.55,-16,-1.7,-0.2,0.2,3,0.453,0.489
j2,"Jackson, Al",30,L,1966,STL,36,30,13,15,0.464,11,0,232.2,222,82,65,45,10,90,2.51,2,0,18,3,1,4,2,8.6,3.5,1.7,0.7,10.47,16,1.9,-0.1,4,39,0.552,0.512
j2,"Jackson, Al",31,L,1967,STL,39,11,9,4,0.692,1,1,107,117,61,47,29,5,43,3.95,13,1,7,1,0,2,1.48,9.8,3.6,2.4,0.6,12.36,-19,-2.2,-0.4,-1.5,-9,0.443,0.487
j2,"Jackson, Al",32,L,1968,NYM,25,9,3,7,0.3,0,3,92.2,88,42,38,17,6,59,3.69,7,3,5,2,0,0,3.47,8.5,5.7,1.7,0.5,10.44,-8,-1,-0.2,-0.3,0,0.459,0.494
j2,"Jackson, Al",33,L,1969,CIN,42,0,1,0,1,0,3,38.1,45,30,29,21,3,26,6.81,8,3,6,4,0,0,1.24,10.6,6.1,4.9,1.4,16.54,-4,-0.4,-0.1,-0.4,-2,0.472,0.497
j11,"Jackson, Danny",20,L,1982,KCR-min,27,27,17,3,0.85,6,0,194.1,158,67,54,81,2,136,2.5,0,0,10,4,1,5,1.68,7.3,6.3,3.8,0.5,11.27,,,,,,,
j11,"Jackson, Danny",21,L,1983,KCR-min,23,22,7,8,0.467,5,0,136,126,74,60,73,2,93,3.97,1,0,14,4,0,2,1.27,8.3,6.2,4.8,0.9,13.43,,,,,,,
j11,"Jackson, Danny",21,L,1983,KCR,4,3,1,1,0.5,0,0,19,26,12,11,6,0,9,5.21,0,0,1,0,0,0,1.5,12.3,4.3,2.8,0.5,15.16,-2,-0.2,0,-0.1,-1,0.44,0.499
