PID,NAME,AGE,T,YR,TM,G,GS,W,L,WLP,CG,ShO,IP,H,R,ER,TBB,IBB,SO,ERA,GF,SV,HR,HB,BK,WP,SO/BB,H/9,SO/9,BB/9,HR/9,BR/9,RAA,WAA,WAAadj,WAR,RAR,waaWL%,162WL%
k1,"Kaat, Jim",18,L,1957,WSH-min,14,11,5,6,0.455,,,73,65,45,30,35,,,3.7,,,5,,,,,8,,4.3,0.6,,,,,,,,
k1,"Kaat, Jim",19,L,1958,WSH-min,39,30,16,9,0.64,15,,223,189,108,74,118,,245,2.99,,,8,9,1,4,2.08,7.6,9.9,4.8,0.3,12.75,,,,,,,
k1,"Kaat, Jim",20,L,1959,WSH-min,24,19,8,8,0.5,7,,134,126,71,61,73,4,132,4.1,,,8,8,0,6,1.81,8.5,8.9,4.9,0.5,13.9,,,,,,,
k1,"Kaat, Jim",20,L,1959,WSH,3,2,0,2,0,0,0,5,7,9,7,4,0,2,12.6,0,0,1,2,0,0,0.5,12.6,3.6,7.2,1.8,23.4,-6,-0.5,0,-0.4,-6,0.319,0.497
k1,"Kaat, Jim",21,L,1960,WSH-min,30,20,7,10,0.412,10,,146,154,80,62,51,3,106,3.82,,,6,9,1,9,2.08,9.5,6.5,3.1,0.4,13.19,,,,,,,
k1,"Kaat, Jim",21,L,1960,WSH,13,9,1,5,0.167,0,0,50,48,39,31,31,2,25,5.58,2,0,8,5,0,2,0.81,8.6,4.5,5.6,1.4,15.12,-12,-1.2,0,-0.7,-8,0.41,0.493
k1,"Kaat, Jim",22,L,1961,MIN,36,29,9,17,0.346,8,0,200.2,188,105,87,82,1,122,3.9,3,0,12,11,1,10,1.49,8.4,5.5,3.7,0.5,12.63,6,0.6,-0.1,2.2,22,0.517,0.504
k1,"Kaat, Jim",23,L,1962,MIN,39,35,18,14,0.563,16,1,269,243,106,94,75,5,173,3.14,2,1,23,18,0,13,2.31,8.1,5.8,2.5,0.8,11.24,29,3.2,-0.1,5.4,48,0.583,0.52
k1,"Kaat, Jim",24,L,1963,MIN,31,27,10,10,0.5,7,1,178.1,195,96,83,38,1,105,4.19,1,1,24,9,0,6,2.76,9.8,5.3,1.9,1.2,12.23,-18,-1.9,-0.1,-0.5,-7,0.438,0.488
k1,"Kaat, Jim",25,L,1964,MIN,36,34,17,11,0.607,13,0,243,231,100,87,60,5,171,3.22,1,0,23,9,1,13,2.85,8.6,6.3,2.2,0.9,11.11,10,1.1,-0.1,3,24,0.532,0.507
k1,"Kaat, Jim",26,L,1965,MIN,45,42,18,11,0.621,7,2,264.1,267,121,83,63,6,154,2.83,2,2,25,5,0,3,2.44,9.1,5.2,2.1,0.9,11.42,-15,-1.7,-0.1,0.4,3,0.462,0.49
k1,"Kaat, Jim",27,L,1966,MIN,41,41,25,13,0.658,19,0,304.2,271,114,93,55,4,205,2.75,0,0,29,3,0,12,3.73,8,6.1,1.6,0.9,9.73,17,2,-0.1,4.5,36,0.548,0.512
k1,"Kaat, Jim",28,L,1967,MIN,42,38,16,13,0.552,13,0,263.1,269,110,89,42,2,211,3.04,1,0,21,9,1,9,5.02,9.2,7.2,1.4,0.7,10.95,15,1.9,-0.1,4.1,30,0.544,0.511
k1,"Kaat, Jim",29,L,1968,MIN,30,29,14,12,0.538,9,0,208,192,78,68,40,0,130,2.94,0,0,16,3,0,5,3.25,8.3,5.6,1.7,0.7,10.17,12,1.5,-0.1,3.3,24,0.55,0.509
k1,"Kaat, Jim",30,L,1969,MIN,40,32,14,13,0.519,10,1,242.1,252,114,94,75,15,139,3.49,4,1,23,9,0,9,1.85,9.4,5.2,2.8,0.9,12.49,-6,-0.6,-0.2,1.4,14,0.484,0.496
k1,"Kaat, Jim",31,L,1970,MIN,45,34,14,10,0.583,4,0,230.1,244,110,91,58,8,120,3.56,3,0,26,3,0,11,2.07,9.5,4.7,2.3,1,11.93,-8,-0.9,-0.1,1.2,10,0.481,0.495
k1,"Kaat, Jim",32,L,1971,MIN,39,38,13,14,0.481,15,0,260.1,275,104,96,47,9,137,3.32,0,0,16,6,0,8,2.91,9.5,4.7,1.6,0.6,11.35,16,2,-0.1,4.3,38,0.55,0.512
