PID,NAME,AGE,T,YR,TM,G,GS,W,L,WLP,CG,ShO,IP,H,R,ER,TBB,IBB,SO,ERA,GF,SV,HR,HB,BK,WP,SO/BB,H/9,SO/9,BB/9,HR/9,BR/9,RAA,WAA,WAAadj,WAR,RAR,waaWL%,162WL%
l4,"Labine, Clem",17,R,1944,BRO-min,12,,2,4,0.333,,,56,62,35,26,28,,,4.18,,,,,,,,10,,4.5,,,,,,,,,
l4,"Labine, Clem",19,R,1946,BRO-min,3,,1,0,1,,,14,16,5,4,3,,,2.57,,,,,,,,10.3,,1.9,,,,,,,,,
l4,"Labine, Clem",20,R,1947,BRO-min,26,,7,4,0.636,,,103,132,83,60,41,,,5.24,,,,,,,,11.5,,3.6,,,,,,,,,
l4,"Labine, Clem",21,R,1948,BRO-min,40,,13,10,0.565,,,196,215,120,94,86,,,4.32,,,,,,,,9.9,,3.9,,,,,,,,,
l4,"Labine, Clem",22,R,1949,BRO-min,64,,12,6,0.667,0,,139,124,59,54,88,,70,3.5,,,,6,0,5,0.8,8,4.5,5.7,,14.12,,,,,,,
l4,"Labine, Clem",23,R,1950,BRO-min,37,13,11,7,0.611,6,,128,139,76,71,64,,64,4.99,,,,7,0,6,1,9.8,4.5,4.5,,14.77,,,,,,,
l4,"Labine, Clem",23,R,1950,BRO,1,0,0,0,,0,0,2,2,1,1,1,,0,4.5,1,0,0,0,0,0,0,9,0,4.5,0,13.5,0,0,0,0,0,0.496,0.5
l4,"Labine, Clem",24,R,1951,BRO-min,20,15,9,6,0.6,7,,117,104,38,34,42,,63,2.62,,,,4,1,4,1.5,8,4.8,3.2,,11.54,,,,,,,
l4,"Labine, Clem",24,R,1951,BRO,14,6,5,1,0.833,5,0,65.1,52,17,16,20,,39,2.2,3,0,4,0,0,0,1.95,7.2,5.4,2.8,0.6,9.95,13,1.4,-0.1,1.9,19,0.6,0.509
l4,"Labine, Clem",25,R,1952,BRO-min,2,,0,1,0,1,,14,11,9,8,11,,5,5.14,,,1,1,0,2,0.45,7.1,3.2,7.1,0.6,14.79,,,,,,,
l4,"Labine, Clem",25,R,1952,BRO,25,9,8,4,0.667,0,0,77,76,44,44,47,,43,5.14,8,0,3,1,0,4,0.91,8.9,5,5.5,0.4,14.49,-10,-1.1,-0.1,-0.4,-3,0.457,0.493
l4,"Labine, Clem",26,R,1953,BRO,37,7,11,6,0.647,0,7,110.1,92,39,34,30,,44,2.77,21,7,9,0,0,3,1.47,7.5,3.6,2.4,0.7,9.97,16,1.6,0,2.8,27,0.543,0.51
l4,"Labine, Clem",27,R,1954,BRO,47,2,7,6,0.538,0,4,108.1,101,60,50,56,,43,4.15,19,4,7,1,0,4,0.77,8.4,3.6,4.7,0.6,13.15,-5,-0.5,-0.3,0.4,7,0.49,0.497
l4,"Labine, Clem",28,R,1955,BRO,60,8,13,5,0.722,1,11,144.1,121,61,52,55,4,67,3.24,32,11,12,0,0,5,1.22,7.5,4.2,3.4,0.7,10.99,6,0.6,0,2.1,18,0.51,0.504
l4,"Labine, Clem",29,R,1956,BRO,62,3,10,6,0.625,1,19,115.2,111,48,43,39,8,75,3.35,47,19,11,3,0,5,1.92,8.6,5.8,3,0.9,11.95,6,0.7,0,2,16,0.511,0.504
l4,"Labine, Clem",30,R,1957,BRO,58,0,5,7,0.417,0,17,104.2,104,50,40,27,6,67,3.44,37,17,8,1,0,0,2.48,8.9,5.8,2.3,0.7,11.4,3,0.3,0,1.4,12,0.505,0.502
l4,"Labine, Clem",31,R,1958,LAD,52,2,6,6,0.5,0,14,104,112,55,48,33,8,43,4.15,35,14,8,1,0,3,1.3,9.7,3.7,2.9,0.7,12.63,2,0.2,-0.1,1.2,12,0.503,0.501
l4,"Labine, Clem",32,R,1959,LAD,56,0,5,10,0.333,0,8,84.2,91,39,37,25,10,37,3.93,33,8,11,1,0,0,1.48,9.7,3.9,2.7,1.2,12.51,5,0.5,-0.1,1.3,14,0.508,0.503
l4,"Labine, Clem",33,R,1960,PIT,42,0,3,4,0.429,0,6,66.2,74,29,27,31,10,42,3.65,21,6,3,1,0,1,1.35,10,5.7,4.2,0.4,14.41,1,0,-0.1,0.3,3,0.502,0.5
l4,"Labine, Clem",34,R,1961,PIT,56,1,4,1,0.8,0,8,92.2,102,43,38,31,8,49,3.69,28,8,4,2,0,2,1.58,9.9,4.8,3,0.4,13.18,2,0.2,-0.1,1.1,13,0.504,0.501
l4,"Labine, Clem",35,R,1962,NYM,3,0,0,0,,0,0,4,5,6,5,1,0,2,11.25,3,0,1,0,0,0,2,11.3,4.5,2.3,2.3,13.5,-4,-0.3,0.2,-0.1,-3,0.386,0.498
l6,"Lacey, Bob",18,L,1972,OAK-min,8,7,0,3,0,0,0,39,43,30,25,30,0,22,5.77,,0,6,0,2,4,0.73,9.9,5.1,6.9,1.4,16.85,,,,,,,
l6,"Lacey, Bob",19,L,1973,OAK-min,28,24,13,2,0.867,9,0,173,171,58,43,42,5,120,2.24,,0,5,3,1,2,2.86,8.9,6.2,2.2,0.3,11.24,,,,,,,
l6,"Lacey, Bob",20,L,1974,OAK-min,32,23,6,13,0.316,8,1,155,203,111,79,35,3,72,4.59,,1,13,2,3,3,2.06,11.8,4.2,2,0.8,13.94,,,,,,,
l6,"Lacey, Bob",21,L,1975,OAK-min,43,9,6,7,0.462,4,4,103,116,48,40,48,9,64,3.5,,4,6,0,2,4,1.33,10.1,5.6,4.2,0.5,14.33,,,,,,,
