PID,NAME,AGE,T,YR,TM,G,GS,W,L,WLP,CG,ShO,IP,H,R,ER,TBB,IBB,SO,ERA,GF,SV,HR,HB,BK,WP,SO/BB,H/9,SO/9,BB/9,HR/9,BR/9,RAA,WAA,WAAadj,WAR,RAR,waaWL%,162WL%
m0,"Maas, Duke",20,R,1949,None-min,29,,6,7,0.462,,,122,99,77,61,137,,,4.5,,,,,,,,7.3,,10.1,,,,,,,,,
m0,"Maas, Duke",21,R,1950,DET-min,30,19,12,7,0.632,,,157,138,93,78,108,,,4.47,,,,,,,,7.9,,6.2,,,,,,,,,
m0,"Maas, Duke",24,R,1953,DET-min,30,21,6,16,0.273,,,175,167,82,59,76,,,3.03,,,5,,,,,8.6,,3.9,0.3,,,,,,,,
m0,"Maas, Duke",25,R,1954,DET-min,34,27,18,7,0.72,19,,224,172,69,59,104,,167,2.37,,,8,3,0,5,1.61,6.9,6.7,4.2,0.3,11.21,,,,,,,
m0,"Maas, Duke",26,R,1955,DET-min,14,11,4,7,0.364,6,,71,65,34,30,21,,24,3.8,,,5,1,0,2,1.14,8.2,3,2.7,0.6,11.03,,,,,,,
m0,"Maas, Duke",26,R,1955,DET,18,16,5,6,0.455,5,0,86.2,91,52,47,50,3,42,4.88,1,0,7,2,0,2,0.84,9.5,4.4,5.2,0.7,14.93,-11,-1.1,0,-0.4,-3,0.437,0.493
m0,"Maas, Duke",27,R,1956,DET-min,11,9,6,3,0.667,6,,64,52,17,17,9,1,36,2.39,,,3,0,0,0,4,7.3,5.1,1.3,0.4,8.58,,,,,,,
m0,"Maas, Duke",27,R,1956,DET,26,7,0,7,0,0,0,63.1,81,51,46,32,3,34,6.54,10,0,9,6,0,1,1.06,11.5,4.8,4.5,1.3,16.97,-18,-1.7,0,-1.2,-12,0.433,0.489
m0,"Maas, Duke",28,R,1957,DET,45,26,10,14,0.417,8,6,219.1,210,92,80,65,7,116,3.28,13,6,23,4,0,1,1.78,8.6,4.8,2.7,0.9,11.46,10,1.1,0,3,26,0.525,0.507
m0,"Maas, Duke",29,R,1958,NYY,32,20,11,8,0.579,5,1,156.2,142,76,67,49,0,69,3.85,5,1,12,3,0,3,1.41,8.2,4,2.8,0.7,11.18,-6,-0.6,-0.1,0,1,0.474,0.497
m0,"Maas, Duke",30,R,1959,NYY,38,21,14,8,0.636,3,4,138,149,82,68,53,1,67,4.43,9,4,14,2,0,1,1.26,9.7,4.4,3.5,0.9,13.3,-16,-1.7,-0.2,-0.7,-6,0.456,0.49
m0,"Maas, Duke",31,R,1960,NYY,35,1,5,1,0.833,0,4,70.1,70,44,32,35,2,28,4.09,17,4,6,1,0,1,0.8,9,3.6,4.5,0.8,13.61,-18,-1.8,0,-1.2,-13,0.449,0.489
m0,"Maas, Duke",32,R,1961,NYY-min,9,5,0,4,0,,,27,36,27,23,3,,,7.67,,,6,,0,,,12,,1,2,,,,,,,,
m0,"Maas, Duke",32,R,1961,NYY,1,0,0,0,,0,0,0.1,2,2,2,0,0,0,54,0,0,0,0,0,0,,54,0,0,0,180,-2,-0.2,0,-0.1,-2,0.334,0.499
m2,"Mabe, Bob",20,R,1950,CHC-min,27,,10,10,0.5,,,151,119,84,62,116,,,3.7,,,,,,,,7.1,,6.9,,,,,,,,,
m2,"Mabe, Bob",21,R,1951,CHC-min,3,,1,0,1,,,9,17,13,11,13,,,11,,,,,,,,17,,13,,,,,,,,,
m2,"Mabe, Bob",23,R,1953,REI-min,19,12,4,7,0.364,,,103,106,52,46,54,,,4.02,,,7,,,,,9.3,,4.7,0.6,,,,,,,,
m2,"Mabe, Bob",24,R,1954,STL-min,28,24,12,8,0.6,14,,190,154,85,74,78,,135,3.51,,,7,3,0,2,1.73,7.3,6.4,3.7,0.3,11.13,,,,,,,
m2,"Mabe, Bob",25,R,1955,STL-min,34,21,16,10,0.615,15,,215,204,91,79,95,13,121,3.31,,,15,2,0,4,1.27,8.5,5.1,4,0.6,12.6,,,,,,,
m2,"Mabe, Bob",26,R,1956,STL-min,38,34,21,10,0.677,18,,264,240,99,83,89,3,195,2.83,,,18,2,1,3,2.19,8.2,6.6,3,0.6,11.28,,,,,,,
m2,"Mabe, Bob",27,R,1957,STL-min,38,31,14,17,0.452,15,,229,212,118,97,74,4,128,3.81,,,18,5,0,5,1.73,8.3,5,2.9,0.7,11.44,,,,,,,
m2,"Mabe, Bob",28,R,1958,STL-min,10,8,6,1,0.857,5,,60,46,15,14,21,0,54,2.1,,,3,1,0,1,2.57,6.9,8.1,3.2,0.4,10.2,,,,,,,
m2,"Mabe, Bob",28,R,1958,STL,31,13,3,9,0.25,4,0,111.2,113,66,56,41,6,74,4.51,4,0,11,4,0,7,1.8,9.1,6,3.3,0.9,12.79,-8,-0.9,0,0.3,3,0.472,0.495
m2,"Mabe, Bob",29,R,1959,CIN-min,22,18,7,7,0.5,6,,141,111,42,35,34,,102,2.23,,,6,1,0,7,3,7.1,6.5,2.2,0.4,9.32,,,,,,,
m2,"Mabe, Bob",29,R,1959,CIN,18,1,4,2,0.667,0,3,29.2,29,28,18,19,2,8,5.46,9,3,6,0,0,0,0.42,8.8,2.4,5.8,1.8,14.79,-13,-1.3,-0.3,-1.3,-10,0.428,0.492
m2,"Mabe, Bob",30,R,1960,WSH-BAL-min,5,2,2,0,1,,,14,18,5,5,5,,,3.21,,,1,,0,,,11.6,,3.2,0.6,,,,,,,,
m2,"Mabe, Bob",30,R,1960,BAL,2,0,0,0,,0,0,0.2,4,6,2,1,0,0,27,0,0,0,0,0,0,0,54,0,13.5,0,225,-6,-0.5,0.2,-0.2,-6,0.271,0.497
m3,"Mabeus, Chris",22,R,2001,OAK-min,20,8,2,5,0.286,0,2,62,75,34,31,18,0,28,4.5,6,2,3,0,1,3,1.56,10.9,4.1,2.6,0.4,13.5,,,,,,,
m3,"Mabeus, Chris",23,R,2002,OAK-min,37,1,3,1,0.75,0,1,84.2,97,39,38,32,4,69,4.04,7,1,3,0,1,6,2.16,10.3,7.3,3.4,0.3,13.79,,,,,,,
m3,"Mabeus, Chris",24,R,2003,OAK-min,50,0,3,3,0.5,0,15,62,56,26,19,15,2,70,2.76,41,15,2,0,0,2,4.67,8.1,10.2,2.2,0.3,10.31,,,,,,,
m3,"Mabeus, Chris",25,R,2004,OAK-min,58,0,11,2,0.846,0,15,73.2,68,23,22,14,2,88,2.69,35,15,6,1,2,4,6.29,8.3,10.8,1.7,0.7,10.2,,,,,,,
m3,"Mabeus, Chris",26,R,2005,OAK-min,42,0,9,2,0.818,0,1,62,61,31,29,24,5,72,4.21,18,1,4,2,0,3,3,8.9,10.5,3.5,0.6,12.63,,,,,,,
m3,"Mabeus, Chris",27,R,2006,OAK-MIL-min,36,1,2,3,0.4,0,0,48.1,44,34,29,35,3,41,5.4,14,0,3,1,1,4,1.17,8.2,7.6,6.5,0.6,14.97,,,,,,,
m3,"Mabeus, Chris",27,R,2006,MIL,1,0,0,0,,0,0,1.2,4,4,4,3,0,2,21.6,0,0,1,0,0,3,0.67,21.6,10.8,16.2,5.4,52.5,-3,-0.2,0.1,-0.1,-3,0.255,0.498
m5,"MacArthur, Mac",22,R,1884,MNE-min,2,2,1,1,0.5,2,,15,22,14,3,4,,8,1.8,,,,,,3,2,13.2,4.8,2.4,,,,,,,,,
m5,"MacArthur, Mac",22,R,1884,IND,6,6,1,5,0.167,6,0,52,57,49,29,21,,19,5.02,0,0,1,2,0,5,0.9,9.9,3.3,3.6,0.2,13.85,-15,-1.1,-0.1,-0.9,-13,0.309,0.493
m5,"MacArthur, Mac",23,R,1885,TOL-min,10,10,2,8,0.2,10,,82,82,73,21,39,,64,2.3,,,,6,,16,1.64,9,7,4.3,,13.94,,,,,,,
m5,"MacArthur, Mac",24,R,1886,HAM-min,16,16,5,10,0.333,16,,138.1,132,83,19,58,,80,1.24,,,,,,23,1.38,8.6,5.2,3.8,,,,,,,,,
m5,"MacArthur, Mac",25,R,1887,None-min,12,12,1,10,0.091,11,,96.1,196,135,57,54,,35,5.33,,,,4,,14,0.65,18.3,3.3,5,,23.79,,,,,,,
m5,"MacArthur, Mac",27,R,1889,DTR-min,1,0,0,0,,0,,3,1,0,0,3,,0,0,,,,0,,0,0,3,0,9,,12,,,,,,,
m6,"MacCormack, Frank",19,R,1974,DET-min,26,26,11,11,0.5,15,0,179,143,67,51,92,1,99,2.56,,0,3,3,1,6,1.08,7.2,5,4.6,0.2,11.97,,,,,,,
m6,"MacCormack, Frank",20,R,1975,DET-min,25,7,6,4,0.6,1,2,86,56,30,20,42,3,73,2.09,,2,5,2,0,8,1.74,5.9,7.6,4.4,0.5,10.47,,,,,,,
m6,"MacCormack, Frank",21,R,1976,DET-min,15,13,4,4,0.5,2,0,74,63,33,28,51,1,60,3.41,,0,3,4,1,9,1.18,7.7,7.3,6.2,0.4,14.35,,,,,,,
m6,"MacCormack, Frank",21,R,1976,DET,9,8,0,5,0,0,0,32.2,35,24,21,34,0,14,5.79,1,0,1,1,0,4,0.41,9.6,3.9,9.4,0.3,19.57,-6,-0.7,0,-0.3,-4,0.426,0.496
m6,"MacCormack, Frank",22,R,1977,SEA-CLE-min,11,9,3,3,0.5,0,0,27.2,26,38,32,58,0,28,10.41,,0,2,3,0,28,0.48,8.5,9.1,18.9,0.7,28.79,,,,,,,
m6,"MacCormack, Frank",22,R,1977,SEA,3,3,0,0,,0,0,7,4,3,3,12,0,4,3.86,0,0,0,3,1,4,0.33,5.1,5.1,15.4,0,24.43,1,0.2,0,0.2,2,0.551,0.501
m6,"MacCormack, Frank",23,R,1978,SEA-min,23,22,4,12,0.25,3,0,134,156,105,94,95,5,76,6.31,,0,11,5,0,9,0.8,10.5,5.1,6.4,0.7,17.19,,,,,,,
m6,"MacCormack, Frank",24,R,1979,DET-min,6,4,0,2,0,0,0,30,20,25,18,40,2,29,5.4,,0,1,1,0,11,0.73,6,8.7,12,0.3,18.3,,,,,,,
m7,"Macdonald, Bill",18,R,1947,DET-min,29,,12,9,0.571,,,185,199,139,102,114,,,4.96,,,,,,,,9.7,,5.5,,,,,,,,,
