PID,NAME,AGE,T,YR,TM,G,GS,W,L,WLP,CG,ShO,IP,H,R,ER,TBB,IBB,SO,ERA,GF,SV,HR,HB,BK,WP,SO/BB,H/9,SO/9,BB/9,HR/9,BR/9,RAA,WAA,WAAadj,WAR,RAR,waaWL%,162WL%
n0,"Nabholz, Chris",22,L,1989,MON-min,24,23,13,5,0.722,3,0,161.1,132,54,39,41,0,149,2.18,0,0,6,0,2,11,3.63,7.4,8.3,2.3,0.3,9.66,,,,,,,
n0,"Nabholz, Chris",23,L,1990,MON-min,21,21,7,8,0.467,0,0,137.2,128,66,59,55,0,121,3.86,0,0,13,1,1,9,2.2,8.4,7.9,3.6,0.8,12.07,,,,,,,
n0,"Nabholz, Chris",23,L,1990,MON,11,11,6,2,0.75,1,0,70,43,23,22,32,1,53,2.83,0,0,6,2,1,1,1.66,5.5,6.8,4.1,0.8,9.9,10,1.2,0,1.8,17,0.612,0.508
n0,"Nabholz, Chris",24,L,1991,MON-min,4,4,2,2,0.5,0,0,19.1,13,5,4,5,0,16,1.86,0,0,2,0,0,0,3.2,6.1,7.4,2.3,0.9,8.48,,,,,,,
n0,"Nabholz, Chris",24,L,1991,MON,24,24,8,7,0.533,1,0,153.2,134,66,62,57,4,99,3.63,0,0,5,2,1,3,1.74,7.8,5.8,3.3,0.3,11.34,5,0.6,-0.1,1.8,18,0.524,0.503
n0,"Nabholz, Chris",25,L,1992,MON,32,32,11,12,0.478,1,0,195,176,80,72,74,2,130,3.32,0,0,11,5,1,5,1.76,8.1,6,3.4,0.5,11.77,7,0.8,-0.1,2.3,21,0.526,0.505
n0,"Nabholz, Chris",26,L,1993,MON-min,5,5,1,1,0.5,0,0,26.2,24,15,13,7,0,20,4.39,0,0,1,0,0,0,2.86,8.1,6.8,2.4,0.3,10.65,,,,,,,
n0,"Nabholz, Chris",26,L,1993,MON,26,21,9,8,0.529,1,0,116.2,100,57,53,63,4,74,4.09,2,0,9,8,0,7,1.17,7.7,5.7,4.9,0.7,13.24,4,0.4,-0.1,1.4,16,0.516,0.503
n0,"Nabholz, Chris",27,L,1994,CLE-min,4,4,3,1,0.75,0,0,23.2,20,8,7,3,0,11,2.66,0,0,1,0,0,2,3.67,7.6,4.2,1.1,0.4,8.92,,,,,,,
n0,"Nabholz, Chris",27,L,1994,BOS,14,12,3,5,0.375,0,0,53,67,48,45,38,1,28,7.64,1,0,6,3,0,6,0.74,11.4,4.8,6.5,1,18.34,-7,-0.6,0,-0.4,-4,0.408,0.496
n0,"Nabholz, Chris",28,L,1995,CHC-min,6,5,0,2,0,0,0,19.2,27,17,14,12,0,16,6.41,0,0,3,3,0,3,1.33,12.4,7.3,5.5,1.4,19.69,,,,,,,
n0,"Nabholz, Chris",28,L,1995,CHC,34,0,0,1,0,0,0,23.1,22,15,14,14,3,21,5.4,4,0,4,0,0,2,1.5,8.5,8.1,5.4,1.5,14.03,-4,-0.4,-0.1,-0.3,-2,0.488,0.498
n1,"Nabors, Jack",27,R,1915,None-min,15,,12,1,0.923,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
n1,"Nabors, Jack",27,R,1915,PHA,10,7,0,5,0,2,0,54,58,46,33,35,,18,5.5,2,0,1,5,0,1,0.51,9.7,3,5.8,0.2,16.33,-19,-1.8,-0.1,-1.3,-15,0.318,0.489
n1,"Nabors, Jack",28,R,1916,PHA,40,30,1,20,0.048,11,1,212.2,206,110,82,95,,74,3.47,8,1,2,3,0,4,0.78,8.7,3.1,4,0.1,12.89,-12,-1.4,-0.2,0.6,6,0.466,0.492
n1,"Nabors, Jack",29,R,1917,None-min,36,,9,18,0.333,,,214,203,,,124,,,,,,,,,,,8.5,,5.2,,,,,,,,,
