PID,NAME,AGE,T,YR,TM,G,GS,W,L,WLP,CG,ShO,IP,H,R,ER,TBB,IBB,SO,ERA,GF,SV,HR,HB,BK,WP,SO/BB,H/9,SO/9,BB/9,HR/9,BR/9,RAA,WAA,WAAadj,WAR,RAR,waaWL%,162WL%
o2,"O'Brien, Bob",20,L,1969,LAD-min,22,15,11,3,0.786,10,4,120,73,31,22,49,2,186,1.65,,4,6,4,3,2,3.8,5.5,14,3.7,0.4,9.45,,,,,,,
o2,"O'Brien, Bob",21,L,1970,LAD-min,29,27,13,3,0.813,9,0,164,163,71,62,52,2,117,3.4,,0,13,3,0,7,2.25,8.9,6.4,2.9,0.7,11.96,,,,,,,
o2,"O'Brien, Bob",22,L,1971,LAD-min,10,10,3,5,0.375,2,0,51,68,40,36,22,2,25,6.35,,0,4,0,0,2,1.14,12,4.4,3.9,0.7,15.88,,,,,,,
o2,"O'Brien, Bob",22,L,1971,LAD,14,4,2,2,0.5,1,0,42,42,18,14,13,1,15,3,5,0,4,1,2,5,1.15,9,3.2,2.8,0.9,12,-1,-0.1,0,0.2,3,0.49,0.499
o2,"O'Brien, Bob",23,L,1972,BAL-min,42,6,5,9,0.357,2,0,84,94,54,42,42,4,45,4.5,,0,12,1,1,4,1.07,10.1,4.8,4.5,1.3,14.68,,,,,,,
o2,"O'Brien, Bob",24,L,1973,MIN-BAL-min,35,0,2,2,0.5,0,3,55,73,39,29,31,2,24,4.75,,3,5,2,1,3,0.77,11.9,3.9,5.1,0.8,17.35,,,,,,,
o2,"O'Brien, Bob",25,L,1974,LAD-min,6,0,0,1,0,0,0,18,22,20,17,15,0,6,8.5,,0,2,1,0,2,0.4,11,3,7.5,1,19,,,,,,,
o3,"O'Brien, Buck",27,R,1909,EVN-min,34,,18,11,0.621,,,272,196,93,,108,,,,,,,,,,,6.5,,3.6,,,,,,,,,
o3,"O'Brien, Buck",28,R,1910,HFD-min,38,,20,10,0.667,,,,212,83,,79,,,,,,,,,,,,,,,,,,,,,,
o3,"O'Brien, Buck",29,R,1911,DEN-min,37,,26,7,0.788,,,,,,,77,,,,,,,,,,,,,,,,,,,,,,
o3,"O'Brien, Buck",29,R,1911,BOS,6,5,5,1,0.833,5,0,47.2,30,9,2,21,,31,0.38,1,0,0,1,0,0,1.48,5.7,5.9,4,0,9.92,15,1.8,0,2.2,20,0.794,0.511
o3,"O'Brien, Buck",30,R,1912,BOS,37,34,20,13,0.606,25,0,275.2,237,107,79,90,,115,2.58,3,0,3,10,1,5,1.28,7.7,3.8,2.9,0.1,11.02,27,2.9,-0.3,5.4,54,0.579,0.518
o3,"O'Brien, Buck",31,R,1913,OLD-min,16,12,5,5,0.5,,,111,113,38,29,43,,,2.35,,,,,,,,9.2,,3.5,,,,,,,,,
o3,"O'Brien, Buck",31,R,1913,CHW,21,15,4,11,0.267,6,0,108.2,124,56,45,48,,58,3.73,4,0,0,0,0,1,1.21,10.3,4.8,4,0,14.31,-2,-0.1,-0.1,0.5,5,0.473,0.499
o3,"O'Brien, Buck",32,R,1914,MEM-min,14,,5,6,0.455,,,92,94,44,,30,,,,,,,,,,,9.2,,2.9,,,,,,,,,
o5,"O'Brien, Cinders",21,R,1888,CLE,30,30,11,19,0.367,30,0,259,245,162,95,99,,135,3.3,0,0,5,12,0,37,1.36,8.5,4.7,3.4,0.2,12.37,1,0.1,-0.3,1.3,19,0.503,0.501
o5,"O'Brien, Cinders",22,R,1889,CLV,41,41,22,17,0.564,39,0,346.2,345,216,160,167,,122,4.15,0,0,9,24,0,27,0.73,9,3.2,4.3,0.2,13.93,16,1.4,-0.3,4.3,55,0.534,0.509
o5,"O'Brien, Cinders",23,R,1890,CLE,25,25,8,16,0.333,22,0,206.1,229,171,78,93,,54,3.4,0,0,9,19,0,19,0.58,10,2.4,4.1,0.4,14.89,-11,-0.8,-0.2,0.3,8,0.466,0.495
o5,"O'Brien, Cinders",24,R,1891,BOS,40,30,18,13,0.581,22,2,268.2,300,197,109,127,,87,3.65,9,2,13,20,0,13,0.69,10,2.9,4.3,0.4,15,-36,-2.9,-0.3,-1.3,-14,0.428,0.482
o6,"O'Brien, Dan",22,R,1976,STL-min,24,23,11,7,0.611,6,0,153,147,74,55,43,5,99,3.24,,0,8,3,2,10,2.3,8.6,5.8,2.5,0.5,11.35,,,,,,,
o6,"O'Brien, Dan",23,R,1977,STL-min,29,23,9,11,0.45,6,1,156,160,64,61,59,3,123,3.52,,1,7,6,1,6,2.08,9.2,7.1,3.4,0.4,12.98,,,,,,,
o6,"O'Brien, Dan",24,R,1978,STL-min,29,23,16,4,0.8,7,1,173,144,70,57,94,6,131,2.97,,1,16,10,0,6,1.39,7.5,6.8,4.9,0.8,12.9,,,,,,,
