PID,NAME,AGE,T,YR,TM,G,GS,W,L,WLP,CG,ShO,IP,H,R,ER,TBB,IBB,SO,ERA,GF,SV,HR,HB,BK,WP,SO/BB,H/9,SO/9,BB/9,HR/9,BR/9,RAA,WAA,WAAadj,WAR,RAR,waaWL%,162WL%
p2,"Pacella, John",17,R,1974,NYM-min,12,8,1,7,0.125,0,0,43,48,31,24,32,2,19,5.02,,0,7,2,0,6,0.59,10,4,6.7,1.5,17.16,,,,,,,
p2,"Pacella, John",18,R,1975,NYM-min,19,18,9,8,0.529,8,0,132,124,71,56,58,2,73,3.82,,0,8,7,2,7,1.26,8.5,5,4,0.5,12.89,,,,,,,
p2,"Pacella, John",19,R,1976,NYM-min,26,26,12,11,0.522,9,0,185,151,97,67,83,2,119,3.26,,0,5,9,3,14,1.43,7.3,5.8,4,0.2,11.82,,,,,,,
p2,"Pacella, John",20,R,1977,NYM-min,28,28,10,9,0.526,5,0,166,175,97,74,93,3,95,4.01,,0,9,7,2,13,1.02,9.5,5.2,5,0.5,14.91,,,,,,,
p2,"Pacella, John",20,R,1977,NYM,3,0,0,0,,0,0,4,2,2,0,2,0,1,0,3,0,0,0,0,1,0.5,4.5,2.3,4.5,0,9,0,0,0,0,0,0.501,0.5
p2,"Pacella, John",21,R,1978,NYM-min,26,24,8,14,0.364,5,0,150,141,87,71,56,4,121,4.26,,0,14,2,1,6,2.16,8.5,7.3,3.4,0.8,11.94,,,,,,,
p2,"Pacella, John",22,R,1979,NYM-min,26,24,7,10,0.412,5,0,142,129,65,58,61,2,95,3.68,,0,4,6,1,4,1.56,8.2,6,3.9,0.3,12.42,,,,,,,
p2,"Pacella, John",22,R,1979,NYM,4,3,0,2,0,0,0,16.1,16,8,8,4,0,12,4.41,0,0,0,0,0,0,3,8.8,6.6,2.2,0,11.18,0,0,0,0.1,1,0.493,0.5
p2,"Pacella, John",23,R,1980,NYM,32,15,3,4,0.429,0,0,84,89,51,48,59,2,68,5.14,6,0,5,2,3,5,1.15,9.5,7.3,6.3,0.5,16.07,-13,-1.4,0.1,-0.5,-5,0.457,0.491
p2,"Pacella, John",24,R,1981,NYY-min,27,26,11,9,0.55,3,0,155,149,84,77,91,4,135,4.47,0,0,14,5,1,15,1.48,8.7,7.8,5.3,0.8,14.23,,,,,,,
p2,"Pacella, John",25,R,1982,NYY-min,6,0,0,2,0,0,1,5.1,6,9,4,12,1,2,6.75,2,1,1,1,0,1,0.17,10.1,3.4,20.2,1.7,33.53,,,,,,,
