PID,NAME,AGE,T,YR,TM,G,GS,W,L,WLP,CG,ShO,IP,H,R,ER,TBB,IBB,SO,ERA,GF,SV,HR,HB,BK,WP,SO/BB,H/9,SO/9,BB/9,HR/9,BR/9,RAA,WAA,WAAadj,WAR,RAR,waaWL%,162WL%
q0,"Quackenbush, Kevin",22,R,2011,SDP-min,35,0,2,1,0.667,0,18,42,25,3,3,12,0,71,0.64,32,18,0,0,0,1,5.92,5.4,15.2,2.6,0,7.93,,,,,,,
q0,"Quackenbush, Kevin",23,R,2012,SDP-min,63,0,3,2,0.6,0,33,68.2,46,12,9,25,0,86,1.18,56,33,2,0,0,4,3.44,6,11.3,3.3,0.3,9.37,,,,,,,
q0,"Quackenbush, Kevin",24,R,2013,SDP-min,57,0,10,2,0.833,0,17,65,49,18,12,29,2,84,1.66,34,17,1,5,1,0,2.9,6.8,11.6,4,0.1,11.49,,,,,,,
q0,"Quackenbush, Kevin",25,R,2014,SDP-min,13,0,0,0,,0,6,14.1,9,2,2,4,0,12,1.26,9,6,0,0,0,0,3,5.7,7.5,2.5,0,8.3,,,,,,,
q0,"Quackenbush, Kevin",25,R,2014,SDP,56,0,3,3,0.5,0,6,54.1,42,15,15,18,4,56,2.48,18,6,2,2,1,1,3.11,7,9.3,3,0.3,10.31,5,0.5,-0.1,1,9,0.509,0.503
q0,"Quackenbush, Kevin",26,R,2015,SDP-min,5,0,0,0,,0,2,6,3,1,1,1,0,9,1.5,3,2,0,0,0,0,9,4.5,13.5,1.5,0,6,,,,,,,
q0,"Quackenbush, Kevin",26,R,2015,SDP,1,0,0,0,,0,0,1.1,1,1,1,1,0,0,6.75,1,0,0,0,0,0,0,6.8,0,6.8,0,16.36,0,0,0,0,0,0.455,0.5
q1,"Qualls, Chad",22,R,2001,HOU-min,26,26,15,6,0.714,3,0,162,149,77,67,31,0,125,3.72,0,0,8,11,2,10,4.03,8.3,6.9,1.7,0.4,10.61,,,,,,,
q1,"Qualls, Chad",23,R,2002,HOU-min,29,29,6,13,0.316,0,0,163,174,92,79,67,3,142,4.36,0,0,9,9,4,3,2.12,9.6,7.8,3.7,0.5,13.8,,,,,,,
q1,"Qualls, Chad",24,R,2003,HOU-min,28,28,8,11,0.421,3,0,175.1,174,85,75,61,0,132,3.85,0,0,12,10,0,8,2.16,8.9,6.8,3.1,0.6,12.59,,,,,,,
