PID,NAME,AGE,T,YR,TM,G,GS,W,L,WLP,CG,ShO,IP,H,R,ER,TBB,IBB,SO,ERA,GF,SV,HR,HB,BK,WP,SO/BB,H/9,SO/9,BB/9,HR/9,BR/9,RAA,WAA,WAAadj,WAR,RAR,waaWL%,162WL%
r3,"Rabe, Charlie",20,L,1952,CIN-SLB-min,28,17,13,7,0.65,,,181,106,70,45,127,,,2.24,,,,,,,,5.3,,6.3,,,,,,,,,
r3,"Rabe, Charlie",23,L,1955,CIN-min,30,30,21,7,0.75,,,251,189,75,56,121,,,2.01,,,5,,,,,6.8,,4.3,0.2,,,,,,,,
r3,"Rabe, Charlie",24,L,1956,CIN-min,35,26,5,18,0.217,4,,171,188,104,91,82,,61,4.79,,,13,5,0,1,0.74,9.9,3.2,4.3,0.7,14.47,,,,,,,
r3,"Rabe, Charlie",25,L,1957,CIN-min,41,31,16,10,0.615,11,,238,237,102,89,101,,143,3.37,,,12,6,0,9,1.42,9,5.4,3.8,0.5,13.01,,,,,,,
r3,"Rabe, Charlie",25,L,1957,CIN,2,1,0,1,0,0,0,8.1,5,2,2,0,0,6,2.16,0,0,2,0,0,0,,5.4,6.5,0,2.2,5.56,2,0.2,0,0.3,3,0.621,0.501
r3,"Rabe, Charlie",26,L,1958,LAD-CIN-min,23,17,7,10,0.412,7,,115,112,55,43,35,6,55,3.37,,,10,2,0,1,1.57,8.8,4.3,2.7,0.8,11.66,,,,,,,
r3,"Rabe, Charlie",26,L,1958,CIN,9,1,0,3,0,0,0,18.2,25,10,9,9,0,10,4.34,1,0,3,0,0,0,1.11,12.1,4.8,4.3,1.4,16.81,0,0,0,0.2,2,0.502,0.5
r3,"Rabe, Charlie",27,L,1959,CIN-min,33,12,1,8,0.111,2,,107,103,68,62,54,2,80,5.21,,,8,6,0,7,1.48,8.7,6.7,4.5,0.7,13.71,,,,,,,
r3,"Rabe, Charlie",28,L,1960,CIN-min,34,22,13,11,0.542,11,,188,174,50,63,67,1,88,3.02,,,12,3,0,1,1.31,8.3,4.2,3.2,0.6,11.68,,,,,,,
r3,"Rabe, Charlie",29,L,1961,MAC-min,33,27,15,10,0.6,14,,231,219,101,82,61,2,135,3.19,,,16,2,0,2,2.21,8.5,5.3,2.4,0.6,10.99,,,,,,,
r3,"Rabe, Charlie",30,L,1962,CIN-TEX/NYM-min,31,19,9,12,0.429,9,,158,177,82,70,55,9,108,3.99,,,11,2,0,2,1.96,10.1,6.2,3.1,0.6,13.33,,,,,,,
r3,"Rabe, Charlie",31,L,1963,CIN-min,31,29,15,12,0.556,13,,221,207,73,57,43,4,152,2.32,,,12,3,4,3,3.53,8.4,6.2,1.8,0.5,10.3,,,,,,,
r7,"Rachunok, Steve",19,R,1936,DET-min,35,,12,10,0.545,,,182,165,108,81,95,,,4.01,,,,,,,,8.2,,4.7,,,,,,,,,
r7,"Rachunok, Steve",20,R,1937,DET-min,1,,0,0,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
r7,"Rachunok, Steve",21,R,1938,HEN-min,34,12,10,10,0.5,,,170,163,97,79,97,,,4.18,,,,,,,,8.6,,5.1,,,,,,,,,
r7,"Rachunok, Steve",22,R,1939,DET-min,29,,22,6,0.786,,,218,163,83,52,91,,,2.15,,,,,,,,6.7,,3.8,,,,,,,,,
r7,"Rachunok, Steve",23,R,1940,BRO-min,40,21,13,8,0.619,,,182,159,87,81,97,,,4.01,,,,,,,,7.9,,4.8,,,,,,,,,
r7,"Rachunok, Steve",23,R,1940,BRO,2,1,0,1,0,1,0,10,9,5,5,5,,10,4.5,1,0,0,0,0,0,2,8.1,9,4.5,0,12.6,0,0,0,0.1,1,0.525,0.5
r7,"Rachunok, Steve",24,R,1941,BRO-min,30,,7,7,0.5,5,,120,102,66,56,57,,53,4.2,,,,1,0,3,0.93,7.6,4,4.3,,12,,,,,,,
r7,"Rachunok, Steve",25,R,1942,INA-min,21,16,3,10,0.231,7,,114,124,73,54,55,,36,4.26,4,,,3,0,1,0.65,9.8,2.8,4.3,,14.37,,,,,,,
r9,"Raczka, Mike",21,L,1984,BAL-min,8,7,1,5,0.167,0,0,36.2,44,35,33,35,1,36,8.1,0,0,7,0,1,3,1.03,10.8,8.8,8.6,1.7,19.64,,,,,,,
r9,"Raczka, Mike",22,L,1985,BAL-min,35,6,3,2,0.6,1,3,97.2,101,55,36,48,0,93,3.32,10,3,4,6,1,12,1.94,9.3,8.6,4.4,0.4,14.35,,,,,,,
