PID,NAME,AGE,T,YR,TM,G,GS,W,L,WLP,CG,ShO,IP,H,R,ER,TBB,IBB,SO,ERA,GF,SV,HR,HB,BK,WP,SO/BB,H/9,SO/9,BB/9,HR/9,BR/9,RAA,WAA,WAAadj,WAR,RAR,waaWL%,162WL%
s0,"Saarloos, Kirk",22,R,2001,HOU-min,22,0,1,1,0.5,0,11,30.2,18,5,4,7,0,40,1.17,19,11,1,1,0,2,5.71,5.3,11.7,2.1,0.3,7.75,,,,,,,
s0,"Saarloos, Kirk",23,R,2002,HOU-min,17,15,12,1,0.923,1,0,99.1,60,21,17,23,0,101,1.54,2,0,2,9,0,1,4.39,5.4,9.2,2.1,0.2,8.36,,,,,,,
s0,"Saarloos, Kirk",23,R,2002,HOU,17,17,6,7,0.462,1,0,85.1,100,59,57,27,5,54,6.01,0,0,12,6,0,1,2,10.5,5.7,2.8,1.3,14.07,-12,-1.2,0,-0.5,-4,0.431,0.493
s0,"Saarloos, Kirk",24,R,2003,HOU-min,13,7,5,0,1,2,0,61.1,54,22,21,11,1,34,3.08,1,0,4,3,0,0,3.09,7.9,5,1.6,0.6,10.02,,,,,,,
s0,"Saarloos, Kirk",24,R,2003,HOU,36,4,2,1,0.667,0,0,49.1,55,31,27,17,3,43,4.93,11,0,4,3,0,0,2.53,10,7.8,3.1,0.7,13.75,-8,-0.8,0,-0.3,-3,0.478,0.495
s0,"Saarloos, Kirk",25,R,2004,HOU-OAK-min,7,7,2,2,0.5,0,0,27.1,36,23,20,10,0,23,6.59,0,0,5,1,0,0,2.3,11.9,7.6,3.3,1.6,15.61,,,,,,,
s0,"Saarloos, Kirk",25,R,2004,OAK,6,5,2,1,0.667,0,0,24.1,27,13,12,12,0,10,4.44,1,0,4,2,0,0,0.83,10,3.7,4.4,1.5,15.31,1,0.1,0,0.3,4,0.518,0.501
s0,"Saarloos, Kirk",26,R,2005,OAK,29,27,10,9,0.526,2,0,159.2,170,75,74,54,8,53,4.17,0,0,11,11,0,1,0.98,9.6,3,3,0.6,13.29,7,0.7,-0.1,2.3,26,0.525,0.505
s0,"Saarloos, Kirk",27,R,2006,OAK,35,16,7,7,0.5,0,2,121.1,149,70,64,53,3,52,4.75,7,2,19,3,0,3,0.98,11.1,3.9,3.9,1.4,15.24,-4,-0.4,-0.1,0.7,11,0.488,0.498
s0,"Saarloos, Kirk",28,R,2007,CIN-min,18,5,0,2,0,0,0,41,47,19,18,9,0,28,3.95,5,0,3,0,0,0,3.11,10.3,6.1,2,0.7,12.29,,,,,,,
