PID,NAME,AGE,T,YR,TM,G,GS,W,L,WLP,CG,ShO,IP,H,R,ER,TBB,IBB,SO,ERA,GF,SV,HR,HB,BK,WP,SO/BB,H/9,SO/9,BB/9,HR/9,BR/9,RAA,WAA,WAAadj,WAR,RAR,waaWL%,162WL%
t0,"Tabaka, Jeff",22,L,1986,MON-min,13,9,2,4,0.333,0,0,52.1,51,31,25,34,1,57,4.3,3,0,5,1,0,5,1.68,8.8,9.8,5.8,0.9,14.86,,,,,,,
t0,"Tabaka, Jeff",23,L,1987,MON-min,28,15,8,6,0.571,0,5,95,90,46,44,58,3,71,4.17,8,5,3,3,0,6,1.22,8.5,6.7,5.5,0.3,14.31,,,,,,,
t0,"Tabaka, Jeff",24,L,1988,MON-min,18,18,8,5,0.615,2,0,106,85,46,26,39,1,59,2.21,0,0,1,1,1,8,1.51,7.2,5,3.3,0.1,10.61,,,,,,,
t0,"Tabaka, Jeff",25,L,1989,PHI-min,27,23,8,11,0.421,6,0,132,141,85,74,77,3,95,5.05,1,0,10,6,1,10,1.23,9.6,6.5,5.2,0.7,15.27,,,,,,,
t0,"Tabaka, Jeff",26,L,1990,PHI-min,8,5,5,2,0.714,0,0,35.2,39,17,12,18,0,23,3.03,1,0,1,0,1,2,1.28,9.8,5.8,4.5,0.3,14.57,,,,,,,
t0,"Tabaka, Jeff",27,L,1991,PHI-MIL-min,25,24,4,10,0.286,1,0,125.2,136,76,71,94,2,87,5.08,0,0,9,4,0,13,0.93,9.7,6.2,6.7,0.6,16.82,,,,,,,
t0,"Tabaka, Jeff",28,L,1992,MIL-min,50,0,9,5,0.643,0,10,82,67,23,23,38,1,75,2.52,23,10,1,4,0,5,1.97,7.4,8.2,4.2,0.1,11.96,,,,,,,
t0,"Tabaka, Jeff",29,L,1993,MIL-min,53,0,6,6,0.5,0,1,58.1,50,26,21,30,2,63,3.24,22,1,3,3,1,7,2.1,7.7,9.7,4.6,0.5,12.86,,,,,,,
t0,"Tabaka, Jeff",30,L,1994,PIT-min,9,0,1,0,1,0,1,5.1,3,2,2,4,0,4,3.38,5,1,0,0,0,0,1,5.1,6.8,6.8,0,12.35,,,,,,,
t0,"Tabaka, Jeff",30,L,1994,SDP,39,0,3,1,0.75,0,1,41,32,29,24,27,3,32,5.27,10,1,1,0,0,1,1.19,7,7,5.9,0.2,12.95,-1,-0.1,-0.1,0.2,2,0.486,0.5
t0,"Tabaka, Jeff",31,L,1995,SDP-min,19,0,0,1,0,0,6,22.2,16,6,5,14,3,27,1.99,12,6,0,1,0,2,1.93,6.4,10.7,5.6,0,12.57,,,,,,,
t0,"Tabaka, Jeff",31,L,1995,HOU,34,0,1,0,1,0,0,30.2,27,11,11,17,1,25,3.23,6,0,2,0,0,1,1.47,7.9,7.3,5,0.6,13.11,4,0.4,0,0.6,6,0.514,0.502
t0,"Tabaka, Jeff",32,L,1996,HOU-min,41,0,6,2,0.75,0,4,43,40,16,14,21,5,51,2.93,16,4,2,1,0,2,2.43,8.4,10.7,4.4,0.4,12.98,,,,,,,
t0,"Tabaka, Jeff",32,L,1996,HOU,18,0,0,2,0,0,1,20.1,28,18,15,14,0,18,6.64,5,1,5,3,0,3,1.29,12.4,8,6.2,2.2,20.15,-9,-0.9,0,-0.7,-7,0.453,0.495
t0,"Tabaka, Jeff",33,L,1997,CIN-min,58,0,3,2,0.6,0,3,57.2,44,19,17,19,3,68,2.65,23,3,5,1,0,8,3.58,6.9,10.6,3,0.8,10.07,,,,,,,
t0,"Tabaka, Jeff",33,L,1997,CIN,3,0,0,0,,0,0,2,1,1,1,1,0,1,4.5,1,0,1,2,0,0,1,4.5,4.5,4.5,4.5,18,0,0,0,0,0,0.5,0.5
t0,"Tabaka, Jeff",34,L,1998,PIT-min,4,0,0,1,0,0,0,4.2,9,4,4,0,0,4,7.71,2,0,0,1,0,0,,17.4,7.7,0,0,21.43,,,,,,,
t0,"Tabaka, Jeff",34,L,1998,PIT,37,0,2,2,0.5,0,0,50.2,37,19,17,22,4,40,3.02,9,0,6,5,0,1,1.82,6.6,7.1,3.9,1.1,11.47,7,0.7,-0.2,0.9,11,0.519,0.504
t0,"Tabaka, Jeff",36,L,2000,COL-min,31,0,0,2,0,0,0,31.2,37,21,21,10,0,33,5.97,12,0,3,1,0,5,3.3,10.5,9.4,2.8,0.9,13.85,,,,,,,
t0,"Tabaka, Jeff",37,L,2001,STL-min,32,0,0,2,0,0,2,27.2,24,10,8,10,2,23,2.6,14,2,2,0,0,1,2.3,7.8,7.5,3.3,0.7,11.25,,,,,,,
t0,"Tabaka, Jeff",37,L,2001,STL,8,0,0,0,,0,0,3.2,6,3,3,1,0,3,7.36,0,0,1,0,0,0,3,14.7,7.4,2.5,2.5,19.69,-1,-0.1,0,-0.1,-1,0.489,0.499
t0,"Tabaka, Jeff",38,L,2002,NWK-min,27,0,2,4,0.333,0,8,30,27,11,9,8,2,30,2.7,25,8,1,0,0,0,3.75,8.1,9,2.4,0.3,10.5,,,,,,,
