PID,NAME,AGE,T,YR,TM,G,GS,W,L,WLP,CG,ShO,IP,H,R,ER,TBB,IBB,SO,ERA,GF,SV,HR,HB,BK,WP,SO/BB,H/9,SO/9,BB/9,HR/9,BR/9,RAA,WAA,WAAadj,WAR,RAR,waaWL%,162WL%
u0,"Uchrinscko, Jimmy",25,R,1926,WSH,3,0,0,0,,0,0,8,13,9,9,8,,0,10.13,2,0,0,0,0,0,0,14.6,0,9,0,23.63,-5,-0.4,0,-0.3,-4,0.359,0.497
u2,"Uehara, Koji",24,R,1999,None-min,25,25,20,4,0.833,12,0,197.2,153,49,46,24,3,179,2.09,0,0,12,4,0,3,7.46,7,8.2,1.1,0.5,8.26,,,,,,,
u2,"Uehara, Koji",25,R,2000,None-min,20,20,9,7,0.563,6,0,131,112,53,52,22,1,126,3.57,0,0,20,1,0,1,5.73,7.7,8.7,1.5,1.4,9.27,,,,,,,
u2,"Uehara, Koji",26,R,2001,None-min,24,22,10,7,0.588,4,0,138.2,133,66,62,28,3,108,4.02,0,0,18,5,0,2,3.86,8.6,7,1.8,1.2,10.81,,,,,,,
u2,"Uehara, Koji",27,R,2002,None-min,26,26,17,5,0.773,8,0,204,173,65,59,23,3,182,2.6,0,0,18,6,0,2,7.91,7.6,8,1,0.8,8.91,,,,,,,
u2,"Uehara, Koji",28,R,2003,None-min,27,27,16,5,0.762,11,0,207.1,190,76,73,23,3,194,3.17,0,0,28,5,0,0,8.43,8.2,8.4,1,1.2,9.47,,,,,,,
u2,"Uehara, Koji",29,R,2004,None-min,22,22,13,5,0.722,2,0,163,135,54,47,23,0,153,2.6,0,0,24,5,0,1,6.65,7.5,8.4,1.3,1.3,9,,,,,,,
u2,"Uehara, Koji",30,R,2005,None-min,27,27,9,12,0.429,6,0,187.1,164,73,69,22,0,145,3.31,0,0,24,0,1,0,6.59,7.9,7,1.1,1.2,8.95,,,,,,,
u2,"Uehara, Koji",31,R,2006,None-min,24,24,8,9,0.471,5,0,168.1,157,67,60,21,3,151,3.21,0,0,24,1,1,0,7.19,8.4,8.1,1.1,1.3,9.58,,,,,,,
u2,"Uehara, Koji",32,R,2007,None-min,55,0,4,3,0.571,0,32,62,47,12,12,4,1,66,1.74,,32,4,1,0,1,16.5,6.8,9.6,0.6,0.6,7.55,,,,,,,
u2,"Uehara, Koji",33,R,2008,None-min,26,12,6,5,0.545,2,1,89.2,90,43,38,16,1,72,3.81,,1,11,0,0,0,4.5,9,7.2,1.6,1.1,10.7,,,,,,,
