PID,NAME,AGE,T,YR,TM,G,GS,W,L,WLP,CG,ShO,IP,H,R,ER,TBB,IBB,SO,ERA,GF,SV,HR,HB,BK,WP,SO/BB,H/9,SO/9,BB/9,HR/9,BR/9,RAA,WAA,WAAadj,WAR,RAR,waaWL%,162WL%
v2,"Vail, Bob",24,R,1906,LYN-min,30,,15,9,0.625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v2,"Vail, Bob",25,R,1907,None-min,18,,4,10,0.286,,,136,104,58,,52,,,,,,,,,,,6.9,,3.4,,,,,,,,,
v2,"Vail, Bob",26,R,1908,PTH-min,34,,15,12,0.556,,,,,,,69,,,,,,,,,,,,,,,,,,,,,,
v2,"Vail, Bob",26,R,1908,PIT,4,1,1,2,0.333,0,0,15,15,10,10,7,,9,6,3,0,0,1,0,1,1.29,9,5.4,4.2,0,13.8,-5,-0.5,0,-0.4,-4,0.364,0.497
v2,"Vail, Bob",27,R,1909,None-min,17,,5,11,0.313,,,133,109,63,,41,,,,,,,,,,,7.4,,2.8,,,,,,,,,
v2,"Vail, Bob",28,R,1910,PTH-min,28,,11,13,0.458,,,223,173,93,,71,,,,,,,,,,,7,,2.9,,,,,,,,,
v2,"Vail, Bob",29,R,1911,NFK-min,9,,6,3,0.667,,,78,72,33,,26,,,,,,,,,,,8.3,,3,,,,,,,,,
v2,"Vail, Bob",30,R,1912,RMD-min,2,,2,0,1,,,15,6,1,,5,,,,,,,,,,,3.6,,3,,,,,,,,,
v7,"Valdes, Marc",21,R,1993,FLA-min,3,3,0,2,0,0,0,9.2,8,9,6,7,0,15,5.59,0,0,0,3,0,0,2.14,7.4,14,6.5,0,17.61,,,,,,,
v7,"Valdes, Marc",22,R,1994,FLA-min,26,26,15,8,0.652,2,0,175.1,139,61,53,60,1,138,2.72,0,0,8,16,3,7,2.3,7.1,7.1,3.1,0.4,11.05,,,,,,,
v7,"Valdes, Marc",23,R,1995,FLA-min,27,27,9,13,0.409,3,0,170.1,189,98,92,59,1,104,4.86,0,0,19,12,1,2,1.76,10,5.5,3.1,1,13.76,,,,,,,
v7,"Valdes, Marc",23,R,1995,FLA,3,3,0,0,,0,0,7,17,13,11,9,0,2,14.14,0,0,1,1,0,1,0.22,21.9,2.6,11.6,1.3,34.71,-9,-0.7,0,-0.6,-8,0.264,0.496
v7,"Valdes, Marc",24,R,1996,FLA-min,18,18,8,6,0.571,2,0,115.1,126,57,48,27,3,73,3.75,0,0,15,9,0,5,2.7,9.8,5.7,2.1,1.2,12.67,,,,,,,
v7,"Valdes, Marc",24,R,1996,FLA,11,8,1,3,0.25,0,0,48.2,63,32,26,23,0,13,4.81,0,0,5,1,2,3,0.57,11.7,2.4,4.3,0.9,16.24,-9,-0.8,0,-0.4,-5,0.424,0.495
v7,"Valdes, Marc",25,R,1997,MON,48,7,4,4,0.5,0,2,95,84,36,33,39,5,54,3.13,9,2,2,8,0,2,1.38,8,5.1,3.7,0.2,12.41,10,1,-0.2,1.6,18,0.521,0.506
v7,"Valdes, Marc",26,R,1998,MON,20,4,1,3,0.25,0,0,36.1,41,34,30,21,2,28,7.43,3,0,6,1,0,4,1.33,10.2,6.9,5.2,1.5,15.71,-15,-1.5,0.1,-1,-12,0.426,0.491
v7,"Valdes, Marc",27,R,1999,TBD-min,11,11,1,3,0.25,0,0,47.2,46,30,28,14,0,28,5.29,0,0,5,6,0,0,2,8.7,5.3,2.6,0.9,12.58,,,,,,,
v7,"Valdes, Marc",28,R,2000,TBD-min,9,9,5,2,0.714,0,0,47.2,52,25,22,17,1,25,4.15,0,0,2,4,1,0,1.47,9.8,4.7,3.2,0.4,13.92,,,,,,,
v7,"Valdes, Marc",28,R,2000,HOU,53,0,5,5,0.5,0,2,56.2,69,41,32,25,1,35,5.08,20,2,3,5,0,1,1.4,11,5.6,4,0.5,15.85,-6,-0.6,-0.2,-0.2,-1,0.489,0.496
v7,"Valdes, Marc",29,R,2001,ATL-min,29,21,9,11,0.45,0,2,123.2,133,67,62,41,4,97,4.51,5,2,13,13,0,2,2.37,9.7,7.1,3,0.9,13.66,,,,,,,
v7,"Valdes, Marc",29,R,2001,ATL,9,0,1,0,1,0,0,7,7,6,6,1,1,3,7.71,3,0,4,0,0,0,3,9,3.9,1.3,5.1,10.29,-3,-0.3,0,-0.3,-2,0.468,0.498
v7,"Valdes, Marc",30,R,2002,None-min,42,0,4,3,0.571,0,22,52.2,40,11,9,17,3,39,1.54,38,22,1,2,2,1,2.29,6.8,6.7,2.9,0.2,10.17,,,,,,,
v7,"Valdes, Marc",31,R,2003,None-min,37,5,0,3,0,0,1,58.2,54,33,29,24,2,38,4.45,3,1,8,6,2,2,1.58,8.3,5.8,3.7,1.2,12.99,,,,,,,
v7,"Valdes, Marc",32,R,2004,None-min,30,0,1,1,0.5,0,1,25.2,28,12,10,8,1,17,3.51,8,1,2,4,0,0,2.13,9.8,6,2.8,0.7,14.29,,,,,,,
v7,"Valdes, Marc",33,R,2005,NYY-min,18,1,1,3,0.25,0,0,22.2,33,19,17,6,0,18,6.75,7,0,0,3,0,0,3,13.1,7.1,2.4,0,17.03,,,,,,,
v9,"Valdés, Raúl",19,L,1997,HAV-min,22,22,8,9,0.471,8,0,145.1,109,50,46,53,5,120,2.85,,0,3,9,,11,2.26,6.8,7.4,3.3,0.2,10.61,,,,,,,
v9,"Valdés, Raúl",20,L,1998,HAV-min,25,24,15,7,0.682,9,0,168,193,77,68,49,2,111,3.64,,0,6,5,,8,2.27,10.3,5.9,2.6,0.3,13.23,,,,,,,
v9,"Valdés, Raúl",21,L,1999,HAV-min,24,24,7,13,0.35,7,0,150.2,160,61,60,41,3,125,3.58,,0,5,10,,11,3.05,9.6,7.5,2.4,0.3,12.64,,,,,,,
v9,"Valdés, Raúl",22,L,2000,HAV-min,24,23,13,8,0.619,6,1,161.1,166,73,56,46,3,159,3.12,,1,10,12,,10,3.46,9.3,8.9,2.6,0.6,12.51,,,,,,,
v9,"Valdés, Raúl",23,L,2001,HAV-min,25,25,5,11,0.313,7,0,163,172,93,79,60,8,119,4.36,,0,12,9,,6,1.98,9.5,6.6,3.3,0.7,13.31,,,,,,,
v9,"Valdés, Raúl",27,L,2005,CHC-min,30,22,8,7,0.533,0,1,121.2,163,84,78,42,1,91,5.77,3,1,8,5,2,7,2.17,12.1,6.7,3.1,0.6,15.59,,,,,,,
v9,"Valdés, Raúl",28,L,2006,CHC-min,34,29,13,8,0.619,3,0,167.2,183,91,84,64,1,117,4.51,1,0,12,14,0,3,1.83,9.8,6.3,3.4,0.6,14.05,,,,,,,
v9,"Valdés, Raúl",29,L,2007,NYM-min,25,3,0,3,0,0,1,45,52,26,22,18,2,37,4.4,9,1,4,4,0,1,2.06,10.4,7.4,3.6,0.8,14.8,,,,,,,
v9,"Valdés, Raúl",30,L,2008,ESC-min,5,1,1,1,0.5,0,0,5.2,11,7,7,2,0,2,11.12,0,0,0,1,0,1,1,17.5,3.2,3.2,0,24.23,,,,,,,
v9,"Valdés, Raúl",31,L,2009,AZU-min,11,6,2,0,1,0,0,35.2,32,11,8,5,2,22,2.02,1,0,0,1,1,0,4.4,8.1,5.6,1.3,0,9.72,,,,,,,
v9,"Valdés, Raúl",32,L,2010,NYM-min,19,16,7,4,0.636,0,0,91,87,33,30,22,1,85,2.97,1,0,7,1,0,2,3.86,8.6,8.4,2.2,0.7,10.88,,,,,,,
v9,"Valdés, Raúl",32,L,2010,NYM,38,1,3,3,0.5,0,1,58.2,59,33,32,27,1,56,4.91,8,1,7,4,0,2,2.07,9.1,8.6,4.1,1.1,13.92,-7,-0.8,-0.1,-0.4,-2,0.48,0.495
v9,"Valdés, Raúl",33,L,2011,STL-NYY-min,43,16,11,6,0.647,0,0,115.2,120,65,61,20,1,118,4.75,6,0,15,4,0,5,5.9,9.3,9.2,1.6,1.2,11.25,,,,,,,
v9,"Valdés, Raúl",33,L,2011,NYY,13,0,0,1,0,0,0,12,14,4,4,6,2,15,3,3,0,1,1,0,0,2.5,10.5,11.3,4.5,0.8,15.75,0,0,0,0.2,2,0.512,0.5
v9,"Valdés, Raúl",34,L,2012,PHI-min,24,8,2,4,0.333,0,3,62,51,28,20,12,0,67,2.9,6,3,5,0,0,4,5.58,7.4,9.7,1.7,0.7,9.15,,,,,,,
v9,"Valdés, Raúl",34,L,2012,PHI,27,1,3,2,0.6,0,0,31,18,10,10,5,1,35,2.9,7,0,3,0,0,0,7,5.2,10.2,1.5,0.9,6.68,3,0.4,0,0.6,6,0.513,0.502
v9,"Valdés, Raúl",35,L,2013,PHI-min,22,22,6,7,0.462,0,0,122.1,111,43,40,27,1,100,2.94,0,0,10,2,0,4,3.7,8.2,7.4,2,0.7,10.32,,,,,,,
v9,"Valdés, Raúl",35,L,2013,PHI,17,1,1,1,0.5,0,0,35,42,29,29,8,0,37,7.46,7,0,7,2,0,1,4.63,10.8,9.5,2.1,1.8,13.37,-11,-1.1,0.3,-0.5,-8,0.434,0.493
v9,"Valdés, Raúl",36,L,2014,TOR-HOU-min,40,21,9,9,0.5,1,0,146.1,137,67,58,34,3,136,3.57,8,0,15,5,1,5,4,8.4,8.4,2.1,0.9,10.84,,,,,,,
v9,"Valdés, Raúl",36,L,2014,HOU,8,0,0,0,,0,1,3.2,5,5,5,3,0,4,12.27,2,1,2,0,0,0,1.33,12.3,9.8,7.4,4.9,22.5,-3,-0.3,-0.1,-0.4,-3,0.46,0.498
v9,"Valdés, Raúl",37,L,2015,None-min,5,5,0,1,0,0,0,34,25,7,6,7,0,30,1.59,0,0,1,0,0,1,4.29,6.6,7.9,1.9,0.3,8.47,,,,,,,
v10,"Valdés, René",23,R,1952,JRZ-min,35,27,19,8,0.704,,,234,253,137,121,110,,,4.65,,,,,,,,9.7,,4.2,,,,,,,,,
v10,"Valdés, René",24,R,1953,JRZ-min,45,30,19,15,0.559,,,275,281,136,99,98,,,3.24,,,9,,,,,9.2,,3.2,0.3,,,,,,,,
v10,"Valdés, René",25,R,1954,BRO-min,35,24,20,5,0.8,21,,233,213,88,69,95,,204,2.67,,,11,2,0,2,2.15,8.2,7.9,3.7,0.4,11.97,,,,,,,
v10,"Valdés, René",26,R,1955,BRO-min,49,12,10,9,0.526,8,,151,148,81,68,52,4,103,4.05,,,19,2,0,3,1.98,8.8,6.1,3.1,1.1,12.04,,,,,,,
v10,"Valdés, René",27,R,1956,BRO-min,41,35,22,11,0.667,18,,254.1,245,109,97,69,,148,3.43,,,22,3,1,1,2.14,8.7,5.2,2.4,0.8,11.23,,,,,,,
v10,"Valdés, René",28,R,1957,BRO-min,28,24,11,13,0.458,11,,182,150,62,58,45,,113,2.87,,,18,7,0,3,2.51,7.4,5.6,2.2,0.9,9.99,,,,,,,
v10,"Valdés, René",28,R,1957,BRO,5,1,1,1,0.5,0,0,13,13,8,8,7,1,10,5.54,0,0,1,0,0,1,1.43,9,6.9,4.8,0.7,13.85,-2,-0.2,0,-0.1,-1,0.461,0.499
v10,"Valdés, René",29,R,1958,LAD-min,45,28,15,14,0.517,10,,210,209,114,94,63,3,112,4.03,,,23,9,0,5,1.78,9,4.8,2.7,1,12.04,,,,,,,
v10,"Valdés, René",30,R,1959,LAD-min,38,25,11,8,0.579,10,,188,193,86,76,48,6,114,3.64,,,17,7,0,7,2.38,9.2,5.5,2.3,0.8,11.87,,,,,,,
v10,"Valdés, René",31,R,1960,LAD-min,48,29,11,17,0.393,13,,200,190,100,87,62,10,117,3.92,,,22,6,0,3,1.89,8.6,5.3,2.8,1,11.61,,,,,,,
v10,"Valdés, René",32,R,1961,LAD-min,46,18,14,11,0.56,8,,168,151,76,68,59,12,111,3.64,,,16,3,1,2,1.88,8.1,5.9,3.2,0.9,11.41,,,,,,,
v10,"Valdés, René",33,R,1962,MTY-min,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v10,"Valdés, René",34,R,1963,MTY-min,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v10,"Valdés, René",35,R,1964,YUC-min,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v14,"Valdéz, Carlos",19,R,1991,SFG-min,13,10,2,3,0.4,0,0,63.1,73,48,40,32,0,48,5.68,1,0,3,0,1,6,1.5,10.4,6.8,4.5,0.4,14.98,,,,,,,
v14,"Valdéz, Carlos",20,R,1992,SFG-min,9,0,3,2,0.6,0,0,21,11,4,1,12,0,20,0.43,5,0,0,2,0,2,1.67,4.7,8.6,5.1,0,10.71,,,,,,,
v14,"Valdéz, Carlos",21,R,1993,SFG-min,35,2,4,7,0.364,0,3,90.1,74,47,40,44,1,85,3.99,14,3,6,2,0,8,1.93,7.4,8.5,4.4,0.6,11.99,,,,,,,
v14,"Valdéz, Carlos",22,R,1994,SFG-min,36,17,8,6,0.571,0,0,123.2,109,70,62,61,0,116,4.51,10,0,7,12,0,6,1.9,7.9,8.4,4.4,0.5,13.3,,,,,,,
v14,"Valdéz, Carlos",23,R,1995,SFG-min,40,3,4,2,0.667,0,7,93.1,69,21,18,27,4,81,1.74,20,7,2,3,0,4,3,6.7,7.8,2.6,0.2,9.57,,,,,,,
v14,"Valdéz, Carlos",23,R,1995,SFG,11,0,0,1,0,0,0,14.2,19,10,10,8,1,7,6.14,3,0,1,1,1,1,0.88,11.7,4.3,4.9,0.6,17.75,-4,-0.4,0.1,-0.2,-2,0.465,0.498
v14,"Valdéz, Carlos",24,R,1996,SFG-min,44,0,4,3,0.571,0,5,59.2,63,38,33,34,5,38,4.98,17,5,4,4,1,6,1.12,9.5,5.7,5.1,0.6,15.35,,,,,,,
