PID,NAME,AGE,T,YR,TM,G,GS,W,L,WLP,CG,ShO,IP,H,R,ER,TBB,IBB,SO,ERA,GF,SV,HR,HB,BK,WP,SO/BB,H/9,SO/9,BB/9,HR/9,BR/9,RAA,WAA,WAAadj,WAR,RAR,waaWL%,162WL%
w0,"Wacha, Michael",20,R,2012,STL-min,11,2,0,0,,0,0,21,8,2,2,4,0,40,0.86,2,0,1,0,0,2,10,3.4,17.1,1.7,0.4,5.14,,,,,,,
w0,"Wacha, Michael",21,R,2013,STL-min,15,15,5,3,0.625,0,0,85,65,26,25,19,0,73,2.65,0,0,9,0,0,5,3.84,6.9,7.7,2,1,8.89,,,,,,,
w0,"Wacha, Michael",21,R,2013,STL,15,9,4,1,0.8,0,0,64.2,52,20,20,19,0,65,2.78,2,0,5,0,0,3,3.42,7.2,9,2.6,0.7,9.95,10,1.2,-0.1,1.7,15,0.581,0.508
w0,"Wacha, Michael",22,R,2014,STL-min,1,1,0,0,,0,0,2,1,0,0,1,0,1,0,0,0,0,0,0,0,1,4.5,4.5,4.5,0,9,,,,,,,
w0,"Wacha, Michael",22,R,2014,STL,19,19,5,6,0.455,0,0,107,95,41,38,33,0,94,3.2,0,0,6,5,0,2,2.85,8,7.9,2.8,0.5,11.19,5,0.5,-0.1,1.4,12,0.528,0.503
w0,"Wacha, Michael",23,R,2015,STL,3,3,3,0,1,0,0,20.1,15,3,3,4,0,12,1.33,0,0,2,0,0,1,3,6.6,5.3,1.8,0.9,8.51,5,0.6,0,0.8,6,0.705,0.504
w1,"Wachtel, Paul",24,R,1912,GBY-min,30,,14,14,0.5,,,226,188,102,,71,,,,,,,,,,,7.5,,2.8,,,,,,,,,
w1,"Wachtel, Paul",25,R,1913,MIF-min,36,,15,15,0.5,,,290,250,109,,67,,,,,,,,,,,7.8,,2.1,,,,,,,,,
w1,"Wachtel, Paul",26,R,1914,DAY-min,24,,11,9,0.55,,,178.1,177,97,,58,,,,,,,,,,,8.9,,2.9,,,,,,,,,
w1,"Wachtel, Paul",27,R,1915,DAY-min,30,,8,19,0.296,,,229,215,117,81,93,,,3.18,,,,,,,,8.4,,3.7,,,,,,,,,
w1,"Wachtel, Paul",28,R,1916,None-min,48,,14,14,0.5,,,269.1,254,124,80,108,,,2.67,,,,,,,,8.5,,3.6,,,,,,,,,
w1,"Wachtel, Paul",29,R,1917,MKG-min,34,,19,11,0.633,,,283,217,95,,95,,,,,,,,,,,6.9,,3,,,,,,,,,
w1,"Wachtel, Paul",29,R,1917,BRO,2,0,0,0,,0,0,6,9,7,7,4,,3,10.5,2,0,0,0,0,0,0.75,13.5,4.5,6,0,19.5,-5,-0.5,0,-0.4,-4,0.273,0.497
w1,"Wachtel, Paul",30,R,1918,FTW-min,10,,7,1,0.875,,,74,54,24,17,18,,,2.07,,,,,,,,6.6,,2.2,,,,,,,,,
w1,"Wachtel, Paul",31,R,1919,DET-min,38,,21,14,0.6,,,289,216,98,77,117,,,2.4,,,,,,,,6.7,,3.6,,,,,,,,,
w1,"Wachtel, Paul",32,R,1920,DET-min,38,,26,10,0.722,,,308,280,105,84,86,,,2.45,,,,,,,,8.2,,2.5,,,,,,,,,
w1,"Wachtel, Paul",33,R,1921,DET-min,44,,23,12,0.657,,,317,290,138,105,102,,,2.98,,,,,,,,8.2,,2.9,,,,,,,,,
w1,"Wachtel, Paul",34,R,1922,DET-min,43,,26,7,0.788,,,280,255,105,76,93,,,2.44,,,,,,,,8.2,,3,,,,,,,,,
w1,"Wachtel, Paul",35,R,1923,DET-min,40,,19,12,0.613,,,257,253,125,108,108,,,3.78,,,,,,,,8.9,,3.8,,,,,,,,,
w1,"Wachtel, Paul",36,R,1924,DET-min,38,,22,10,0.688,,,289,258,116,91,119,,,2.83,,,,,,,,8,,3.7,,,,,,,,,
w1,"Wachtel, Paul",37,R,1925,DET-min,38,,23,7,0.767,,,267,275,136,115,104,,,3.88,,,,,,,,9.3,,3.5,,,,,,,,,
w1,"Wachtel, Paul",39,R,1927,DET-min,34,,17,14,0.548,,,267,263,129,99,100,,,3.34,,,,,,,,8.9,,3.4,,,,,,,,,
w1,"Wachtel, Paul",40,R,1928,DET-min,35,,16,14,0.533,,,236,249,117,102,106,,,3.89,,,,,,,,9.5,,4,,,,,,,,,
w1,"Wachtel, Paul",41,R,1929,STL-min,35,,12,13,0.48,,,225,260,132,105,95,,,4.2,,,,,,,,10.4,,3.8,,,,,,,,,
w1,"Wachtel, Paul",42,R,1930,None-min,18,,3,9,0.25,,,106,122,84,61,76,,,5.18,,,,,,,,10.4,,6.5,,,,,,,,,
w2,"Wacker, Charlie",22,L,1906,EVN-min,38,,17,17,0.5,,,282,237,110,,81,,,,,,,,,,,7.6,,2.6,,,,,,,,,
w2,"Wacker, Charlie",24,L,1908,EVN-min,37,,27,8,0.771,,,21,224,76,,73,,,,,,,,,,,96,,31.3,,,,,,,,,
w2,"Wacker, Charlie",25,L,1909,MLW-min,25,,7,7,0.5,,,153,140,61,,36,,65,,,,,5,,2,1.81,8.2,3.8,2.1,,10.65,,,,,,,
w2,"Wacker, Charlie",25,L,1909,PIT,1,0,0,0,,0,0,2,2,2,0,1,,0,0,1,0,0,0,0,0,0,9,0,4.5,0,13.5,-1,-0.1,0,-0.1,-1,0.364,0.499
w2,"Wacker, Charlie",26,L,1910,DAY-min,28,,12,9,0.571,,,210,170,67,,60,,,,,,,,,,,7.3,,2.6,,,,,,,,,
w2,"Wacker, Charlie",27,L,1911,None-min,26,,13,13,0.5,,,203,210,103,,67,,,,,,,,,,,9.3,,3,,,,,,,,,
w3,"Wada, Tsuyoshi",22,L,2003,None-min,26,26,14,5,0.737,8,0,189,165,77,71,61,1,195,3.38,0,0,26,1,0,1,3.2,7.9,9.3,2.9,1.2,10.81,,,,,,,
w3,"Wada, Tsuyoshi",23,L,2004,None-min,19,18,10,6,0.625,7,0,128.1,110,67,62,38,0,115,4.35,1,0,23,3,0,2,3.03,7.7,8.1,2.7,1.6,10.61,,,,,,,
w3,"Wada, Tsuyoshi",24,L,2005,None-min,25,25,12,8,0.6,4,0,181.2,154,69,66,57,8,167,3.27,0,0,17,2,0,4,2.93,7.6,8.3,2.8,0.8,10.58,,,,,,,
w3,"Wada, Tsuyoshi",25,L,2006,None-min,24,24,14,6,0.7,6,0,163.1,137,57,54,42,1,136,2.98,0,0,18,1,0,2,3.24,7.5,7.5,2.3,1,9.93,,,,,,,
w3,"Wada, Tsuyoshi",26,L,2007,None-min,26,26,12,10,0.545,2,0,182,168,65,57,42,3,169,2.82,,0,15,5,1,6,4.02,8.3,8.4,2.1,0.7,10.63,,,,,,,
w3,"Wada, Tsuyoshi",27,L,2008,None-min,23,23,8,8,0.5,3,0,162,167,65,65,36,1,123,3.61,,0,12,3,0,3,3.42,9.3,6.8,2,0.7,11.44,,,,,,,
w3,"Wada, Tsuyoshi",28,L,2009,None-min,15,13,4,5,0.444,1,0,84.1,72,39,38,24,0,87,4.06,,0,13,1,0,1,3.63,7.7,9.3,2.6,1.4,10.38,,,,,,,
w3,"Wada, Tsuyoshi",29,L,2010,None-min,26,26,17,8,0.68,1,0,169.1,145,59,59,55,0,169,3.14,0,0,11,1,0,2,3.07,7.7,9,2.9,0.6,10.7,,,,,,,
