PID,NAME,AGE,T,YR,TM,G,GS,W,L,WLP,CG,ShO,IP,H,R,ER,TBB,IBB,SO,ERA,GF,SV,HR,HB,BK,WP,SO/BB,H/9,SO/9,BB/9,HR/9,BR/9,RAA,WAA,WAAadj,WAR,RAR,waaWL%,162WL%
y0,"Yabu, Keiichi",25,R,1994,None-min,26,25,9,9,0.5,8,0,181.1,174,67,64,42,3,110,3.18,0,0,12,2,1,2,2.62,8.6,5.5,2.1,0.6,10.83,,,,,,,
y0,"Yabu, Keiichi",26,R,1995,None-min,27,27,7,13,0.35,7,0,196,185,73,65,50,1,118,2.98,0,0,19,10,1,4,2.36,8.5,5.4,2.3,0.9,11.25,,,,,,,
y0,"Yabu, Keiichi",27,R,1996,None-min,30,30,11,14,0.44,6,0,195.1,204,97,87,51,1,145,4.01,0,0,14,11,1,1,2.84,9.4,6.7,2.3,0.6,12.27,,,,,,,
y0,"Yabu, Keiichi",28,R,1997,None-min,29,26,10,12,0.455,4,0,183,172,79,73,62,6,111,3.59,0,0,23,10,0,9,1.79,8.5,5.5,3,1.1,12,,,,,,,
y0,"Yabu, Keiichi",29,R,1998,None-min,24,24,11,10,0.524,3,0,164,159,74,64,51,0,90,3.51,0,0,11,8,2,4,1.76,8.7,4.9,2.8,0.6,11.96,,,,,,,
y0,"Yabu, Keiichi",30,R,1999,None-min,28,27,6,16,0.273,4,0,173.1,175,80,76,57,8,95,3.95,0,0,16,11,0,4,1.67,9.1,4.9,3,0.8,12.63,,,,,,,
y0,"Yabu, Keiichi",31,R,2000,None-min,25,24,6,10,0.375,1,0,151,162,76,70,30,4,95,4.17,0,0,19,4,0,7,3.17,9.7,5.7,1.8,1.1,11.68,,,,,,,
y0,"Yabu, Keiichi",32,R,2001,None-min,17,8,0,4,0,0,0,55,55,32,25,33,4,26,4.09,1,0,2,5,0,5,0.79,9,4.3,5.4,0.3,15.22,,,,,,,
y0,"Yabu, Keiichi",33,R,2002,None-min,20,20,10,6,0.625,5,0,131.2,118,48,46,30,1,97,3.14,0,0,14,6,0,3,3.23,8.1,6.6,2.1,1,10.56,,,,,,,
y0,"Yabu, Keiichi",34,R,2003,None-min,23,15,8,3,0.727,0,0,97.2,97,50,43,27,0,67,3.96,1,0,13,2,0,4,2.48,8.9,6.2,2.5,1.2,11.67,,,,,,,
y0,"Yabu, Keiichi",35,R,2004,None-min,19,19,6,9,0.4,1,0,116.1,108,44,39,36,0,75,3.02,0,0,8,6,0,5,2.08,8.4,5.8,2.8,0.6,11.63,,,,,,,
y0,"Yabu, Keiichi",36,R,2005,OAK,40,0,4,0,1,0,1,58,64,34,29,26,3,44,4.5,15,1,6,8,0,2,1.69,9.9,6.8,4,0.9,15.21,-6,-0.6,0,0,0,0.484,0.496
y0,"Yabu, Keiichi",37,R,2006,None-min,19,8,1,4,0.2,0,5,52.1,60,35,26,22,1,28,4.47,9,5,5,1,0,7,1.27,10.3,4.8,3.8,0.9,14.34,,,,,,,
y0,"Yabu, Keiichi",39,R,2008,SFG-min,3,0,0,0,,0,0,5,4,1,1,6,0,7,1.8,1,0,0,0,0,2,1.17,7.2,12.6,10.8,0,18,,,,,,,
y0,"Yabu, Keiichi",39,R,2008,SFG,60,0,3,6,0.333,0,0,68,63,33,27,32,4,48,3.57,10,0,3,8,1,5,1.5,8.3,6.4,4.2,0.4,13.63,2,0.2,-0.1,0.8,8,0.504,0.502
y0,"Yabu, Keiichi",40,R,2009,SFG-min,18,0,1,1,0.5,0,1,22,26,20,16,15,0,17,6.55,8,1,4,0,0,0,1.13,10.6,7,6.1,1.6,16.77,,,,,,,
y0,"Yabu, Keiichi",41,R,2010,None-min,11,0,0,0,,0,0,11,9,6,6,6,0,6,4.91,1,0,2,2,0,0,1,7.4,4.9,4.9,1.6,13.91,,,,,,,
y1,"Yabuta, Yasuhiko",23,R,1996,None-min,18,11,4,6,0.4,1,0,92,79,39,37,29,0,58,3.62,3,0,8,3,0,5,2,7.7,5.7,2.8,0.8,10.86,,,,,,,
y1,"Yabuta, Yasuhiko",24,R,1997,None-min,25,24,5,9,0.357,4,0,146.1,144,69,64,48,2,74,3.94,0,0,16,2,2,7,1.54,8.9,4.6,3,1,11.95,,,,,,,
y1,"Yabuta, Yasuhiko",25,R,1998,None-min,17,16,2,9,0.182,2,0,100.1,123,61,54,40,1,45,4.84,0,0,15,1,6,8,1.13,11,4,3.6,1.3,14.75,,,,,,,
y1,"Yabuta, Yasuhiko",26,R,1999,None-min,12,10,5,4,0.556,0,0,57,68,33,31,30,0,33,4.89,1,0,9,2,1,3,1.1,10.7,5.2,4.7,1.4,15.79,,,,,,,
y1,"Yabuta, Yasuhiko",27,R,2000,None-min,2,2,0,1,0,0,0,6.2,9,10,10,2,0,3,13.5,0,0,3,0,0,0,1.5,12.2,4,2.7,4,15.97,,,,,,,
y1,"Yabuta, Yasuhiko",28,R,2001,None-min,27,13,4,6,0.4,0,0,97.1,94,46,42,40,1,70,3.88,8,0,15,3,0,4,1.75,8.7,6.5,3.7,1.4,12.7,,,,,,,
y1,"Yabuta, Yasuhiko",29,R,2002,None-min,3,3,1,2,0.333,0,0,11.1,16,11,11,4,0,8,8.74,0,0,4,0,0,0,2,12.7,6.4,3.2,3.2,16.22,,,,,,,
y1,"Yabuta, Yasuhiko",30,R,2003,None-min,17,13,5,6,0.455,0,0,68.2,74,45,45,27,1,44,5.9,1,0,12,2,0,3,1.63,9.7,5.8,3.5,1.6,13.59,,,,,,,
y1,"Yabuta, Yasuhiko",31,R,2004,None-min,66,1,3,4,0.429,0,2,77.1,62,26,24,34,4,71,2.79,24,2,4,3,1,2,2.09,7.2,8.3,4,0.5,11.56,,,,,,,
y1,"Yabuta, Yasuhiko",32,R,2005,None-min,51,0,7,4,0.636,0,2,55.2,42,20,19,13,1,54,3.07,15,2,7,2,0,1,4.15,6.8,8.7,2.1,1.1,9.29,,,,,,,
y1,"Yabuta, Yasuhiko",33,R,2006,None-min,47,0,4,2,0.667,0,1,55,43,19,16,26,4,48,2.62,16,1,3,0,0,0,1.85,7,7.9,4.3,0.5,11.29,,,,,,,
y1,"Yabuta, Yasuhiko",34,R,2007,None-min,58,0,4,6,0.4,0,4,62.2,64,21,19,10,2,45,2.73,,4,5,2,0,1,4.5,9.2,6.5,1.4,0.7,11,,,,,,,
y1,"Yabuta, Yasuhiko",35,R,2008,KCR-min,20,0,4,3,0.571,0,3,40.1,46,24,24,16,0,33,5.36,15,3,3,0,0,1,2.06,10.3,7.4,3.6,0.7,13.92,,,,,,,
y1,"Yabuta, Yasuhiko",35,R,2008,KCR,31,0,1,3,0.25,0,0,37.2,41,21,20,17,0,25,4.78,12,0,6,0,0,1,1.47,9.8,6,4.1,1.4,14.03,0,0,-0.1,0.3,5,0.5,0.5
y1,"Yabuta, Yasuhiko",36,R,2009,KCR-min,26,0,2,1,0.667,0,0,45.2,39,19,18,17,0,53,3.55,5,0,5,0,0,1,3.12,7.7,10.4,3.4,1,11.15,,,,,,,
y1,"Yabuta, Yasuhiko",36,R,2009,KCR,12,0,2,1,0.667,0,0,14,29,21,21,7,0,9,13.5,3,0,3,0,0,4,1.29,18.6,5.8,4.5,1.9,23.14,-13,-1.2,0.1,-0.9,-11,0.403,0.493
y1,"Yabuta, Yasuhiko",37,R,2010,None-min,63,0,2,5,0.286,0,1,65.2,59,26,23,22,0,57,3.15,13,1,9,3,0,2,2.59,8.1,7.8,3,1.2,11.6,,,,,,,
y1,"Yabuta, Yasuhiko",38,R,2011,None-min,53,0,1,2,0.333,0,31,56.2,38,11,11,13,1,57,1.75,48,31,4,0,0,1,4.38,6,9.1,2.1,0.6,8.17,,,,,,,
y1,"Yabuta, Yasuhiko",39,R,2012,None-min,61,0,1,6,0.143,0,26,56.2,58,22,21,22,6,43,3.34,48,26,4,3,0,0,1.95,9.2,6.8,3.5,0.6,13.29,,,,,,,
y4,"Yan, Esteban",18,R,1993,ATL-min,14,14,4,7,0.364,0,0,71.1,73,46,24,24,1,50,3.03,0,0,4,5,0,3,2.08,9.2,6.3,3,0.5,12.91,,,,,,,
y4,"Yan, Esteban",19,R,1994,ATL-min,28,28,11,12,0.478,4,0,170.2,155,85,62,34,1,121,3.27,0,0,15,13,6,4,3.56,8.2,6.4,1.8,0.8,10.68,,,,,,,
y4,"Yan, Esteban",20,R,1995,MON-min,24,21,6,8,0.429,1,1,137.2,139,63,47,33,0,89,3.07,1,1,3,10,3,8,2.7,9.1,5.8,2.2,0.2,11.94,,,,,,,
y4,"Yan, Esteban",21,R,1996,BAL-min,31,11,5,6,0.455,0,1,87.2,93,49,44,26,0,77,4.52,6,1,8,2,2,5,2.96,9.5,7.9,2.7,0.8,12.49,,,,,,,
y4,"Yan, Esteban",21,R,1996,BAL,4,0,0,0,,0,0,9.1,13,7,6,3,1,7,5.79,2,0,3,0,0,0,2.33,12.5,6.8,2.9,2.9,15.82,-2,-0.2,0.1,0,-1,0.459,0.499
y4,"Yan, Esteban",22,R,1997,BAL-min,34,12,11,5,0.688,0,2,119,107,54,41,37,0,131,3.1,8,2,13,5,0,5,3.54,8.1,9.9,2.8,1,11.27,,,,,,,
y4,"Yan, Esteban",22,R,1997,BAL,3,2,0,1,0,0,0,9.2,20,18,17,7,0,4,15.83,0,0,3,2,0,1,0.57,18.6,3.7,6.5,2.8,28.37,-13,-0.9,0,-0.8,-12,0.21,0.495
y4,"Yan, Esteban",23,R,1998,TBD,64,0,5,4,0.556,0,1,88.2,78,41,38,41,2,77,3.86,18,1,11,5,0,6,1.88,7.9,7.8,4.2,1.1,12.65,1,0.1,-0.2,0.9,11,0.502,0.501
y4,"Yan, Esteban",24,R,1999,TBD-min,2,2,0,0,,0,0,4,3,1,0,1,0,0,0,0,0,0,0,0,0,0,6.8,0,2.2,0,9,,,,,,,
