PID,NAME,AGE,T,YR,TM,G,GS,W,L,WLP,CG,ShO,IP,H,R,ER,TBB,IBB,SO,ERA,GF,SV,HR,HB,BK,WP,SO/BB,H/9,SO/9,BB/9,HR/9,BR/9,RAA,WAA,WAAadj,WAR,RAR,waaWL%,162WL%
z0,"Zabala, Adrián",20,L,1937,PNC-min,21,,10,7,0.588,,,143,96,38,32,61,,,2.01,,,,,,,,6,,3.8,,,,,,,,,
z0,"Zabala, Adrián",21,L,1938,None-min,35,,11,14,0.44,,,239,280,155,123,95,,,4.63,,,,,,,,10.5,,3.6,,,,,,,,,
z0,"Zabala, Adrián",22,L,1939,JCK-min,37,,13,11,0.542,,,206,232,115,94,90,,,4.11,,,,,,,,10.1,,3.9,,,,,,,,,
z0,"Zabala, Adrián",23,L,1940,JCK-min,28,,9,8,0.529,,,170,181,86,75,54,,,3.97,,,,,,,,9.6,,2.9,,,,,,,,,
z0,"Zabala, Adrián",24,L,1941,JCK-min,43,,20,17,0.541,,,277,265,125,95,94,,,3.09,,,,,,,,8.6,,3.1,,,,,,,,,
z0,"Zabala, Adrián",25,L,1942,NYG-min,39,10,19,10,0.655,6,,262,255,101,73,69,,25,2.51,,,,0,0,2,0.36,8.8,0.9,2.4,,11.13,,,,,,,
z0,"Zabala, Adrián",28,L,1945,NYG-min,28,21,14,7,0.667,15,,171,153,86,61,75,,77,3.21,,,,3,0,5,1.03,8.1,4.1,3.9,,12.16,,,,,,,
z0,"Zabala, Adrián",28,L,1945,NYG,11,5,2,4,0.333,1,0,43.1,46,25,23,20,,14,4.78,3,0,2,0,0,0,0.7,9.6,2.9,4.2,0.4,13.78,-1,-0.1,0,0.2,3,0.488,0.499
z0,"Zabala, Adrián",32,L,1949,NYG,15,4,2,3,0.4,2,1,41,44,28,24,10,,13,5.27,5,1,5,1,3,0,1.3,9.7,2.9,2.2,1.1,12.07,-7,-0.7,-0.1,-0.4,-3,0.451,0.495
z0,"Zabala, Adrián",33,L,1950,NYG-min,33,14,11,4,0.733,5,,130,151,83,71,54,,52,4.92,,,,1,3,2,0.96,10.5,3.6,3.7,,14.26,,,,,,,
z0,"Zabala, Adrián",34,L,1951,NYG-min,49,16,14,12,0.538,4,,177,198,98,78,60,,76,3.97,,,,2,0,4,1.27,10.1,3.9,3.1,,13.22,,,,,,,
z0,"Zabala, Adrián",35,L,1952,NYG-min,69,1,14,10,0.583,0,,139,138,58,46,59,,65,2.98,,,,3,0,1,1.1,8.9,4.2,3.8,,12.95,,,,,,,
z0,"Zabala, Adrián",36,L,1953,NYG-min,48,1,5,6,0.455,0,,97,108,40,30,33,,56,2.78,,,9,1,0,4,1.7,10,5.2,3.1,0.8,13.18,,,,,,,
z0,"Zabala, Adrián",37,L,1954,SFR-min,59,1,11,8,0.579,0,,111.2,108,61,40,43,,43,3.22,,,2,0,0,3,1,8.7,3.5,3.5,0.2,12.22,,,,,,,
z0,"Zabala, Adrián",38,L,1955,MLN-min,46,1,11,5,0.688,0,,91.2,91,38,26,32,,5,2.55,,,2,0,0,1,0.16,8.9,0.5,3.1,0.2,12.14,,,,,,,
z0,"Zabala, Adrián",39,L,1956,MLN-min,32,2,5,2,0.714,,,56,58,25,20,14,,,3.21,,,5,,,,,9.3,,2.2,0.8,,,,,,,,
z1,"Zabel, Zip",21,R,1912,YNG-min,20,,10,8,0.556,,,163,138,62,,55,,,,,,,,,,,7.6,,3,,,,,,,,,
z1,"Zabel, Zip",22,R,1913,None-min,23,,11,5,0.688,,,108,63,14,,13,,,,,,,,,,,5.2,,1.1,,,,,,,,,
z1,"Zabel, Zip",22,R,1913,CHC,1,1,1,0,1,0,0,5,3,0,0,1,,0,0,0,0,0,0,0,0,0,5.4,0,1.8,0,7.2,2,0.3,0,0.3,3,0.785,0.502
z1,"Zabel, Zip",23,R,1914,CHC,29,7,4,4,0.5,2,3,128,104,45,31,45,,50,2.18,18,3,5,2,1,4,1.11,7.3,3.5,3.2,0.4,10.62,11,1.3,-0.1,2.3,19,0.544,0.508
z1,"Zabel, Zip",24,R,1915,CHC,36,17,7,10,0.412,8,0,163,124,80,58,84,,60,3.2,13,0,3,4,0,2,0.71,6.8,3.3,4.6,0.2,11.71,-10,-1.2,-0.1,0.1,-1,0.467,0.493
z1,"Zabel, Zip",25,R,1916,LOS-min,44,,17,13,0.567,,,272.1,227,105,72,119,,,2.38,,,,,,,,7.5,,3.9,,,,,,,,,
z1,"Zabel, Zip",26,R,1917,TTO-min,16,,10,5,0.667,,,122,111,,33,33,,,2.43,,,,,,,,8.2,,2.4,,,,,,,,,
z2,"Zachary, Chink",22,R,1936,DOT-min,15,,2,6,0.25,,,75,88,51,43,23,,,5.16,,,,,,,,10.6,,2.8,,,,,,,,,
z2,"Zachary, Chink",25,R,1939,BSN-min,13,,3,5,0.375,,,86,95,49,38,21,,,3.98,,,,,,,,9.9,,2.2,,,,,,,,,
z2,"Zachary, Chink",26,R,1940,UTI-min,29,,15,11,0.577,,,208,207,111,76,57,,,3.29,,,,,,,,9,,2.5,,,,,,,,,
z2,"Zachary, Chink",30,R,1944,BRO-min,31,19,11,10,0.524,0,,185,179,91,80,73,,18,3.89,,,,1,0,0,0.25,8.7,0.9,3.6,,12.31,,,,,,,
z2,"Zachary, Chink",30,R,1944,BRO,4,2,0,2,0,0,0,10.1,10,11,11,7,,3,9.58,0,0,2,1,0,0,0.43,8.7,2.6,6.1,1.7,16.04,-6,-0.5,0,-0.4,-5,0.366,0.497
z2,"Zachary, Chink",32,R,1946,BRO-min,30,25,12,11,0.522,,,216,194,76,57,52,,,2.38,,,,,,,,8.1,,2.2,,,,,,,,,
z2,"Zachary, Chink",34,R,1948,BRO-min,23,5,5,4,0.556,2,,86,104,26,24,28,,21,2.51,,,,1,0,0,0.75,10.9,2.2,2.9,,13.92,,,,,,,
z2,"Zachary, Chink",37,R,1951,BRO-min,33,7,4,5,0.444,0,,97,96,59,42,37,,23,3.9,,,,2,2,2,0.62,8.9,2.1,3.4,,12.53,,,,,,,
z3,"Zachary, Chris",19,R,1963,HOU,22,7,2,2,0.5,0,0,57,62,38,31,22,0,42,4.89,12,0,5,3,1,2,1.91,9.8,6.6,3.5,0.8,13.74,-13,-1.4,0.2,-0.6,-7,0.436,0.491
z3,"Zachary, Chris",20,R,1964,HOU-min,26,25,16,6,0.727,16,,194,155,74,69,71,2,188,3.2,,,12,3,0,6,2.65,7.2,8.7,3.3,0.6,10.62,,,,,,,
z3,"Zachary, Chris",20,R,1964,HOU,1,1,0,1,0,0,0,4,6,5,4,1,0,2,9,0,0,1,0,0,0,2,13.5,4.5,2.3,2.3,15.75,-3,-0.3,0,-0.2,-3,0.248,0.498
z3,"Zachary, Chris",21,R,1965,HOU-min,32,28,17,8,0.68,10,,212,183,79,69,65,5,175,2.93,,,22,7,0,3,2.69,7.8,7.4,2.8,0.9,10.83,,,,,,,
z3,"Zachary, Chris",21,R,1965,HOU,4,2,0,2,0,0,0,10.2,12,6,5,6,1,4,4.22,0,0,0,0,0,0,0.67,10.1,3.4,5.1,0,15.88,0,0,0,0.1,1,0.493,0.5
z3,"Zachary, Chris",22,R,1966,HOU-min,25,24,10,7,0.588,6,,163,153,83,75,56,0,91,4.14,,,18,2,0,13,1.63,8.4,5,3.1,1,11.65,,,,,,,
z3,"Zachary, Chris",22,R,1966,HOU,10,8,3,5,0.375,0,0,55,44,22,21,32,2,37,3.44,1,0,1,1,0,6,1.16,7.2,6.1,5.2,0.2,12.6,4,0.4,0,0.9,9,0.544,0.503
z3,"Zachary, Chris",23,R,1967,HOU-min,14,13,3,8,0.273,2,,67,64,43,33,25,0,61,4.43,,,5,2,0,11,2.44,8.6,8.2,3.4,0.7,12.22,,,,,,,
z3,"Zachary, Chris",23,R,1967,HOU,9,7,1,6,0.143,0,0,36.1,42,27,23,12,1,18,5.7,0,0,5,2,0,1,1.5,10.4,4.5,3,1.2,13.96,-10,-1,0,-0.7,-7,0.384,0.494
z3,"Zachary, Chris",24,R,1968,HOU-min,8,1,0,0,,0,,15,18,11,10,4,0,18,6,,,2,0,0,1,4.5,10.8,10.8,2.4,1.2,13.2,,,,,,,
z3,"Zachary, Chris",25,R,1969,KCR-min,20,19,11,6,0.647,11,0,127,124,62,54,47,5,110,3.83,,0,5,4,0,3,2.34,8.8,7.8,3.3,0.4,12.4,,,,,,,
z3,"Zachary, Chris",25,R,1969,KCR,8,2,0,1,0,0,0,18.1,27,17,16,7,0,6,7.85,2,0,4,0,0,4,0.86,13.3,2.9,3.4,2,16.91,-9,-0.9,0.2,-0.5,-7,0.388,0.494
z3,"Zachary, Chris",26,R,1970,KCR-STL-min,27,26,12,13,0.48,16,0,192,204,89,76,48,5,152,3.56,,0,19,2,2,11,3.17,9.6,7.1,2.2,0.9,11.91,,,,,,,
z3,"Zachary, Chris",27,R,1971,STL-min,3,3,2,1,0.667,2,0,26,20,8,6,6,0,25,2.08,,0,1,1,0,0,4.17,6.9,8.7,2.1,0.3,9.35,,,,,,,
z3,"Zachary, Chris",27,R,1971,STL,23,12,3,10,0.231,1,0,89.2,114,58,53,26,7,48,5.32,4,0,3,4,0,3,1.85,11.4,4.8,2.6,0.3,14.53,-17,-1.8,-0.2,-1.2,-8,0.422,0.489
z3,"Zachary, Chris",28,R,1972,DET-min,8,7,3,2,0.6,2,0,46,43,17,17,16,1,43,3.33,,0,1,0,0,1,2.69,8.4,8.4,3.1,0.2,11.54,,,,,,,
